grid_x,grid_y,world_x,world_y
40,80,-0.251350,18.036884
41,80,-0.001350,18.036884
42,80,0.248650,18.036884
43,80,0.498650,18.036884
44,80,0.748650,18.036884
45,80,0.998650,18.036884
46,80,1.248650,18.036884
47,79,1.498650,17.786884
48,78,1.748650,17.536884
49,78,1.998650,17.536884
50,78,2.248650,17.536884
51,78,2.498650,17.536884
52,78,2.748650,17.536884
53,78,2.998650,17.536884
54,78,3.248650,17.536884
55,78,3.498650,17.536884
56,77,3.748650,17.286884
57,77,3.998650,17.286884
58,77,4.248650,17.286884
59,77,4.498650,17.286884
60,77,4.748650,17.286884
61,77,4.998650,17.286884
62,77,5.248650,17.286884
63,77,5.498650,17.286884
64,77,5.748650,17.286884
65,76,5.998650,17.036884
66,75,6.248650,16.786884
67,74,6.498650,16.536884
68,73,6.748650,16.286884
69,72,6.998650,16.036884
70,71,7.248650,15.786884
71,70,7.498650,15.536884
72,69,7.748650,15.286884
73,68,7.998650,15.036884
74,67,8.248650,14.786884
75,67,8.498650,14.786884
76,67,8.748650,14.786884
77,67,8.998650,14.786884
78,67,9.248650,14.786884
79,67,9.498650,14.786884
80,67,9.748650,14.786884
81,67,9.998650,14.786884
82,67,10.248650,14.786884
83,67,10.498650,14.786884
84,67,10.748650,14.786884
85,67,10.998650,14.786884
86,67,11.248650,14.786884
87,67,11.498650,14.786884
88,67,11.748650,14.786884
89,67,11.998650,14.786884
90,67,12.248650,14.786884
91,67,12.498650,14.786884
92,67,12.748650,14.786884
93,67,12.998650,14.786884
94,67,13.248650,14.786884
95,67,13.498650,14.786884
96,67,13.748650,14.786884
97,67,13.998650,14.786884
98,67,14.248650,14.786884
99,67,14.498650,14.786884
100,67,14.748650,14.786884
101,67,14.998650,14.786884
102,67,15.248650,14.786884
103,66,15.498650,14.536884
104,65,15.748650,14.286884
105,64,15.998650,14.036884
106,63,16.248650,13.786884
107,62,16.498650,13.536884
108,62,16.748650,13.536884
109,61,16.998650,13.286884
110,60,17.248650,13.036884
111,59,17.498650,12.786884
112,58,17.748650,12.536884
113,57,17.998650,12.286884
114,56,18.248650,12.036884
115,55,18.498650,11.786884
116,55,18.748650,11.786884
117,55,18.998650,11.786884
118,55,19.248650,11.786884
119,55,19.498650,11.786884
120,55,19.748650,11.786884
121,55,19.998650,11.786884
122,55,20.248650,11.786884
123,55,20.498650,11.786884
124,55,20.748650,11.786884
125,55,20.998650,11.786884
126,55,21.248650,11.786884
127,55,21.498650,11.786884
128,55,21.748650,11.786884
129,55,21.998650,11.786884
130,55,22.248650,11.786884
131,55,22.498650,11.786884
132,55,22.748650,11.786884
133,55,22.998650,11.786884
134,55,23.248650,11.786884
135,55,23.498650,11.786884
136,55,23.748650,11.786884
137,55,23.998650,11.786884
138,55,24.248650,11.786884
139,55,24.498650,11.786884
140,55,24.748650,11.786884
141,55,24.998650,11.786884
142,55,25.248650,11.786884
143,55,25.498650,11.786884
144,55,25.748650,11.786884
145,55,25.998650,11.786884
146,55,26.248650,11.786884
147,55,26.498650,11.786884
148,55,26.748650,11.786884
149,55,26.998650,11.786884
150,54,27.248650,11.536884
151,54,27.498650,11.536884
152,54,27.748650,11.536884
153,54,27.998650,11.536884
154,54,28.248650,11.536884
155,53,28.498650,11.286884
156,52,28.748650,11.036884
157,52,28.998650,11.036884
158,52,29.248650,11.036884
159,52,29.498650,11.036884
160,52,29.748650,11.036884
161,52,29.998650,11.036884
162,52,30.248650,11.036884
163,52,30.498650,11.036884
164,52,30.748650,11.036884
165,52,30.998650,11.036884
166,52,31.248650,11.036884
167,52,31.498650,11.036884
168,52,31.748650,11.036884
169,52,31.998650,11.036884
170,52,32.248650,11.036884
171,52,32.498650,11.036884
172,52,32.748650,11.036884
173,52,32.998650,11.036884
174,52,33.248650,11.036884
175,52,33.498650,11.036884
176,52,33.748650,11.036884
177,52,33.998650,11.036884
178,52,34.248650,11.036884
179,52,34.498650,11.036884
180,52,34.748650,11.036884
181,52,34.998650,11.036884
182,52,35.248650,11.036884
183,52,35.498650,11.036884
184,52,35.748650,11.036884
185,52,35.998650,11.036884
186,52,36.248650,11.036884
187,52,36.498650,11.036884
188,52,36.748650,11.036884
189,52,36.998650,11.036884
190,52,37.248650,11.036884
191,52,37.498650,11.036884
192,52,37.748650,11.036884
193,52,37.998650,11.036884
194,52,38.248650,11.036884
195,52,38.498650,11.036884
196,52,38.748650,11.036884
197,52,38.998650,11.036884
198,52,39.248650,11.036884
199,52,39.498650,11.036884
200,52,39.748650,11.036884
201,52,39.998650,11.036884
202,52,40.248650,11.036884
203,52,40.498650,11.036884
204,52,40.748650,11.036884
205,52,40.998650,11.036884
206,52,41.248650,11.036884
207,52,41.498650,11.036884
208,52,41.748650,11.036884
209,51,41.998650,10.786884
210,50,42.248650,10.536884
211,49,42.498650,10.286884
212,48,42.748650,10.036884
213,47,42.998650,9.786884
214,46,43.248650,9.536884
215,45,43.498650,9.286884
216,44,43.748650,9.036884
217,43,43.998650,8.786884
218,42,44.248650,8.536884
219,41,44.498650,8.286884
220,40,44.748650,8.036884
