grid_x,grid_y,world_x,world_y
40,80,-0.251350,18.036884
41,80,-0.001350,18.036884
42,80,0.248650,18.036884
43,80,0.498650,18.036884
44,80,0.748650,18.036884
45,80,0.998650,18.036884
46,79,1.248650,17.786884
47,78,1.498650,17.536884
48,77,1.748650,17.286884
49,76,1.998650,17.036884
50,75,2.248650,16.786884
51,74,2.498650,16.536884
52,73,2.748650,16.286884
53,72,2.998650,16.036884
54,71,3.248650,15.786884
55,70,3.498650,15.536884
56,69,3.748650,15.286884
57,68,3.998650,15.036884
58,67,4.248650,14.786884
59,66,4.498650,14.536884
60,65,4.748650,14.286884
61,64,4.998650,14.036884
62,63,5.248650,13.786884
63,63,5.498650,13.786884
64,63,5.748650,13.786884
65,63,5.998650,13.786884
66,63,6.248650,13.786884
67,63,6.498650,13.786884
68,63,6.748650,13.786884
69,63,6.998650,13.786884
70,63,7.248650,13.786884
71,62,7.498650,13.536884
72,61,7.748650,13.286884
73,60,7.998650,13.036884
74,59,8.248650,12.786884
75,58,8.498650,12.536884
76,57,8.748650,12.286884
77,57,8.998650,12.286884
78,57,9.248650,12.286884
79,57,9.498650,12.286884
80,57,9.748650,12.286884
81,57,9.998650,12.286884
82,57,10.248650,12.286884
83,57,10.498650,12.286884
84,57,10.748650,12.286884
85,56,10.998650,12.036884
86,55,11.248650,11.786884
87,54,11.498650,11.536884
88,54,11.748650,11.536884
89,54,11.998650,11.536884
90,54,12.248650,11.536884
91,54,12.498650,11.536884
92,54,12.748650,11.536884
93,54,12.998650,11.536884
94,54,13.248650,11.536884
95,54,13.498650,11.536884
96,54,13.748650,11.536884
97,54,13.998650,11.536884
98,54,14.248650,11.536884
99,54,14.498650,11.536884
100,54,14.748650,11.536884
101,54,14.998650,11.536884
102,54,15.248650,11.536884
103,54,15.498650,11.536884
104,54,15.748650,11.536884
105,54,15.998650,11.536884
106,54,16.248650,11.536884
107,54,16.498650,11.536884
108,54,16.748650,11.536884
109,54,16.998650,11.536884
110,54,17.248650,11.536884
111,54,17.498650,11.536884
112,54,17.748650,11.536884
113,54,17.998650,11.536884
114,53,18.248650,11.286884
115,53,18.498650,11.286884
116,53,18.748650,11.286884
117,53,18.998650,11.286884
118,53,19.248650,11.286884
119,53,19.498650,11.286884
120,53,19.748650,11.286884
121,53,19.998650,11.286884
122,53,20.248650,11.286884
123,53,20.498650,11.286884
124,53,20.748650,11.286884
125,53,20.998650,11.286884
126,53,21.248650,11.286884
127,53,21.498650,11.286884
128,53,21.748650,11.286884
129,53,21.998650,11.286884
130,53,22.248650,11.286884
131,53,22.498650,11.286884
132,53,22.748650,11.286884
133,53,22.998650,11.286884
134,53,23.248650,11.286884
135,53,23.498650,11.286884
136,53,23.748650,11.286884
137,53,23.998650,11.286884
138,53,24.248650,11.286884
139,53,24.498650,11.286884
140,53,24.748650,11.286884
141,53,24.998650,11.286884
142,52,25.248650,11.036884
143,52,25.498650,11.036884
144,52,25.748650,11.036884
145,52,25.998650,11.036884
146,52,26.248650,11.036884
147,52,26.498650,11.036884
148,52,26.748650,11.036884
149,52,26.998650,11.036884
150,52,27.248650,11.036884
151,52,27.498650,11.036884
152,52,27.748650,11.036884
153,52,27.998650,11.036884
154,52,28.248650,11.036884
155,52,28.498650,11.036884
156,52,28.748650,11.036884
157,52,28.998650,11.036884
158,51,29.248650,10.786884
159,51,29.498650,10.786884
160,51,29.748650,10.786884
161,51,29.998650,10.786884
162,51,30.248650,10.786884
163,51,30.498650,10.786884
164,51,30.748650,10.786884
165,51,30.998650,10.786884
166,51,31.248650,10.786884
167,51,31.498650,10.786884
168,51,31.748650,10.786884
169,51,31.998650,10.786884
170,51,32.248650,10.786884
171,51,32.498650,10.786884
172,51,32.748650,10.786884
173,51,32.998650,10.786884
174,51,33.248650,10.786884
175,51,33.498650,10.786884
176,51,33.748650,10.786884
177,51,33.998650,10.786884
178,51,34.248650,10.786884
179,51,34.498650,10.786884
180,51,34.748650,10.786884
181,51,34.998650,10.786884
182,51,35.248650,10.786884
183,51,35.498650,10.786884
184,51,35.748650,10.786884
185,51,35.998650,10.786884
186,51,36.248650,10.786884
187,51,36.498650,10.786884
188,51,36.748650,10.786884
189,51,36.998650,10.786884
190,51,37.248650,10.786884
191,51,37.498650,10.786884
192,51,37.748650,10.786884
193,51,37.998650,10.786884
194,51,38.248650,10.786884
195,51,38.498650,10.786884
196,51,38.748650,10.786884
197,51,38.998650,10.786884
198,51,39.248650,10.786884
199,51,39.498650,10.786884
200,51,39.748650,10.786884
201,51,39.998650,10.786884
202,50,40.248650,10.536884
203,49,40.498650,10.286884
204,48,40.748650,10.036884
205,47,40.998650,9.786884
206,47,41.248650,9.786884
207,47,41.498650,9.786884
208,46,41.748650,9.536884
209,46,41.998650,9.536884
210,46,42.248650,9.536884
211,45,42.498650,9.286884
212,45,42.748650,9.286884
213,45,42.998650,9.286884
214,45,43.248650,9.286884
215,44,43.498650,9.036884
216,43,43.748650,8.786884
217,42,43.998650,8.536884
218,41,44.248650,8.286884
219,41,44.498650,8.286884
220,40,44.748650,8.036884
