x,y,yaw,dir
-0.25135,18.0369,0.0416232,1
-0.168002,18.0404,0.0416232,1
-0.0846532,18.0438,0.0416232,1
-0.00130469,18.0473,0.021188,1
0.0820438,18.0491,0.021188,1
0.165392,18.0508,0.021188,1
0.248741,18.0526,-0.0278965,1
0.332089,18.0503,-0.0278965,1
0.415438,18.0479,-0.0278965,1
0.498786,18.0456,-0.124626,1
0.582134,18.0352,-0.124626,1
0.665483,18.0247,-0.124626,1
0.748831,18.0143,-0.300488,1
0.832179,17.9885,-0.300488,1
0.915528,17.9626,-0.300488,1
0.998876,17.9368,-0.580252,1
1.08222,17.8822,-0.580252,1
1.16557,17.8275,-0.580252,1
1.24892,17.7729,-0.699261,1
1.31143,17.7203,-0.699261,1
1.37394,17.6678,-0.699261,1
1.43645,17.6152,-0.699261,1
1.49896,17.5626,-0.754777,1
1.56148,17.5038,-0.754777,1
1.62399,17.445,-0.754777,1
1.6865,17.3862,-0.754777,1
1.74901,17.3274,-0.782359,1
1.81152,17.2653,-0.782359,1
1.87403,17.2032,-0.782359,1
1.93654,17.141,-0.782359,1
1.99905,17.0789,-0.796529,1
2.06156,17.015,-0.796529,1
2.12407,16.9511,-0.796529,1
2.18658,16.8871,-0.796529,1
2.24909,16.8232,-0.803902,1
2.3116,16.7584,-0.803902,1
2.37411,16.6935,-0.803902,1
2.43662,16.6286,-0.803902,1
2.49913,16.5638,-0.807687,1
2.56164,16.4984,-0.807687,1
2.62415,16.433,-0.807687,1
2.68666,16.3677,-0.807687,1
2.74917,16.3023,-0.809469,1
2.81168,16.2367,-0.809469,1
2.87419,16.1711,-0.809469,1
2.9367,16.1055,-0.809469,1
2.99921,16.0399,-0.809982,1
3.06172,15.9743,-0.809982,1
3.12423,15.9086,-0.809982,1
3.18674,15.843,-0.809982,1
3.24925,15.7773,-0.809432,1
3.31176,15.7117,-0.809432,1
3.37427,15.6461,-0.809432,1
3.43678,15.5805,-0.809432,1
3.49929,15.5149,-0.807591,1
3.5618,15.4496,-0.807591,1
3.6243,15.3842,-0.807591,1
3.68681,15.3189,-0.807591,1
3.74932,15.2536,-0.803698,1
3.81183,15.1887,-0.803698,1
3.87434,15.1239,-0.803698,1
3.93685,15.059,-0.803698,1
3.99936,14.9942,-0.796116,1
4.06186,14.9303,-0.796116,1
4.12437,14.8665,-0.796116,1
4.18688,14.8026,-0.796116,1
4.24939,14.7387,-0.78153,1
4.3119,14.6767,-0.78153,1
4.3744,14.6147,-0.78153,1
4.43691,14.5527,-0.78153,1
4.49942,14.4906,-0.753101,1
4.56193,14.4321,-0.753101,1
4.62443,14.3735,-0.753101,1
4.68694,14.3149,-0.753101,1
4.74945,14.2563,-0.695745,1
4.81195,14.2041,-0.695745,1
4.87446,14.1519,-0.695745,1
4.93697,14.0997,-0.695745,1
4.99947,14.0475,-0.572322,1
5.08282,13.9938,-0.572322,1
5.16616,13.9401,-0.572322,1
5.2495,13.8864,-0.281063,1
5.33284,13.8623,-0.281063,1
5.41618,13.8383,-0.281063,1
5.49952,13.8142,-0.1011,1
5.58286,13.8058,-0.1011,1
5.6662,13.7973,-0.1011,1
5.74954,13.7889,-0.00756792,1
5.83288,13.7882,-0.00756792,1
5.91622,13.7876,-0.00756792,1
5.99956,13.787,0.0304694,1
6.0829,13.7895,0.0304694,1
6.16624,13.792,0.0304694,1
6.24958,13.7946,0.027905,1
6.33291,13.7969,0.027905,1
6.41625,13.7992,0.027905,1
6.49959,13.8016,-0.0162946,1
6.58292,13.8002,-0.0162946,1
6.66626,13.7988,-0.0162946,1
6.7496,13.7975,-0.119263,1
6.83293,13.7875,-0.119263,1
6.91627,13.7775,-0.119263,1
6.9996,13.7675,-0.313428,1
7.08294,13.7405,-0.313428,1
7.16627,13.7135,-0.313428,1
7.24961,13.6865,-0.617974,1
7.31211,13.6421,-0.617974,1
7.37461,13.5976,-0.617974,1
7.43711,13.5532,-0.617974,1
7.49961,13.5088,-0.736003,1
7.56211,13.4522,-0.736003,1
7.6246,13.3956,-0.736003,1
7.6871,13.339,-0.736003,1
7.7496,13.2823,-0.77879,1
7.8121,13.2207,-0.77879,1
7.8746,13.159,-0.77879,1
7.9371,13.0973,-0.77879,1
7.99959,13.0356,-0.77862,1
8.06209,12.974,-0.77862,1
8.12459,12.9123,-0.77862,1
8.18709,12.8507,-0.77862,1
8.24958,12.789,-0.735371,1
8.31208,12.7325,-0.735371,1
8.37458,12.6759,-0.735371,1
8.43707,12.6194,-0.735371,1
8.49957,12.5629,-0.616349,1
8.56206,12.5186,-0.616349,1
8.62456,12.4743,-0.616349,1
8.68705,12.4301,-0.616349,1
8.74955,12.3858,-0.309123,1
8.83287,12.3592,-0.309123,1
8.9162,12.3326,-0.309123,1
8.99952,12.3059,-0.11354,1
9.08285,12.2964,-0.11354,1
9.16617,12.2869,-0.11354,1
9.2495,12.2774,-0.0102973,1
9.33282,12.2766,-0.0102973,1
9.41614,12.2757,-0.0102973,1
9.49946,12.2749,0.0333085,1
9.58278,12.2776,0.0333085,1
9.6661,12.2804,0.0333085,1
9.74942,12.2832,0.0342523,1
9.83274,12.2861,0.0342523,1
9.91606,12.2889,0.0342523,1
9.99938,12.2918,-0.00709173,1
10.0827,12.2912,-0.00709173,1
10.166,12.2906,-0.00709173,1
10.2493,12.29,-0.106893,1
10.3326,12.2811,-0.106893,1
10.416,12.2721,-0.106893,1
10.4993,12.2632,-0.29737,1
10.5826,12.2376,-0.29737,1
10.6659,12.2121,-0.29737,1
10.7492,12.1866,-0.600063,1
10.8117,12.1438,-0.600063,1
10.8742,12.1011,-0.600063,1
10.9367,12.0583,-0.600063,1
10.9992,12.0156,-0.677369,1
11.0616,11.9653,-0.677369,1
11.1241,11.9151,-0.677369,1
11.1866,11.8648,-0.677369,1
11.2491,11.8145,-0.620552,1
11.3116,11.7699,-0.620552,1
11.374,11.7252,-0.620552,1
11.4365,11.6806,-0.620552,1
11.499,11.6359,-0.362841,1
11.5823,11.6043,-0.362841,1
11.6656,11.5727,-0.362841,1
11.7489,11.541,-0.197212,1
11.8322,11.5244,-0.197212,1
11.9155,11.5077,-0.197212,1
11.9988,11.4911,-0.102928,1
12.0821,11.4825,-0.102928,1
12.1654,11.4739,-0.102928,1
12.2487,11.4653,-0.0514513,1
12.332,11.461,-0.0514513,1
12.4153,11.4567,-0.0514513,1
12.4986,11.4524,-0.0236988,1
12.5819,11.4504,-0.0236988,1
12.6652,11.4485,-0.0236988,1
12.7485,11.4465,-0.0087924,1
12.8318,11.4458,-0.0087924,1
12.9151,11.445,-0.0087924,1
12.9984,11.4443,-0.000797256,1
13.0817,11.4442,-0.000797256,1
13.165,11.4442,-0.000797256,1
13.2483,11.4441,0.00348587,1
13.3316,11.4444,0.00348587,1
13.4149,11.4447,0.00348587,1
13.4982,11.445,0.00577575,1
13.5814,11.4454,0.00577575,1
