x,y,yaw,dir
-0.25135,18.0369,-0.593917,1
-0.181805,17.9899,-0.593925,1
-0.11226,17.943,-0.593941,1
-0.0427164,17.896,-0.593964,1
0.0268255,17.849,-0.593994,1
0.0963652,17.8021,-0.594029,1
0.165902,17.7551,-0.594069,1
0.235436,17.7081,-0.594112,1
0.304966,17.6612,-0.594157,1
0.374493,17.6142,-0.594203,1
0.444016,17.5672,-0.594248,1
0.513534,17.5203,-0.594292,1
0.583048,17.4733,-0.594332,1
0.652557,17.4263,-0.594367,1
0.722063,17.3793,-0.594395,1
0.791563,17.3323,-0.594416,1
0.86106,17.2854,-0.594426,1
0.930552,17.2384,-0.594425,1
1.00004,17.1914,-0.594411,1
1.06953,17.1444,-0.594381,1
1.13901,17.0975,-0.594334,1
1.20848,17.0505,-0.594266,1
1.27796,17.0036,-0.594177,1
1.34743,16.9566,-0.594063,1
1.4169,16.9097,-0.593921,1
1.48637,16.8628,-0.59375,1
1.55584,16.8159,-0.593545,1
1.62531,16.769,-0.593306,1
1.69477,16.7222,-0.593028,1
1.76424,16.6754,-0.592711,1
1.83371,16.6286,-0.59235,1
1.90319,16.5818,-0.591944,1
1.97267,16.5351,-0.59149,1
2.04215,16.4885,-0.590988,1
2.11164,16.4418,-0.590433,1
2.18114,16.3952,-0.589826,1
2.25065,16.3487,-0.589164,1
2.32016,16.3023,-0.588446,1
2.38969,16.2559,-0.58767,1
2.45924,16.2095,-0.586835,1
2.5288,16.1633,-0.58594,1
2.59837,16.1171,-0.584984,1
2.66796,16.071,-0.583965,1
2.73758,16.025,-0.582882,1
2.80721,15.9791,-0.581736,1
2.87687,15.9333,-0.580524,1
2.94656,15.8876,-0.579246,1
3.01627,15.842,-0.577902,1
3.086,15.7965,-0.57649,1
3.15577,15.7511,-0.575011,1
3.22557,15.7059,-0.573464,1
3.29541,15.6608,-0.571849,1
3.36528,15.6158,-0.570165,1
3.43518,15.571,-0.568413,1
3.50513,15.5263,-0.566593,1
3.57511,15.4818,-0.564704,1
3.64514,15.4374,-0.562747,1
3.71521,15.3932,-0.560722,1
3.78533,15.3492,-0.55863,1
3.8555,15.3054,-0.55647,1
3.92571,15.2617,-0.554245,1
3.99598,15.2182,-0.551955,1
4.0663,15.1749,-0.5496,1
4.13667,15.1318,-0.547182,1
4.2071,15.0889,-0.544702,1
4.27759,15.0462,-0.542161,1
4.34814,15.0037,-0.539562,1
4.41875,14.9614,-0.536906,1
4.48941,14.9193,-0.534196,1
4.56015,14.8775,-0.531432,1
4.63094,14.8359,-0.528619,1
4.7018,14.7945,-0.525758,1
4.77273,14.7533,-0.522852,1
4.84373,14.7124,-0.519904,1
4.91479,14.6717,-0.516916,1
4.98592,14.6313,-0.513891,1
5.05713,14.5911,-0.510831,1
5.1284,14.5512,-0.507739,1
5.19974,14.5115,-0.504618,1
5.27116,14.472,-0.501469,1
5.34265,14.4328,-0.498295,1
5.41421,14.3939,-0.495098,1
5.48585,14.3552,-0.491881,1
5.55756,14.3168,-0.488645,1
5.62935,14.2786,-0.485392,1
5.70121,14.2407,-0.482125,1
5.77314,14.2031,-0.478845,1
5.84516,14.1657,-0.475555,1
5.91724,14.1286,-0.472257,1
5.98941,14.0917,-0.468952,1
6.06165,14.0551,-0.465642,1
6.13396,14.0188,-0.46233,1
6.20636,13.9827,-0.459017,1
6.27882,13.9469,-0.455706,1
6.35137,13.9113,-0.452398,1
6.42399,13.876,-0.449095,1
6.49668,13.841,-0.445799,1
6.56945,13.8062,-0.442512,1
6.64229,13.7717,-0.439236,1
6.71521,13.7374,-0.435973,1
6.7882,13.7034,-0.432725,1
6.86126,13.6697,-0.429493,1
6.9344,13.6362,-0.426279,1
