x,y,yaw,dir
-0.25135,18.0369,-0.58729,1
-0.188839,17.9953,-0.58729,1
-0.126327,17.9537,-0.58729,1
-0.0638161,17.912,-0.58729,1
-0.00130469,17.8704,-0.626521,1
0.0612067,17.8252,-0.626521,1
0.123718,17.7799,-0.626521,1
0.186229,17.7347,-0.626521,1
0.248741,17.6895,-0.712214,1
0.311252,17.6355,-0.712214,1
0.373763,17.5815,-0.712214,1
0.436275,17.5275,-0.712214,1
0.498786,17.4736,-0.743096,1
0.561297,17.4161,-0.743096,1
0.623809,17.3587,-0.743096,1
0.68632,17.3013,-0.743096,1
0.748831,17.2438,-0.739486,1
0.811342,17.1868,-0.739486,1
0.873854,17.1298,-0.739486,1
0.936365,17.0728,-0.739486,1
0.998876,17.0158,-0.699135,1
1.06139,16.9632,-0.699135,1
1.1239,16.9106,-0.699135,1
1.18641,16.8581,-0.699135,1
1.24892,16.8055,-0.594594,1
1.31143,16.7632,-0.594594,1
1.37394,16.721,-0.594594,1
1.43645,16.6787,-0.594594,1
1.49896,16.6364,-0.338958,1
1.58231,16.607,-0.338958,1
1.66566,16.5777,-0.338958,1
1.74901,16.5483,-0.176999,1
1.83236,16.5334,-0.176999,1
1.9157,16.5184,-0.176999,1
1.99905,16.5035,-0.0854538,1
2.0824,16.4964,-0.0854538,1
2.16574,16.4893,-0.0854538,1
2.24909,16.4821,-0.0356336,1
2.33244,16.4792,-0.0356336,1
2.41579,16.4762,-0.0356336,1
2.49913,16.4732,-0.00881679,1
2.58248,16.4725,-0.00881679,1
2.66583,16.4717,-0.00881679,1
2.74917,16.471,0.00557322,1
2.83252,16.4715,0.00557322,1
2.91587,16.4719,0.00557322,1
2.99921,16.4724,0.0132856,1
3.08256,16.4735,0.0132856,1
3.1659,16.4746,0.0132856,1
3.24925,16.4757,0.017414,1
3.3326,16.4772,0.017414,1
3.41594,16.4786,0.017414,1
3.49929,16.4801,0.0196191,1
3.58263,16.4817,0.0196191,1
3.66598,16.4833,0.0196191,1
3.74932,16.485,0.020792,1
3.83267,16.4867,0.020792,1
3.91601,16.4884,0.020792,1
3.99936,16.4902,0.0214107,1
4.0827,16.492,0.0214107,1
4.16604,16.4937,0.0214107,1
4.24939,16.4955,0.0217318,1
4.33273,16.4973,0.0217318,1
4.41608,16.4992,0.0217318,1
4.49942,16.501,0.0218928,1
4.58276,16.5028,0.0218928,1
4.66611,16.5046,0.0218928,1
4.74945,16.5064,0.0219676,1
4.83279,16.5083,0.0219676,1
4.91613,16.5101,0.0219676,1
4.99947,16.5119,0.0219957,1
5.08282,16.5138,0.0219957,1
5.16616,16.5156,0.0219957,1
5.2495,16.5174,0.0219983,1
5.33284,16.5193,0.0219983,1
5.41618,16.5211,0.0219983,1
5.49952,16.5229,0.0219866,1
5.58286,16.5248,0.0219866,1
5.6662,16.5266,0.0219866,1
5.74954,16.5284,0.0219665,1
5.83288,16.5303,0.0219665,1
5.91622,16.5321,0.0219665,1
5.99956,16.5339,0.0219408,1
6.0829,16.5358,0.0219408,1
6.16624,16.5376,0.0219408,1
6.24958,16.5394,0.0219102,1
6.33291,16.5412,0.0219102,1
6.41625,16.5431,0.0219102,1
6.49959,16.5449,0.021874,1
6.58292,16.5467,0.021874,1
6.66626,16.5485,0.021874,1
6.7496,16.5504,0.0218294,1
6.83293,16.5522,0.0218294,1
6.91627,16.554,0.0218294,1
6.9996,16.5558,0.0217707,1
7.08294,16.5576,0.0217707,1
7.16627,16.5595,0.0217707,1
7.24961,16.5613,0.0216868,1
7.33294,16.5631,0.0216868,1
7.41627,16.5649,0.0216868,1
7.49961,16.5667,0.0215567,1
7.58294,16.5685,0.0215567,1
7.66627,16.5703,0.0215567,1
7.7496,16.5721,0.0213412,1
7.83293,16.5739,0.0213412,1
7.91626,16.5756,0.0213412,1
7.99959,16.5774,0.020967,1
8.08292,16.5792,0.020967,1
8.16625,16.5809,0.020967,1
8.24958,16.5827,0.0202978,1
8.33291,16.5843,0.0202978,1
8.41624,16.586,0.0202978,1
8.49957,16.5877,0.0190788,1
8.58289,16.5893,0.0190788,1
8.66622,16.5909,0.0190788,1
8.74955,16.5925,0.0168356,1
8.83287,16.5939,0.0168356,1
8.9162,16.5953,0.0168356,1
