x,y,yaw,dir
-0.25135,18.0369,-0.333556,1
-0.177998,18.0115,-0.333419,1
-0.104642,17.986,-0.333143,1
-0.0312785,17.9607,-0.332731,1
0.042097,17.9353,-0.332181,1
0.115488,17.91,-0.331495,1
0.188899,17.8847,-0.330674,1
0.262334,17.8595,-0.329719,1
0.335795,17.8344,-0.32863,1
0.409289,17.8093,-0.327411,1
0.482817,17.7843,-0.326062,1
0.556384,17.7595,-0.324585,1
0.629993,17.7347,-0.322984,1
0.703649,17.71,-0.32126,1
0.777355,17.6855,-0.319417,1
0.851114,17.6611,-0.317459,1
0.924929,17.6369,-0.315388,1
0.998804,17.6128,-0.313208,1
1.07274,17.5888,-0.310923,1
1.14675,17.565,-0.308537,1
1.22082,17.5414,-0.306053,1
1.29497,17.518,-0.303477,1
1.36918,17.4948,-0.300812,1
1.44348,17.4717,-0.298061,1
1.51786,17.4489,-0.29523,1
1.59231,17.4262,-0.292322,1
1.66685,17.4038,-0.289342,1
1.74148,17.3816,-0.286294,1
1.81619,17.3596,-0.283182,1
1.891,17.3378,-0.280011,1
1.96589,17.3163,-0.276785,1
2.04088,17.295,-0.273509,1
2.11596,17.2739,-0.270187,1
2.19114,17.2531,-0.266825,1
2.26641,17.2325,-0.263427,1
2.34178,17.2122,-0.259998,1
2.41725,17.1921,-0.256543,1
2.49283,17.1723,-0.253068,1
2.5685,17.1527,-0.249577,1
2.64427,17.1334,-0.246077,1
2.72015,17.1143,-0.242572,1
2.79613,17.0955,-0.239068,1
2.87221,17.077,-0.23557,1
2.94839,17.0587,-0.232083,1
3.02467,17.0407,-0.228611,1
3.10106,17.0229,-0.225161,1
3.17755,17.0054,-0.221737,1
3.25413,16.9881,-0.218342,1
3.33082,16.9711,-0.214983,1
3.40761,16.9543,-0.211662,1
3.48449,16.9378,-0.208384,1
3.56147,16.9215,-0.205153,1
3.63855,16.9055,-0.201973,1
3.71572,16.8897,-0.198846,1
3.79299,16.8741,-0.195778,1
3.87035,16.8588,-0.19277,1
3.9478,16.8437,-0.189826,1
4.02533,16.8288,-0.186949,1
4.10296,16.8141,-0.184143,1
4.18067,16.7996,-0.181409,1
4.25846,16.7853,-0.17875,1
4.33634,16.7713,-0.176169,1
4.4143,16.7574,-0.173669,1
4.49233,16.7437,-0.171251,1
4.57044,16.7302,-0.168918,1
4.64862,16.7169,-0.166671,1
4.72688,16.7037,-0.164514,1
4.8052,16.6907,-0.162446,1
4.8836,16.6778,-0.160471,1
4.96205,16.6651,-0.158589,1
5.04057,16.6526,-0.156802,1
5.11915,16.6402,-0.155111,1
5.19778,16.6279,-0.153517,1
