grid_x,grid_y,world_x,world_y
40,80,-0.251350,18.036884
41,80,-0.001350,18.036884
42,80,0.248650,18.036884
43,80,0.498650,18.036884
44,80,0.748650,18.036884
45,80,0.998650,18.036884
46,80,1.248650,18.036884
47,79,1.498650,17.786884
48,78,1.748650,17.536884
49,78,1.998650,17.536884
50,78,2.248650,17.536884
51,78,2.498650,17.536884
52,78,2.748650,17.536884
53,78,2.998650,17.536884
54,78,3.248650,17.536884
55,78,3.498650,17.536884
56,77,3.748650,17.286884
57,76,3.998650,17.036884
58,75,4.248650,16.786884
59,74,4.498650,16.536884
60,73,4.748650,16.286884
61,72,4.998650,16.036884
62,71,5.248650,15.786884
63,70,5.498650,15.536884
64,69,5.748650,15.286884
65,68,5.998650,15.036884
66,67,6.248650,14.786884
67,66,6.498650,14.536884
68,65,6.748650,14.286884
69,64,6.998650,14.036884
70,63,7.248650,13.786884
71,62,7.498650,13.536884
72,61,7.748650,13.286884
73,60,7.998650,13.036884
74,59,8.248650,12.786884
75,58,8.498650,12.536884
76,57,8.748650,12.286884
77,56,8.998650,12.036884
78,55,9.248650,11.786884
79,54,9.498650,11.536884
80,53,9.748650,11.286884
81,52,9.998650,11.036884
82,51,10.248650,10.786884
83,50,10.498650,10.536884
84,49,10.748650,10.286884
85,48,10.998650,10.036884
86,47,11.248650,9.786884
87,46,11.498650,9.536884
88,45,11.748650,9.286884
89,44,11.998650,9.036884
90,43,12.248650,8.786884
91,42,12.498650,8.536884
92,41,12.748650,8.286884
93,40,12.998650,8.036884
94,39,13.248650,7.786884
95,39,13.498650,7.786884
96,38,13.748650,7.536884
97,38,13.998650,7.536884
98,38,14.248650,7.536884
99,38,14.498650,7.536884
100,38,14.748650,7.536884
101,38,14.998650,7.536884
102,38,15.248650,7.536884
103,38,15.498650,7.536884
104,38,15.748650,7.536884
105,38,15.998650,7.536884
106,37,16.248650,7.286884
107,36,16.498650,7.036884
108,35,16.748650,6.786884
109,34,16.998650,6.536884
110,33,17.248650,6.286884
111,32,17.498650,6.036884
112,32,17.748650,6.036884
113,32,17.998650,6.036884
114,32,18.248650,6.036884
115,32,18.498650,6.036884
116,32,18.748650,6.036884
117,32,18.998650,6.036884
118,32,19.248650,6.036884
119,32,19.498650,6.036884
120,32,19.748650,6.036884
121,32,19.998650,6.036884
122,32,20.248650,6.036884
123,32,20.498650,6.036884
124,32,20.748650,6.036884
125,32,20.998650,6.036884
126,32,21.248650,6.036884
127,32,21.498650,6.036884
128,32,21.748650,6.036884
129,32,21.998650,6.036884
130,32,22.248650,6.036884
131,32,22.498650,6.036884
132,32,22.748650,6.036884
133,32,22.998650,6.036884
134,32,23.248650,6.036884
135,32,23.498650,6.036884
136,32,23.748650,6.036884
137,32,23.998650,6.036884
138,32,24.248650,6.036884
139,32,24.498650,6.036884
140,32,24.748650,6.036884
141,32,24.998650,6.036884
142,32,25.248650,6.036884
143,32,25.498650,6.036884
144,32,25.748650,6.036884
145,32,25.998650,6.036884
146,31,26.248650,5.786884
147,30,26.498650,5.536884
148,30,26.748650,5.536884
149,30,26.998650,5.536884
150,30,27.248650,5.536884
151,30,27.498650,5.536884
152,30,27.748650,5.536884
153,30,27.998650,5.536884
154,30,28.248650,5.536884
155,30,28.498650,5.536884
156,30,28.748650,5.536884
157,30,28.998650,5.536884
158,30,29.248650,5.536884
159,30,29.498650,5.536884
160,30,29.748650,5.536884
161,30,29.998650,5.536884
162,30,30.248650,5.536884
163,30,30.498650,5.536884
164,30,30.748650,5.536884
165,30,30.998650,5.536884
166,30,31.248650,5.536884
167,30,31.498650,5.536884
168,30,31.748650,5.536884
169,30,31.998650,5.536884
170,30,32.248650,5.536884
171,30,32.498650,5.536884
172,30,32.748650,5.536884
173,30,32.998650,5.536884
174,30,33.248650,5.536884
175,30,33.498650,5.536884
176,30,33.748650,5.536884
177,30,33.998650,5.536884
178,30,34.248650,5.536884
179,30,34.498650,5.536884
180,30,34.748650,5.536884
181,30,34.998650,5.536884
182,30,35.248650,5.536884
183,30,35.498650,5.536884
184,30,35.748650,5.536884
185,30,35.998650,5.536884
186,30,36.248650,5.536884
187,30,36.498650,5.536884
188,30,36.748650,5.536884
189,30,36.998650,5.536884
190,30,37.248650,5.536884
191,30,37.498650,5.536884
192,30,37.748650,5.536884
193,30,37.998650,5.536884
194,30,38.248650,5.536884
195,30,38.498650,5.536884
196,30,38.748650,5.536884
197,30,38.998650,5.536884
198,30,39.248650,5.536884
199,30,39.498650,5.536884
200,30,39.748650,5.536884
201,30,39.998650,5.536884
202,30,40.248650,5.536884
203,30,40.498650,5.536884
204,30,40.748650,5.536884
205,30,40.998650,5.536884
206,30,41.248650,5.536884
207,30,41.498650,5.536884
208,30,41.748650,5.536884
209,30,41.998650,5.536884
210,30,42.248650,5.536884
211,30,42.498650,5.536884
212,30,42.748650,5.536884
213,30,42.998650,5.536884
214,30,43.248650,5.536884
215,30,43.498650,5.536884
216,30,43.748650,5.536884
217,30,43.998650,5.536884
218,30,44.248650,5.536884
219,30,44.498650,5.536884
220,30,44.748650,5.536884
