x,y,yaw,dir
-0.25135,18.0369,-0.0109142,1
-0.168002,18.036,-0.0109142,1
-0.0846532,18.0351,-0.0109142,1
-0.00130469,18.0342,-0.0941099,1
0.0820438,18.0263,-0.0941099,1
0.165392,18.0184,-0.0941099,1
0.248741,18.0106,-0.286612,1
0.332089,17.986,-0.286612,1
0.415438,17.9614,-0.286612,1
0.498786,17.9369,-0.605381,1
0.561297,17.8936,-0.605381,1
0.623809,17.8503,-0.605381,1
0.68632,17.8071,-0.605381,1
0.748831,17.7638,-0.681088,1
0.811342,17.7131,-0.681088,1
0.873854,17.6625,-0.681088,1
0.936365,17.6118,-0.681088,1
0.998876,17.5612,-0.608895,1
1.06139,17.5176,-0.608895,1
1.1239,17.474,-0.608895,1
1.18641,17.4304,-0.608895,1
1.24892,17.3868,-0.298076,1
1.33227,17.3612,-0.298076,1
1.41562,17.3356,-0.298076,1
1.49896,17.31,-0.135579,1
1.58231,17.2986,-0.135579,1
1.66566,17.2872,-0.135579,1
1.74901,17.2759,-0.115989,1
1.83236,17.2662,-0.115989,1
1.9157,17.2565,-0.115989,1
1.99905,17.2467,-0.235124,1
2.0824,17.2268,-0.235124,1
2.16574,17.2068,-0.235124,1
2.24909,17.1868,-0.506493,1
2.33244,17.1406,-0.506493,1
2.41579,17.0944,-0.506493,1
2.49913,17.0481,-0.5716,1
2.58248,16.9945,-0.5716,1
2.66583,16.9409,-0.5716,1
2.74917,16.8873,-0.495389,1
2.83252,16.8423,-0.495389,1
2.91587,16.7972,-0.495389,1
2.99921,16.7522,-0.432569,1
3.08256,16.7137,-0.432569,1
3.1659,16.6752,-0.432569,1
3.24925,16.6367,-0.359646,1
3.3326,16.6054,-0.359646,1
3.41594,16.5741,-0.359646,1
3.49929,16.5427,-0.397948,1
3.58263,16.5077,-0.397948,1
3.66598,16.4727,-0.397948,1
3.74932,16.4376,-0.549648,1
3.83267,16.3866,-0.549648,1
3.91601,16.3355,-0.549648,1
3.99936,16.2844,-0.536123,1
4.0827,16.2349,-0.536123,1
4.16604,16.1854,-0.536123,1
4.24939,16.1359,-0.343471,1
4.33273,16.1061,-0.343471,1
4.41608,16.0763,-0.343471,1
4.49942,16.0465,-0.235873,1
4.58276,16.0264,-0.235873,1
4.66611,16.0064,-0.235873,1
4.74945,15.9864,-0.192926,1
4.83279,15.9701,-0.192926,1
4.91613,15.9538,-0.192926,1
4.99947,15.9375,-0.201894,1
5.08282,15.9205,-0.201894,1
5.16616,15.9034,-0.201894,1
5.2495,15.8863,-0.0965918,1
5.33284,15.8783,-0.0965918,1
5.41618,15.8702,-0.0965918,1
5.49952,15.8621,-0.0419967,1
5.58286,15.8586,-0.0419967,1
5.6662,15.8551,-0.0419967,1
5.74954,15.8516,-0.0181217,1
5.83288,15.8501,-0.0181217,1
5.91622,15.8486,-0.0181217,1
5.99956,15.8471,-0.0156457,1
6.0829,15.8458,-0.0156457,1
6.16624,15.8445,-0.0156457,1
6.24958,15.8432,-0.0335938,1
6.33291,15.8404,-0.0335938,1
6.41625,15.8376,-0.0335938,1
6.49959,15.8348,-0.079027,1
6.58292,15.8282,-0.079027,1
6.66626,15.8216,-0.079027,1
6.7496,15.815,-0.169016,1
6.83293,15.8008,-0.169016,1
6.91627,15.7865,-0.169016,1
6.9996,15.7723,-0.331812,1
7.08294,15.7436,-0.331812,1
7.16627,15.7149,-0.331812,1
7.24961,15.6862,-0.590639,1
7.31211,15.6443,-0.590639,1
7.37461,15.6024,-0.590639,1
7.43711,15.5605,-0.590639,1
7.49961,15.5186,-0.701815,1
7.56211,15.4657,-0.701815,1
7.6246,15.4129,-0.701815,1
7.6871,15.36,-0.701815,1
7.7496,15.3072,-0.754084,1
7.8121,15.2485,-0.754084,1
7.8746,15.1898,-0.754084,1
7.9371,15.1311,-0.754084,1
7.99959,15.0724,-0.780168,1
8.06209,15.0106,-0.780168,1
8.12459,14.9487,-0.780168,1
8.18709,14.8869,-0.780168,1
8.24958,14.825,-0.793604,1
8.31208,14.7615,-0.793604,1
8.37458,14.698,-0.793604,1
8.43707,14.6344,-0.793604,1
8.49957,14.5709,-0.800608,1
8.56206,14.5065,-0.800608,1
8.62456,14.442,-0.800608,1
8.68705,14.3776,-0.800608,1
8.74955,14.3132,-0.804213,1
8.81204,14.2483,-0.804213,1
8.87454,14.1834,-0.804213,1
8.93703,14.1185,-0.804213,1
8.99952,14.0536,-0.805924,1
9.06202,13.9885,-0.805924,1
9.12451,13.9234,-0.805924,1
9.187,13.8583,-0.805924,1
9.2495,13.7932,-0.806443,1
9.31199,13.728,-0.806443,1
9.37448,13.6628,-0.806443,1
9.43697,13.5976,-0.806443,1
9.49946,13.5325,-0.805975,1
9.56195,13.4673,-0.805975,1
9.62444,13.4022,-0.805975,1
9.68693,13.3371,-0.805975,1
9.74942,13.272,-0.804326,1
9.81191,13.2071,-0.804326,1
9.8744,13.1422,-0.804326,1
9.93689,13.0773,-0.804326,1
9.99938,13.0124,-0.800817,1
10.0619,12.9479,-0.800817,1
10.1244,12.8835,-0.800817,1
10.1868,12.8191,-0.800817,1
10.2493,12.7546,-0.793975,1
10.3118,12.691,-0.793975,1
10.3743,12.6275,-0.793975,1
10.4368,12.5639,-0.793975,1
10.4993,12.5003,-0.780835,1
10.5618,12.4384,-0.780835,1
10.6242,12.3765,-0.780835,1
10.6867,12.3146,-0.780835,1
10.7492,12.2527,-0.755328,1
10.8117,12.1938,-0.755328,1
10.8742,12.135,-0.755328,1
10.9367,12.0762,-0.755328,1
10.9992,12.0173,-0.704274,1
11.0616,11.9642,-0.704274,1
11.1241,11.9112,-0.704274,1
11.1866,11.8581,-0.704274,1
11.2491,11.805,-0.595933,1
11.3116,11.7626,-0.595933,1
11.374,11.7202,-0.595933,1
11.4365,11.6779,-0.595933,1
11.499,11.6355,-0.344407,1
11.5823,11.6056,-0.344407,1
11.6656,11.5757,-0.344407,1
