x,y,yaw,dir
-0.25135,18.0369,-0.364405,1
-0.17335,18.0071,-0.364313,1
-0.0953447,17.9774,-0.364129,1
-0.0173291,17.9477,-0.363854,1
0.0607018,17.9179,-0.363491,1
0.138753,17.8882,-0.36304,1
0.216829,17.8586,-0.362505,1
0.294936,17.829,-0.361889,1
0.373076,17.7994,-0.361196,1
0.451256,17.7698,-0.360427,1
0.529479,17.7404,-0.359588,1
0.60775,17.7109,-0.358682,1
0.686071,17.6816,-0.357712,1
0.764448,17.6523,-0.356684,1
0.842884,17.6231,-0.355599,1
0.921381,17.5939,-0.354461,1
0.999942,17.5648,-0.353274,1
1.07857,17.5358,-0.352042,1
1.15727,17.5069,-0.350765,1
1.23604,17.4781,-0.349449,1
1.31489,17.4494,-0.348094,1
1.39382,17.4207,-0.346705,1
1.47282,17.3922,-0.345284,1
1.5519,17.3637,-0.343834,1
1.63107,17.3354,-0.34236,1
1.71032,17.3072,-0.340866,1
1.78965,17.279,-0.339356,1
1.86906,17.251,-0.337835,1
1.94856,17.2231,-0.336309,1
2.02814,17.1952,-0.334785,1
2.10781,17.1675,-0.333269,1
2.18755,17.1399,-0.331768,1
2.26738,17.1124,-0.330288,1
2.34729,17.085,-0.328838,1
2.42728,17.0577,-0.327424,1
2.50734,17.0305,-0.326054,1
2.58747,17.0034,-0.324735,1
2.66768,16.9764,-0.323472,1
2.74795,16.9495,-0.322274,1
2.82828,16.9227,-0.321145,1
2.90867,16.896,-0.320091,1
2.98912,16.8693,-0.319119,1
3.06961,16.8427,-0.318233,1
3.15015,16.8162,-0.31744,1
3.23074,16.7897,-0.316744,1
3.31135,16.7633,-0.316151,1
3.39199,16.7369,-0.315667,1
3.47266,16.7105,-0.315298,1
3.55334,16.6842,-0.315049,1
3.63403,16.6579,-0.314927,1
3.71473,16.6316,-0.314938,1
3.79542,16.6053,-0.315087,1
3.8761,16.579,-0.315382,1
3.95676,16.5527,-0.315828,1
4.0374,16.5264,-0.316431,1
4.118,16.5,-0.317197,1
4.19856,16.4735,-0.318132,1
4.27908,16.447,-0.31924,1
4.35953,16.4204,-0.320528,1
4.43992,16.3937,-0.321999,1
4.52023,16.3669,-0.323658,1
4.60047,16.34,-0.325509,1
4.68061,16.313,-0.327556,1
4.76065,16.2858,-0.329802,1
4.84058,16.2584,-0.332252,1
4.9204,16.2309,-0.334907,1
5.00009,16.2032,-0.337772,1
5.07965,16.1752,-0.340848,1
5.15906,16.147,-0.344139,1
5.23833,16.1186,-0.347646,1
5.31743,16.09,-0.351371,1
5.39637,16.061,-0.355317,1
5.47512,16.0318,-0.359484,1
5.5537,16.0023,-0.363872,1
5.63208,15.9724,-0.368481,1
5.71026,15.9422,-0.373312,1
5.78822,15.9117,-0.378362,1
5.86598,15.8808,-0.38363,1
5.9435,15.8495,-0.389114,1
6.0208,15.8178,-0.394811,1
6.09786,15.7857,-0.400717,1
6.17467,15.7532,-0.406828,1
6.25122,15.7202,-0.413139,1
6.32752,15.6867,-0.419645,1
6.40355,15.6528,-0.426341,1
6.47931,15.6184,-0.433221,1
6.5548,15.5835,-0.440277,1
6.63,15.5481,-0.447502,1
6.70491,15.5121,-0.45489,1
6.77954,15.4756,-0.462432,1
6.85386,15.4386,-0.470119,1
6.92789,15.4009,-0.477944,1
7.00161,15.3627,-0.485896,1
7.07503,15.324,-0.493965,1
7.14813,15.2846,-0.502143,1
7.22092,15.2446,-0.510418,1
7.2934,15.2041,-0.51878,1
7.36556,15.1629,-0.527216,1
7.4374,15.121,-0.535716,1
7.50891,15.0786,-0.544268,1
7.58011,15.0355,-0.55286,1
7.65098,14.9918,-0.561479,1
7.72154,14.9474,-0.570112,1
7.79176,14.9024,-0.578748,1
7.86167,14.8567,-0.587372,1
7.93126,14.8104,-0.595973,1
8.00052,14.7634,-0.604539,1
8.06947,14.7157,-0.613056,1
8.1381,14.6675,-0.621512,1
8.20642,14.6185,-0.629896,1
8.27442,14.569,-0.638195,1
8.34212,14.5187,-0.646399,1
8.40952,14.4679,-0.654496,1
8.47661,14.4164,-0.662476,1
8.54341,14.3643,-0.670329,1
8.60992,14.3116,-0.678044,1
8.67614,14.2582,-0.685612,1
8.74208,14.2043,-0.693024,1
8.80774,14.1498,-0.700271,1
8.87313,14.0947,-0.707345,1
8.93826,14.039,-0.714239,1
9.00313,13.9828,-0.720943,1
9.06775,13.926,-0.727452,1
9.13212,13.8687,-0.733758,1
9.19626,13.8108,-0.739856,1
9.26016,13.7525,-0.745738,1
9.32385,13.6937,-0.751401,1
9.38732,13.6344,-0.756837,1
9.45059,13.5746,-0.762042,1
9.51365,13.5144,-0.767012,1
9.57653,13.4538,-0.771743,1
9.63923,13.3928,-0.77623,1
9.70175,13.3314,-0.78047,1
9.76412,13.2697,-0.78446,1
9.82633,13.2076,-0.788196,1
9.88839,13.1452,-0.791675,1
9.95033,13.0825,-0.794896,1
10.0121,13.0195,-0.797856,1
10.0738,12.9562,-0.800553,1
10.1354,12.8927,-0.802985,1
10.1969,12.829,-0.805151,1
10.2583,12.7651,-0.807049,1
10.3197,12.7011,-0.808677,1
10.3809,12.6369,-0.810036,1
10.4422,12.5726,-0.811124,1
10.5033,12.5082,-0.81194,1
10.5645,12.4437,-0.812485,1
10.6256,12.3791,-0.788998,1
10.6875,12.3168,-0.764517,1
10.7502,12.2567,-0.739861,1
10.8137,12.1987,-0.715073,1
10.8779,12.1429,-0.690203,1
10.9429,12.0893,-0.665305,1
11.0087,12.0377,-0.640442,1
11.0752,11.9881,-0.615675,1
11.1424,11.9406,-0.591069,1
11.2102,11.895,-0.566687,1
11.2788,11.8514,-0.542587,1
11.3481,11.8096,-0.518823,1
11.418,11.7697,-0.495443,1
11.4885,11.7316,-0.472487,1
11.5597,11.6952,-0.449989,1
11.6315,11.6606,-0.427977,1
11.7039,11.6275,-0.406473,1
11.7768,11.5961,-0.385495,1
11.8503,11.5663,-0.365058,1
11.9244,11.538,-0.345176,1
11.999,11.5112,-0.325858,1
12.0741,11.4858,-0.307114,1
12.1497,11.4618,-0.28895,1
12.2257,11.4392,-0.271372,1
12.3023,11.4179,-0.254384,1
12.3793,11.3979,-0.237989,1
12.4568,11.3791,-0.222186,1
