grid_x,grid_y,world_x,world_y
40,80,-0.251350,18.036884
41,79,-0.001350,17.786884
42,78,0.248650,17.536884
43,77,0.498650,17.286884
44,76,0.748650,17.036884
45,75,0.998650,16.786884
46,74,1.248650,16.536884
47,74,1.498650,16.536884
48,74,1.748650,16.536884
49,74,1.998650,16.536884
50,74,2.248650,16.536884
51,74,2.498650,16.536884
52,74,2.748650,16.536884
53,74,2.998650,16.536884
54,74,3.248650,16.536884
55,74,3.498650,16.536884
56,74,3.748650,16.536884
57,74,3.998650,16.536884
58,74,4.248650,16.536884
59,74,4.498650,16.536884
60,74,4.748650,16.536884
61,74,4.998650,16.536884
62,74,5.248650,16.536884
63,74,5.498650,16.536884
64,74,5.748650,16.536884
65,74,5.998650,16.536884
66,74,6.248650,16.536884
67,74,6.498650,16.536884
68,74,6.748650,16.536884
69,74,6.998650,16.536884
70,74,7.248650,16.536884
71,74,7.498650,16.536884
72,74,7.748650,16.536884
73,74,7.998650,16.536884
74,74,8.248650,16.536884
75,74,8.498650,16.536884
76,74,8.748650,16.536884
77,74,8.998650,16.536884
78,74,9.248650,16.536884
79,74,9.498650,16.536884
80,74,9.748650,16.536884
81,74,9.998650,16.536884
82,74,10.248650,16.536884
83,74,10.498650,16.536884
84,74,10.748650,16.536884
85,74,10.998650,16.536884
86,74,11.248650,16.536884
87,73,11.498650,16.286884
88,72,11.748650,16.036884
89,71,11.998650,15.786884
90,70,12.248650,15.536884
91,69,12.498650,15.286884
92,68,12.748650,15.036884
93,68,12.998650,15.036884
94,68,13.248650,15.036884
95,68,13.498650,15.036884
96,68,13.748650,15.036884
97,68,13.998650,15.036884
98,68,14.248650,15.036884
99,68,14.498650,15.036884
100,68,14.748650,15.036884
101,68,14.998650,15.036884
102,67,15.248650,14.786884
103,66,15.498650,14.536884
104,65,15.748650,14.286884
105,64,15.998650,14.036884
106,63,16.248650,13.786884
107,62,16.498650,13.536884
108,61,16.748650,13.286884
109,60,16.998650,13.036884
110,59,17.248650,12.786884
111,58,17.498650,12.536884
112,57,17.748650,12.286884
113,56,17.998650,12.036884
114,55,18.248650,11.786884
115,55,18.498650,11.786884
116,55,18.748650,11.786884
117,55,18.998650,11.786884
118,55,19.248650,11.786884
119,55,19.498650,11.786884
120,55,19.748650,11.786884
121,55,19.998650,11.786884
122,55,20.248650,11.786884
123,55,20.498650,11.786884
124,54,20.748650,11.536884
125,54,20.998650,11.536884
126,54,21.248650,11.536884
127,54,21.498650,11.536884
128,54,21.748650,11.536884
129,54,21.998650,11.536884
130,54,22.248650,11.536884
131,54,22.498650,11.536884
132,54,22.748650,11.536884
133,54,22.998650,11.536884
134,54,23.248650,11.536884
135,54,23.498650,11.536884
136,54,23.748650,11.536884
137,54,23.998650,11.536884
138,54,24.248650,11.536884
139,54,24.498650,11.536884
140,54,24.748650,11.536884
141,54,24.998650,11.536884
142,54,25.248650,11.536884
143,54,25.498650,11.536884
144,54,25.748650,11.536884
145,54,25.998650,11.536884
146,54,26.248650,11.536884
147,54,26.498650,11.536884
148,54,26.748650,11.536884
149,54,26.998650,11.536884
150,54,27.248650,11.536884
151,54,27.498650,11.536884
152,54,27.748650,11.536884
153,54,27.998650,11.536884
154,54,28.248650,11.536884
155,54,28.498650,11.536884
156,54,28.748650,11.536884
157,54,28.998650,11.536884
158,54,29.248650,11.536884
159,54,29.498650,11.536884
160,54,29.748650,11.536884
161,54,29.998650,11.536884
162,54,30.248650,11.536884
163,54,30.498650,11.536884
164,54,30.748650,11.536884
165,54,30.998650,11.536884
166,54,31.248650,11.536884
167,54,31.498650,11.536884
168,54,31.748650,11.536884
169,54,31.998650,11.536884
170,54,32.248650,11.536884
171,54,32.498650,11.536884
172,54,32.748650,11.536884
173,54,32.998650,11.536884
174,53,33.248650,11.286884
175,52,33.498650,11.036884
176,51,33.748650,10.786884
177,50,33.998650,10.536884
178,49,34.248650,10.286884
179,48,34.498650,10.036884
180,47,34.748650,9.786884
181,47,34.998650,9.786884
182,46,35.248650,9.536884
183,45,35.498650,9.286884
184,44,35.748650,9.036884
185,43,35.998650,8.786884
186,42,36.248650,8.536884
187,41,36.498650,8.286884
188,40,36.748650,8.036884
189,39,36.998650,7.786884
190,38,37.248650,7.536884
191,38,37.498650,7.536884
192,38,37.748650,7.536884
193,38,37.998650,7.536884
194,38,38.248650,7.536884
195,38,38.498650,7.536884
196,38,38.748650,7.536884
197,38,38.998650,7.536884
198,38,39.248650,7.536884
199,37,39.498650,7.286884
200,37,39.748650,7.286884
201,37,39.998650,7.286884
202,37,40.248650,7.286884
203,37,40.498650,7.286884
204,37,40.748650,7.286884
205,36,40.998650,7.036884
206,35,41.248650,6.786884
207,34,41.498650,6.536884
208,33,41.748650,6.286884
209,32,41.998650,6.036884
210,31,42.248650,5.786884
211,30,42.498650,5.536884
212,30,42.748650,5.536884
213,30,42.998650,5.536884
214,30,43.248650,5.536884
215,30,43.498650,5.536884
216,30,43.748650,5.536884
217,30,43.998650,5.536884
218,30,44.248650,5.536884
219,30,44.498650,5.536884
220,30,44.748650,5.536884
