grid_x,grid_y,world_x,world_y
40,80,-0.251350,18.036884
41,80,-0.001350,18.036884
42,80,0.248650,18.036884
43,80,0.498650,18.036884
44,79,0.748650,17.786884
45,78,0.998650,17.536884
46,77,1.248650,17.286884
47,77,1.498650,17.286884
48,77,1.748650,17.286884
49,77,1.998650,17.286884
50,77,2.248650,17.286884
51,76,2.498650,17.036884
52,75,2.748650,16.786884
53,75,2.998650,16.786884
54,74,3.248650,16.536884
55,74,3.498650,16.536884
56,74,3.748650,16.536884
57,73,3.998650,16.286884
58,72,4.248650,16.036884
59,72,4.498650,16.036884
60,72,4.748650,16.036884
61,72,4.998650,16.036884
62,71,5.248650,15.786884
63,71,5.498650,15.786884
64,71,5.748650,15.786884
65,71,5.998650,15.786884
66,71,6.248650,15.786884
67,71,6.498650,15.786884
68,71,6.748650,15.786884
69,71,6.998650,15.786884
70,71,7.248650,15.786884
71,70,7.498650,15.536884
72,69,7.748650,15.286884
73,68,7.998650,15.036884
74,67,8.248650,14.786884
75,66,8.498650,14.536884
76,65,8.748650,14.286884
77,64,8.998650,14.036884
78,63,9.248650,13.786884
79,62,9.498650,13.536884
80,61,9.748650,13.286884
81,60,9.998650,13.036884
82,59,10.248650,12.786884
83,58,10.498650,12.536884
84,57,10.748650,12.286884
85,56,10.998650,12.036884
86,55,11.248650,11.786884
87,54,11.498650,11.536884
88,54,11.748650,11.536884
89,54,11.998650,11.536884
90,54,12.248650,11.536884
91,54,12.498650,11.536884
92,54,12.748650,11.536884
93,54,12.998650,11.536884
94,54,13.248650,11.536884
95,54,13.498650,11.536884
96,54,13.748650,11.536884
97,54,13.998650,11.536884
98,54,14.248650,11.536884
99,54,14.498650,11.536884
100,54,14.748650,11.536884
101,54,14.998650,11.536884
102,54,15.248650,11.536884
103,54,15.498650,11.536884
104,53,15.748650,11.286884
105,53,15.998650,11.286884
106,53,16.248650,11.286884
107,53,16.498650,11.286884
108,53,16.748650,11.286884
109,53,16.998650,11.286884
110,53,17.248650,11.286884
111,53,17.498650,11.286884
112,53,17.748650,11.286884
113,53,17.998650,11.286884
114,53,18.248650,11.286884
115,53,18.498650,11.286884
116,53,18.748650,11.286884
117,53,18.998650,11.286884
118,53,19.248650,11.286884
119,53,19.498650,11.286884
120,53,19.748650,11.286884
121,53,19.998650,11.286884
122,53,20.248650,11.286884
123,53,20.498650,11.286884
124,53,20.748650,11.286884
125,53,20.998650,11.286884
126,53,21.248650,11.286884
127,53,21.498650,11.286884
128,53,21.748650,11.286884
129,52,21.998650,11.036884
130,52,22.248650,11.036884
131,52,22.498650,11.036884
132,52,22.748650,11.036884
133,52,22.998650,11.036884
134,52,23.248650,11.036884
135,52,23.498650,11.036884
136,52,23.748650,11.036884
137,52,23.998650,11.036884
138,52,24.248650,11.036884
139,52,24.498650,11.036884
140,52,24.748650,11.036884
141,52,24.998650,11.036884
142,52,25.248650,11.036884
143,52,25.498650,11.036884
144,52,25.748650,11.036884
145,52,25.998650,11.036884
146,52,26.248650,11.036884
147,52,26.498650,11.036884
148,52,26.748650,11.036884
149,52,26.998650,11.036884
150,52,27.248650,11.036884
151,52,27.498650,11.036884
152,52,27.748650,11.036884
153,52,27.998650,11.036884
154,52,28.248650,11.036884
155,52,28.498650,11.036884
156,52,28.748650,11.036884
157,51,28.998650,10.786884
158,51,29.248650,10.786884
159,51,29.498650,10.786884
160,51,29.748650,10.786884
161,51,29.998650,10.786884
162,51,30.248650,10.786884
163,51,30.498650,10.786884
164,51,30.748650,10.786884
165,51,30.998650,10.786884
166,51,31.248650,10.786884
167,51,31.498650,10.786884
168,51,31.748650,10.786884
169,51,31.998650,10.786884
170,51,32.248650,10.786884
171,51,32.498650,10.786884
172,51,32.748650,10.786884
173,51,32.998650,10.786884
174,51,33.248650,10.786884
175,51,33.498650,10.786884
176,51,33.748650,10.786884
177,51,33.998650,10.786884
178,51,34.248650,10.786884
179,51,34.498650,10.786884
180,51,34.748650,10.786884
181,51,34.998650,10.786884
182,51,35.248650,10.786884
183,51,35.498650,10.786884
184,51,35.748650,10.786884
185,51,35.998650,10.786884
186,51,36.248650,10.786884
187,50,36.498650,10.536884
188,49,36.748650,10.286884
189,48,36.998650,10.036884
190,47,37.248650,9.786884
191,46,37.498650,9.536884
192,45,37.748650,9.286884
193,44,37.998650,9.036884
194,43,38.248650,8.786884
195,42,38.498650,8.536884
196,41,38.748650,8.286884
197,40,38.998650,8.036884
198,39,39.248650,7.786884
199,38,39.498650,7.536884
200,37,39.748650,7.286884
201,36,39.998650,7.036884
202,36,40.248650,7.036884
203,36,40.498650,7.036884
204,36,40.748650,7.036884
205,36,40.998650,7.036884
206,36,41.248650,7.036884
207,36,41.498650,7.036884
208,36,41.748650,7.036884
209,36,41.998650,7.036884
210,36,42.248650,7.036884
211,36,42.498650,7.036884
212,36,42.748650,7.036884
213,36,42.998650,7.036884
214,36,43.248650,7.036884
215,35,43.498650,6.786884
216,34,43.748650,6.536884
217,33,43.998650,6.286884
218,32,44.248650,6.036884
219,31,44.498650,5.786884
220,30,44.748650,5.536884
