grid_x,grid_y,world_x,world_y
40,80,-0.251350,18.036884
41,80,-0.001350,18.036884
42,80,0.248650,18.036884
43,80,0.498650,18.036884
44,79,0.748650,17.786884
45,78,0.998650,17.536884
46,77,1.248650,17.286884
47,77,1.498650,17.286884
48,77,1.748650,17.286884
49,77,1.998650,17.286884
50,77,2.248650,17.286884
51,76,2.498650,17.036884
52,75,2.748650,16.786884
53,75,2.998650,16.786884
54,74,3.248650,16.536884
55,74,3.498650,16.536884
56,74,3.748650,16.536884
57,73,3.998650,16.286884
58,72,4.248650,16.036884
59,72,4.498650,16.036884
60,72,4.748650,16.036884
61,72,4.998650,16.036884
62,71,5.248650,15.786884
63,71,5.498650,15.786884
64,71,5.748650,15.786884
65,71,5.998650,15.786884
66,71,6.248650,15.786884
67,71,6.498650,15.786884
68,71,6.748650,15.786884
69,71,6.998650,15.786884
70,71,7.248650,15.786884
71,71,7.498650,15.786884
72,71,7.748650,15.786884
73,71,7.998650,15.786884
74,70,8.248650,15.536884
75,69,8.498650,15.286884
76,68,8.748650,15.036884
77,67,8.998650,14.786884
78,66,9.248650,14.536884
79,65,9.498650,14.286884
80,64,9.748650,14.036884
81,63,9.998650,13.786884
82,62,10.248650,13.536884
83,61,10.498650,13.286884
84,60,10.748650,13.036884
85,59,10.998650,12.786884
86,58,11.248650,12.536884
87,57,11.498650,12.286884
88,56,11.748650,12.036884
89,55,11.998650,11.786884
90,55,12.248650,11.786884
91,55,12.498650,11.786884
92,55,12.748650,11.786884
93,55,12.998650,11.786884
94,55,13.248650,11.786884
95,55,13.498650,11.786884
96,55,13.748650,11.786884
97,55,13.998650,11.786884
98,55,14.248650,11.786884
99,55,14.498650,11.786884
100,55,14.748650,11.786884
101,55,14.998650,11.786884
102,55,15.248650,11.786884
103,55,15.498650,11.786884
104,54,15.748650,11.536884
105,53,15.998650,11.286884
106,53,16.248650,11.286884
107,53,16.498650,11.286884
108,53,16.748650,11.286884
109,53,16.998650,11.286884
110,53,17.248650,11.286884
111,53,17.498650,11.286884
112,53,17.748650,11.286884
113,53,17.998650,11.286884
114,53,18.248650,11.286884
115,53,18.498650,11.286884
116,53,18.748650,11.286884
117,53,18.998650,11.286884
118,53,19.248650,11.286884
119,52,19.498650,11.036884
120,51,19.748650,10.786884
121,51,19.998650,10.786884
122,51,20.248650,10.786884
123,51,20.498650,10.786884
124,51,20.748650,10.786884
125,51,20.998650,10.786884
126,51,21.248650,10.786884
127,51,21.498650,10.786884
128,51,21.748650,10.786884
129,51,21.998650,10.786884
130,51,22.248650,10.786884
131,51,22.498650,10.786884
132,51,22.748650,10.786884
133,51,22.998650,10.786884
134,51,23.248650,10.786884
135,51,23.498650,10.786884
136,51,23.748650,10.786884
137,51,23.998650,10.786884
138,51,24.248650,10.786884
139,51,24.498650,10.786884
140,51,24.748650,10.786884
141,51,24.998650,10.786884
142,51,25.248650,10.786884
143,51,25.498650,10.786884
144,51,25.748650,10.786884
145,51,25.998650,10.786884
146,51,26.248650,10.786884
147,51,26.498650,10.786884
148,51,26.748650,10.786884
149,51,26.998650,10.786884
150,51,27.248650,10.786884
151,51,27.498650,10.786884
152,51,27.748650,10.786884
153,51,27.998650,10.786884
154,51,28.248650,10.786884
155,51,28.498650,10.786884
156,51,28.748650,10.786884
157,51,28.998650,10.786884
158,51,29.248650,10.786884
159,51,29.498650,10.786884
160,51,29.748650,10.786884
161,51,29.998650,10.786884
162,51,30.248650,10.786884
163,51,30.498650,10.786884
164,51,30.748650,10.786884
165,51,30.998650,10.786884
166,51,31.248650,10.786884
167,51,31.498650,10.786884
168,51,31.748650,10.786884
169,51,31.998650,10.786884
170,51,32.248650,10.786884
171,51,32.498650,10.786884
172,51,32.748650,10.786884
173,51,32.998650,10.786884
174,51,33.248650,10.786884
175,51,33.498650,10.786884
176,51,33.748650,10.786884
177,51,33.998650,10.786884
178,51,34.248650,10.786884
179,51,34.498650,10.786884
180,51,34.748650,10.786884
181,51,34.998650,10.786884
182,51,35.248650,10.786884
183,51,35.498650,10.786884
184,51,35.748650,10.786884
185,51,35.998650,10.786884
186,51,36.248650,10.786884
187,50,36.498650,10.536884
188,49,36.748650,10.286884
189,48,36.998650,10.036884
190,47,37.248650,9.786884
191,46,37.498650,9.536884
192,45,37.748650,9.286884
193,44,37.998650,9.036884
194,43,38.248650,8.786884
195,42,38.498650,8.536884
196,41,38.748650,8.286884
197,40,38.998650,8.036884
198,39,39.248650,7.786884
199,38,39.498650,7.536884
200,37,39.748650,7.286884
201,36,39.998650,7.036884
202,36,40.248650,7.036884
203,36,40.498650,7.036884
204,36,40.748650,7.036884
205,36,40.998650,7.036884
206,36,41.248650,7.036884
207,36,41.498650,7.036884
208,36,41.748650,7.036884
209,36,41.998650,7.036884
210,36,42.248650,7.036884
211,36,42.498650,7.036884
212,36,42.748650,7.036884
213,36,42.998650,7.036884
214,36,43.248650,7.036884
215,35,43.498650,6.786884
216,34,43.748650,6.536884
217,33,43.998650,6.286884
218,32,44.248650,6.036884
219,31,44.498650,5.786884
220,30,44.748650,5.536884
