x,y,yaw,dir
14.375,14.875,-2.4981,1
14.3114,14.8273,-2.4981,1
14.2478,14.7796,-2.4981,1
14.1842,14.7319,-2.4981,1
14.1206,14.6842,-2.89,1
14.0358,14.6624,-2.89,1
13.951,14.6406,-2.89,1
13.8661,14.6188,-2.94125,1
13.7813,14.6016,-2.94125,1
13.6965,14.5843,-2.94125,1
13.6117,14.5671,-2.65106,1
13.5269,14.5218,-2.65106,1
13.4421,14.4765,-2.65106,1
13.3573,14.4312,-2.72416,1
13.2725,14.3936,-2.72416,1
13.1877,14.356,-2.72416,1
13.1029,14.3184,-2.65413,1
13.0181,14.2735,-2.65413,1
12.9333,14.2285,-2.65413,1
12.8485,14.1835,-2.9884,1
12.7637,14.1704,-2.9884,1
12.6789,14.1573,-2.9884,1
12.5941,14.1443,-3.10673,1
12.5093,14.1413,-3.10673,1
12.4245,14.1383,-3.10673,1
12.3397,14.1354,-3.08957,1
12.255,14.131,-3.08957,1
12.1703,14.1266,-3.08957,1
12.0856,14.1222,-2.92161,1
12.001,14.1032,-2.92161,1
11.9164,14.0843,-2.92161,1
11.8318,14.0654,-2.51517,1
11.7686,14.0197,-2.51517,1
11.7054,13.9739,-2.51517,1
11.6422,13.9282,-2.51517,1
11.579,13.8825,-2.47101,1
11.5165,13.8329,-2.47101,1
11.454,13.7833,-2.47101,1
11.3915,13.7337,-2.47101,1
11.3289,13.6841,-2.68782,1
11.2479,13.6446,-2.68782,1
11.1669,13.6051,-2.68782,1
11.0859,13.5656,-2.40558,1
11.0297,13.5147,-2.40558,1
10.9736,13.4638,-2.40558,1
10.9174,13.413,-2.40558,1
10.8612,13.3621,-2.21324,1
10.8024,13.2835,-2.21324,1
10.7436,13.2049,-2.21324,1
10.6847,13.1262,-1.77146,1
10.6679,13.0436,-1.77146,1
10.6511,12.9609,-1.77146,1
10.6343,12.8782,-1.64553,1
10.628,12.7942,-1.64553,1
10.6217,12.7102,-1.64553,1
10.6154,12.6262,-1.76744,1
10.5987,12.5422,-1.76744,1
10.5819,12.4581,-1.76744,1
10.5652,12.3741,-2.18732,1
10.5212,12.3121,-2.18732,1
10.4773,12.25,-2.18732,1
10.4333,12.188,-2.18732,1
10.3894,12.126,-2.3293,1
10.3334,12.0669,-2.3293,1
10.2775,12.0079,-2.3293,1
10.2215,11.9488,-2.3293,1
10.1655,11.8898,-2.4406,1
10.105,11.8387,-2.4406,1
10.0445,11.7876,-2.4406,1
9.98394,11.7365,-2.4406,1
9.9234,11.6854,-2.69005,1
9.84035,11.6451,-2.69005,1
9.7573,11.6049,-2.69005,1
9.67425,11.5646,-2.46021,1
9.61129,11.5135,-2.46021,1
9.54834,11.4625,-2.46021,1
9.48538,11.4114,-2.46021,1
9.42242,11.3604,-2.3905,1
9.35921,11.3013,-2.3905,1
9.296,11.2423,-2.3905,1
9.23279,11.1833,-2.3905,1
9.16957,11.1243,-2.36618,1
9.10626,11.0622,-2.36618,1
9.04295,11.0002,-2.36618,1
8.97964,10.9381,-2.36618,1
8.91633,10.8761,-2.35721,1
8.85298,10.8128,-2.35721,1
