x,y,yaw,dir
14.375,14.875,-2.83627,1
14.2917,14.8487,-2.83619,1
14.2084,14.8225,-2.83604,1
14.125,14.7962,-2.8358,1
14.0417,14.7699,-2.83547,1
13.9583,14.7435,-2.83504,1
13.8748,14.7171,-2.83449,1
13.7913,14.6906,-2.83382,1
13.7077,14.664,-2.83301,1
13.6241,14.6374,-2.83203,1
13.5403,14.6106,-2.83087,1
13.4566,14.5837,-2.8295,1
13.3727,14.5566,-2.82788,1
13.2888,14.5294,-2.826,1
13.2048,14.502,-2.82382,1
13.1209,14.4744,-2.8213,1
13.0369,14.4465,-2.81841,1
12.9529,14.4184,-2.81509,1
12.8689,14.39,-2.81131,1
12.785,14.3612,-2.807,1
12.7013,14.3321,-2.80213,1
12.6176,14.3025,-2.79663,1
12.5342,14.2726,-2.79043,1
12.4511,14.2421,-2.78347,1
12.3683,14.2111,-2.77567,1
12.2858,14.1795,-2.76696,1
12.2039,14.1473,-2.75725,1
12.1226,14.1144,-2.74644,1
12.0419,14.0808,-2.73444,1
11.9619,14.0463,-2.72113,1
11.8829,14.0109,-2.70639,1
11.8048,13.9746,-2.6901,1
11.7278,13.9373,-2.67212,1
11.6522,13.8989,-2.6523,1
11.5779,13.8594,-2.63047,1
11.5051,13.8186,-2.60646,1
11.434,13.7764,-2.58009,1
11.3648,13.7329,-2.55118,1
11.2976,13.6878,-2.51953,1
11.2326,13.6412,-2.48494,1
11.1699,13.5929,-2.44723,1
11.1098,13.5429,-2.40624,1
11.0525,13.491,-2.36182,1
10.998,13.4371,-2.31388,1
10.9466,13.3812,-2.2624,1
10.8986,13.3232,-2.20743,1
10.854,13.2629,-2.14915,1
10.8131,13.2003,-2.08783,1
10.7762,13.1353,-2.09414,1
10.7412,13.0746,-1.89066,1
10.7246,13.0247,-1.88352,1
10.6999,12.9484,-1.88026,1
10.6713,12.8587,-1.87771,1
10.6428,12.7689,-1.87457,1
10.6188,12.6923,-1.86785,1
10.6034,12.6421,-1.96019,1
10.5739,12.5702,-1.97216,1
10.5429,12.4971,-2.02353,1
10.5085,12.4263,-2.07141,1
10.4708,12.3575,-2.11548,1
10.4303,12.2905,-2.15553,1
10.387,12.2253,-2.19143,1
10.3415,12.1615,-2.15706,1
10.2978,12.0957,-2.32316,1
10.2586,12.0539,-2.3443,1
10.1975,11.9913,-2.35397,1
10.1251,11.9186,-2.36152,1
10.0521,11.8464,-2.37087,1
9.98935,11.7854,-2.39085,1
9.94749,11.7463,-2.47,1
9.8793,11.6921,-2.43154,1
9.81551,11.6373,-2.42993,1
9.75171,11.5823,-2.42826,1
9.68789,11.5271,-2.42654,1
9.62405,11.4716,-2.4248,1
9.56019,11.416,-2.42306,1
9.49631,11.3601,-2.42135,1
9.43239,11.304,-2.41967,1
9.36846,11.2477,-2.41804,1
9.30449,11.1912,-2.41648,1
9.24051,11.1345,-2.415,1
9.17649,11.0776,-2.41362,1
9.11245,11.0206,-2.458,1
9.04771,10.9678,-2.41865,1
9.00274,10.9281,-2.41187,1
8.93443,10.867,-2.40875,1
8.85455,10.7951,-2.4063,1
8.77484,10.723,-2.40325,1
8.70706,10.6614,-2.3967,1
8.66297,10.6207,-2.36191,1
8.59952,10.558,-2.35673,1
8.53617,10.4947,-2.35612,1
8.47281,10.4313,-2.35547,1
8.40946,10.3679,-2.3548,1
8.3461,10.3043,-2.35412,1
8.28274,10.2407,-2.35345,1
8.21938,10.177,-2.35279,1
8.15601,10.1132,-2.35217,1
8.09264,10.0493,-2.35159,1
8.02928,9.98538,-2.35108,1
7.96591,9.92136,-2.35066,1
7.90253,9.85728,-2.35033,1
7.83916,9.79316,-2.35013,1
