x,y
6.875,7.875
7.125,7.625
7.375,7.625
7.625,7.375
7.875,7.125
8.125,7.125
8.375,7.125
8.625,7.125
8.875,7.125
9.125,7.125
9.375,7.375
9.625,7.375
9.875,7.625
9.875,7.875
10.125,8.125
10.375,8.375
10.375,8.625
10.625,8.875
10.875,8.875
11.125,9.125
11.375,9.375
11.625,9.375
11.875,9.625
12.125,9.875
12.375,10.125
12.625,10.375
12.875,10.375
13.125,10.625
13.375,10.625
13.625,10.875
13.875,10.875
14.125,10.875
14.375,11.125
14.625,11.125
14.625,11.375
14.875,11.625
15.125,11.875
15.375,12.125
15.625,12.375
