x,y,yaw,dir
6.875,7.875,-0.618541,1
6.93699,7.83088,-0.618541,1
6.99898,7.78676,-0.618541,1
7.06097,7.74264,-0.618541,1
7.12296,7.69852,-0.610429,1
7.18495,7.65516,-0.610429,1
7.24694,7.6118,-0.610429,1
7.30892,7.56843,-0.610429,1
7.37091,7.52507,-0.590572,1
7.45353,7.46968,-0.590572,1
7.53616,7.41429,-0.590572,1
7.61879,7.35889,-0.495438,1
7.70138,7.31426,-0.495438,1
7.78398,7.26963,-0.495438,1
7.86657,7.225,-0.251801,1
7.94909,7.20377,-0.251801,1
8.03161,7.18254,-0.251801,1
8.11414,7.16131,-0.0941274,1
8.19653,7.15353,-0.0941274,1
8.27892,7.14575,-0.0941274,1
8.36131,7.13797,0.0134242,1
8.44346,7.13907,0.0134242,1
8.52561,7.14018,0.0134242,1
8.60776,7.14128,0.109317,1
8.68946,7.15025,0.109317,1
8.77115,7.15921,0.109317,1
8.85285,7.16818,0.230325,1
8.93369,7.18714,0.230325,1
9.01454,7.20609,0.230325,1
9.09539,7.22505,0.416569,1
9.17465,7.26012,0.416569,1
9.25392,7.2952,0.416569,1
9.33319,7.33027,0.563975,1
9.40951,7.37855,0.563975,1
9.48584,7.42682,0.563975,1
9.56216,7.4751,0.733516,1
9.633,7.53894,0.733516,1
9.70383,7.60278,0.733516,1
9.77467,7.66663,0.870271,1
9.83529,7.73851,0.870271,1
9.8959,7.8104,0.870271,1
9.95651,7.88228,0.93061,1
10.0128,7.95791,0.93061,1
10.0692,8.03353,0.93061,1
10.1255,8.10915,0.936983,1
10.1817,8.18569,0.936983,1
10.238,8.26223,0.936983,1
10.2943,8.33877,0.893092,1
10.3546,8.41379,0.893092,1
10.415,8.4888,0.893092,1
10.4754,8.56382,0.786057,1
10.5457,8.63425,0.786057,1
10.6161,8.70468,0.786057,1
10.6864,8.77512,0.678053,1
10.7621,8.83608,0.678053,1
10.8378,8.89704,0.678053,1
10.9135,8.958,0.626082,1
10.992,9.01481,0.626082,1
11.0706,9.07161,0.626082,1
11.1491,9.12842,0.612715,1
11.2292,9.18472,0.612715,1
11.3093,9.24103,0.612715,1
11.3894,9.29733,0.632057,1
11.4501,9.34177,0.632057,1
11.5108,9.38621,0.632057,1
11.5715,9.43065,0.632057,1
11.6322,9.47509,0.68773,1
11.6932,9.52522,0.68773,1
11.7542,9.57534,0.68773,1
11.8152,9.62547,0.68773,1
11.8762,9.6756,0.705135,1
11.9374,9.72768,0.705135,1
11.9986,9.77976,0.705135,1
12.0598,9.83184,0.705135,1
12.121,9.88392,0.694866,1
12.1823,9.935,0.694866,1
12.2436,9.98607,0.694866,1
12.3048,10.0371,0.694866,1
12.3661,10.0882,0.651146,1
12.4274,10.1349,0.651146,1
12.4887,10.1817,0.651146,1
12.55,10.2284,0.651146,1
12.6113,10.2751,0.54615,1
12.6931,10.3248,0.54615,1
12.7748,10.3745,0.54615,1
12.8565,10.4241,0.481862,1
12.9382,10.4668,0.481862,1
13.0199,10.5096,0.481862,1
13.1015,10.5523,0.442183,1
13.183,10.5909,0.442183,1
13.2646,10.6294,0.442183,1
13.3461,10.668,0.413959,1
13.4273,10.7037,0.413959,1
13.5085,10.7394,0.413959,1
13.5897,10.7751,0.386386,1
13.6703,10.8079,0.386386,1
13.751,10.8407,0.386386,1
13.8316,10.8735,0.396301,1
13.9112,10.9068,0.396301,1
13.9907,10.9401,0.396301,1
14.0703,10.9734,0.448605,1
14.1479,11.0107,0.448605,1
14.2254,11.048,0.448605,1
14.303,11.0854,0.562456,1
14.3769,11.1319,0.562456,1
14.4507,11.1785,0.562456,1
14.5246,11.2251,0.767966,1
14.5915,11.2897,0.767966,1
14.6585,11.3543,0.767966,1
14.7254,11.419,0.80043,1
14.7795,11.4747,0.80043,1
14.8335,11.5304,0.80043,1
14.8876,11.5861,0.80043,1
14.9417,11.6419,0.815034,1
14.9978,11.7014,0.815034,1
15.0539,11.761,0.815034,1
15.11,11.8205,0.815034,1
15.1661,11.88,0.821846,1
15.2233,11.9415,0.821846,1
15.2804,12.003,0.821846,1
15.3376,12.0644,0.821846,1
15.3947,12.1259,0.824584,1
15.4523,12.1882,0.824584,1
15.5099,12.2505,0.824584,1
15.5674,12.3127,0.824584,1
15.625,12.375,0.824584,1
