x,y,yaw,dir
6.875,7.875,-0.612864,1
6.94867,7.8232,-0.610469,1
7.02236,7.77164,-0.605655,1
7.0961,7.72058,-0.598372,1
7.16991,7.67026,-0.588546,1
7.24383,7.62092,-0.576079,1
7.31786,7.57283,-0.560847,1
7.39204,7.52624,-0.542703,1
7.4664,7.48139,-0.52148,1
7.54095,7.43856,-0.496992,1
7.61573,7.398,-0.469036,1
7.69076,7.35998,-0.437406,1
7.76607,7.32476,-0.401898,1
7.84169,7.29262,-0.362325,1
7.91763,7.26383,-0.318535,1
7.99394,7.23867,-0.270437,1
8.07063,7.21741,-0.218022,1
8.14774,7.20032,-0.161513,1
8.22524,7.1877,-0.108845,1
8.30309,7.17919,-0.0603836,1
8.38127,7.17446,-0.0163639,1
8.45974,7.17318,0.0230851,1
8.53849,7.175,0.0247348,1
8.61591,7.17691,0.183118,1
8.66983,7.1869,0.208817,1
8.75185,7.20428,0.22064,1
8.84781,7.2258,0.229958,1
8.94357,7.24822,0.241607,1
9.02498,7.26828,0.266684,1
9.07788,7.28273,0.428936,1
9.15219,7.31672,0.395797,1
9.2282,7.34848,0.437681,1
9.30339,7.38366,0.483401,1
9.37767,7.42265,0.532506,1
9.45095,7.46584,0.584446,1
9.52314,7.5136,0.631691,1
9.59416,7.56556,0.673389,1
9.66409,7.62135,0.709865,1
9.73305,7.6806,0.741458,1
9.80112,7.74294,0.768494,1
9.86841,7.808,0.791274,1
9.93501,7.87539,0.810064,1
10.001,7.94475,0.825088,1
10.0666,8.0157,0.836527,1
10.1317,8.08786,0.844521,1
10.1965,8.16087,0.849162,1
10.2612,8.23433,0.8505,1
10.3257,8.30787,0.848542,1
10.3903,8.38111,0.843249,1
10.4549,8.45368,0.834537,1
10.5197,8.52518,0.822275,1
10.5847,8.59523,0.806283,1
10.6502,8.66346,0.790814,1
10.716,8.72995,0.775908,1
10.782,8.79477,0.761607,1
10.8484,8.85802,0.747943,1
10.9149,8.91978,0.735072,1
10.9817,8.98014,0.723025,1
11.0486,9.03921,0.711824,1
11.1157,9.09708,0.701485,1
11.1829,9.15385,0.692017,1
11.2502,9.20962,0.683416,1
11.3176,9.26448,0.675674,1
11.385,9.31852,0.668773,1
11.4524,9.37182,0.66269,1
11.5199,9.42448,0.613842,1
11.5939,9.47664,0.573371,1
11.6454,9.50986,0.56736,1
11.7243,9.56015,0.564567,1
11.817,9.61887,0.562335,1
11.9099,9.67739,0.559506,1
11.9892,9.72706,0.553369,1
12.0413,9.75924,0.524807,1
12.1165,9.8028,0.6008,1
12.1848,9.84962,0.600628,1
12.2532,9.89649,0.600046,1
12.3218,9.94338,0.598957,1
12.3905,9.99026,0.597267,1
12.4593,10.0371,0.594883,1
12.5284,10.0839,0.591721,1
12.5978,10.1305,0.587701,1
12.6674,10.1769,0.582754,1
12.7374,10.223,0.576819,1
12.8078,10.2688,0.569846,1
12.8787,10.3142,0.561796,1
12.95,10.3591,0.552641,1
13.0219,10.4035,0.542366,1
13.0945,10.4472,0.530962,1
13.1677,10.4902,0.518435,1
13.2416,10.5323,0.504796,1
13.3163,10.5736,0.493638,1
13.3916,10.6141,0.484931,1
13.4674,10.6541,0.478651,1
13.5437,10.6936,0.474774,1
13.6201,10.7329,0.473285,1
13.6967,10.7721,0.474169,1
13.7732,10.8114,0.477418,1
13.8496,10.8509,0.483029,1
13.9257,10.8908,0.491002,1
14.0013,10.9313,0.501343,1
14.0764,10.9724,0.514061,1
14.1507,11.0144,0.52917,1
14.2242,11.0574,0.546687,1
14.2968,11.1015,0.566629,1
14.3682,11.147,0.589013,1
14.4384,11.1939,0.613852,1
14.5072,11.2424,0.641152,1
14.5746,11.2926,0.666846,1
14.6405,11.3445,0.690898,1
14.705,11.3979,0.71329,1
14.7684,11.4527,0.734022,1
14.8306,11.5088,0.753108,1
14.8917,11.5661,0.770572,1
14.9518,11.6244,0.786449,1
15.011,11.6838,0.800781,1
15.0694,11.744,0.813612,1
15.127,11.805,0.824991,1
15.184,11.8666,0.834965,1
15.2404,11.9289,0.843579,1
15.2963,11.9917,0.850876,1
15.3517,12.055,0.856894,1
15.4068,12.1185,0.861667,1
15.4616,12.1824,0.865222,1
15.5162,12.2465,0.867581,1
15.5706,12.3107,0.868758,1
15.625,12.375,0.868758,1
