x,y
5.625,0.625
5.875,0.875
5.875,1.125
6.125,1.375
6.375,1.625
6.375,1.875
6.625,2.125
6.625,2.375
6.875,2.625
6.875,2.875
6.875,3.125
6.875,3.375
6.875,3.625
6.875,3.875
7.125,4.125
7.125,4.375
7.125,4.625
7.125,4.875
6.875,4.875
6.625,5.125
6.375,5.375
6.125,5.625
5.875,5.625
5.625,5.875
5.375,5.875
5.125,6.125
4.875,6.125
4.625,6.125
4.375,6.375
4.125,6.375
3.875,6.625
3.625,6.625
3.375,6.875
3.375,7.125
3.375,7.375
3.375,7.625
3.375,7.875
3.375,8.125
3.625,8.375
3.875,8.625
3.875,8.875
4.125,9.125
4.125,9.375
4.375,9.625
4.375,9.875
4.375,10.125
4.375,10.375
4.375,10.625
4.375,10.875
4.625,11.125
4.625,11.375
4.625,11.625
4.625,11.875
4.625,12.125
4.625,12.375
4.625,12.625
4.625,12.875
4.875,13.125
5.125,13.375
