x,y,yaw,dir
5.625,0.625,0.978274,1
5.68048,0.707411,0.978274,1
5.73596,0.789821,0.978274,1
5.79144,0.872232,0.981777,1
5.8465,0.954642,0.981777,1
5.90156,1.03705,0.981777,1
5.95662,1.11946,0.99025,1
6.01068,1.20187,0.99025,1
6.06474,1.28428,0.99025,1
6.11879,1.36669,1.00734,1
6.17086,1.4491,1.00734,1
6.22292,1.53151,1.00734,1
6.27499,1.61392,1.04077,1
6.32327,1.69633,1.04077,1
6.37156,1.77873,1.04077,1
6.41985,1.86114,1.0723,1
6.4647,1.94354,1.0723,1
6.50956,2.02595,1.0723,1
6.55442,2.10835,1.1149,1
6.59482,2.19075,1.1149,1
6.63522,2.27314,1.1149,1
6.67563,2.35554,1.1883,1
6.70877,2.43792,1.1883,1
6.74191,2.5203,1.1883,1
6.77505,2.60268,1.33057,1
6.79523,2.68504,1.33057,1
6.8154,2.76739,1.33057,1
6.83557,2.84975,1.40774,1
6.84912,2.93206,1.40774,1
6.86266,3.01436,1.40774,1
6.8762,3.09667,1.44265,1
6.88679,3.17889,1.44265,1
6.89739,3.2611,1.44265,1
6.90798,3.34332,1.4477,1
6.91813,3.42536,1.4477,1
6.92828,3.50741,1.4477,1
6.93843,3.58945,1.42458,1
6.95047,3.67118,1.42458,1
6.9625,3.75291,1.42458,1
6.97454,3.83464,1.36423,1
6.99154,3.91577,1.36423,1
7.00854,3.9969,1.36423,1
7.02554,4.07804,1.41743,1
7.03792,4.15807,1.41743,1
7.05029,4.2381,1.41743,1
7.06266,4.31813,1.53447,1
7.06549,4.3961,1.53447,1
7.06833,4.47407,1.53447,1
7.07116,4.55204,1.77594,1
7.05573,4.62617,1.77594,1
7.04031,4.7003,1.77594,1
7.02488,4.77443,2.20925,1
6.97518,4.84141,2.20925,1
6.92547,4.90839,2.20925,1
6.87576,4.97537,2.38116,1
6.80766,5.04015,2.38116,1
6.73955,5.10494,2.38116,1
6.67145,5.16972,2.4715,1
6.59348,5.23151,2.4715,1
6.51551,5.29329,2.4715,1
6.43754,5.35508,2.54307,1
6.3751,5.39766,2.54307,1
6.31266,5.44024,2.54307,1
6.25022,5.48282,2.54307,1
6.18778,5.5254,2.63501,1
6.10171,5.57316,2.63501,1
6.01565,5.62091,2.63501,1
5.92958,5.66867,2.68827,1
5.84205,5.71131,2.68827,1
5.75451,5.75396,2.68827,1
5.66698,5.7966,2.72174,1
5.57873,5.83599,2.72174,1
5.49048,5.87539,2.72174,1
5.40224,5.91478,2.74838,1
5.31375,5.95149,2.74838,1
5.22526,5.98819,2.74838,1
5.13678,6.0249,2.77912,1
5.04842,6.0584,2.77912,1
4.96007,6.09191,2.77912,1
4.87172,6.12541,2.78126,1
4.78394,6.15849,2.78126,1
4.69615,6.19157,2.78126,1
4.60836,6.22464,2.75492,1
4.5218,6.25989,2.75492,1
4.43523,6.29513,2.75492,1
4.34867,6.33038,2.71699,1
4.26447,6.36845,2.71699,1
4.18027,6.40651,2.71699,1
4.09607,6.44458,2.65032,1
4.01633,6.48724,2.65032,1
3.93659,6.52991,2.65032,1
3.85685,6.57257,2.52254,1
3.78544,6.62345,2.52254,1
3.71403,6.67433,2.52254,1
3.64262,6.72521,2.27333,1
3.58675,6.7912,2.27333,1
3.53088,6.85719,2.27333,1
3.475,6.92319,1.91916,1
3.44809,6.99729,1.91916,1
3.42118,7.0714,1.91916,1
3.39426,7.1455,1.69957,1
3.3841,7.22396,1.69957,1
3.37394,7.30242,1.69957,1
3.36378,7.38088,1.55732,1
3.36487,7.46168,1.55732,1
3.36596,7.54247,1.55732,1
3.36705,7.62327,1.43354,1
3.37839,7.70532,1.43354,1
3.38972,7.78737,1.43354,1
3.40105,7.86941,1.28096,1
3.42572,7.95214,1.28096,1
3.45039,8.03486,1.28096,1
3.47506,8.11758,1.06114,1
3.5215,8.20066,1.06114,1
3.56793,8.28374,1.06114,1
3.61437,8.36682,0.999572,1
3.66789,8.4501,0.999572,1
3.72141,8.53337,0.999572,1
3.77493,8.61665,1.04162,1
3.82369,8.70002,1.04162,1
3.87245,8.7834,1.04162,1
3.92121,8.86678,1.07769,1
3.96605,8.95021,1.07769,1
4.01088,9.03365,1.07769,1
4.05572,9.11708,1.12214,1
4.0959,9.20054,1.12214,1
4.13608,9.284,1.12214,1
4.17625,9.36747,1.19512,1
4.20918,9.45095,1.19512,1
4.2421,9.53442,1.19512,1
4.27503,9.6179,1.3337,1
4.2952,9.70139,1.3337,1
4.31537,9.78487,1.3337,1
4.33555,9.86836,1.40886,1
4.34919,9.95185,1.40886,1
4.36283,10.0353,1.40886,1
4.37647,10.1188,1.44322,1
4.38718,10.2023,1.44322,1
4.39789,10.2858,1.44322,1
4.4086,10.3693,1.44908,1
4.41881,10.4528,1.44908,1
4.42902,10.5363,1.44908,1
4.43923,10.6198,1.42865,1
4.45118,10.7033,1.42865,1
4.46313,10.7868,1.42865,1
4.47508,10.8703,1.37438,1
4.4917,10.9538,1.37438,1
4.50831,11.0372,1.37438,1
4.52492,11.1207,1.4816,1
4.53239,11.2042,1.4816,1
4.53986,11.2877,1.4816,1
4.54732,11.3712,1.53407,1
4.55039,11.4547,1.53407,1
4.55346,11.5382,1.53407,1
4.55653,11.6217,1.55095,1
4.55819,11.7052,1.55095,1
4.55984,11.7887,1.55095,1
4.5615,11.8722,1.53881,1
4.56417,11.9557,1.53881,1
4.56684,12.0391,1.53881,1
4.56952,12.1226,1.49292,1
4.57603,12.2061,1.49292,1
4.58255,12.2896,1.49292,1
4.58906,12.3731,1.39622,1
4.60379,12.4566,1.39622,1
4.61851,12.5401,1.39622,1
4.63324,12.6236,1.21962,1
4.66382,12.7071,1.21962,1
4.69441,12.7906,1.21962,1
4.725,12.8741,0.944152,1
4.77033,12.9367,0.944152,1
4.81567,12.9993,0.944152,1
4.861,13.0619,0.944152,1
4.90634,13.1245,0.8531,1
4.961,13.1871,0.8531,1
5.01567,13.2498,0.8531,1
5.07033,13.3124,0.8531,1
5.125,13.375,0.8531,1
