x,y,yaw,dir
5.625,0.625,0.988989,1
5.67937,0.707662,0.989915,1
5.73363,0.790326,0.991762,1
5.78768,0.872994,0.994523,1
5.84141,0.955668,0.998182,1
5.89471,1.03835,1.00272,1
5.94748,1.12104,1.00812,1
5.99964,1.20373,1.01435,1
6.05108,1.28643,1.02138,1
6.10173,1.36914,1.02917,1
6.15149,1.45186,1.03769,1
6.2003,1.53458,1.04689,1
6.24809,1.61729,1.05674,1
6.2948,1.7,1.06718,1
6.34037,1.7827,1.07816,1
6.38475,1.86538,1.08965,1
6.4279,1.94804,1.10159,1
6.46979,2.03067,1.11394,1
6.51038,2.11325,1.12665,1
6.54966,2.19579,1.13969,1
6.58759,2.27826,1.15302,1
6.62417,2.36067,1.16662,1
6.65939,2.44299,1.18046,1
6.69322,2.52522,1.19453,1
6.72567,2.60735,1.20883,1
6.75672,2.68936,1.22336,1
6.78637,2.77125,1.23814,1
6.81462,2.853,1.25318,1
6.84144,2.9346,1.26852,1
6.86684,3.01604,1.28421,1
6.89079,3.09731,1.30028,1
6.91328,3.17842,1.31681,1
6.93429,3.25934,1.33386,1
6.95378,3.34007,1.35148,1
6.97173,3.42061,1.36976,1
6.98811,3.50095,1.38876,1
7.00286,3.58109,1.40856,1
7.01595,3.66104,1.42922,1
7.02731,3.74079,1.45081,1
7.0369,3.82035,1.47339,1
7.04466,3.89972,1.497,1
7.05052,3.97891,1.52167,1
7.0544,4.05793,1.54743,1
7.05624,4.13678,1.57428,1
7.05597,4.21548,1.60015,1
7.05358,4.29678,1.63615,1
7.05004,4.35084,1.65213,1
7.04332,4.43337,1.65963,1
7.0347,4.5301,1.6657,1
7.0255,4.62678,1.67351,1
7.01701,4.70914,1.69062,1
7.01053,4.76293,1.92808,1
6.9852,4.8308,2.06816,1
6.94956,4.89644,2.1622,1
6.90691,4.95994,2.24501,1
6.85774,5.02148,2.31695,1
6.80253,5.0812,2.37883,1
6.74177,5.13927,2.43166,1
6.67593,5.19585,2.47648,1
6.6055,5.25109,2.51427,1
6.53096,5.30514,2.58711,1
6.43889,5.36215,2.74295,1
6.36481,5.39335,2.76397,1
6.2506,5.43866,2.77361,1
6.11614,5.4905,2.78116,1
5.98128,5.54133,2.79054,1
5.8659,5.58358,2.81065,1
5.78988,5.6097,2.90085,1
5.67476,5.63796,2.77812,1
5.58042,5.67385,2.77482,1
5.48646,5.70994,2.77095,1
5.39297,5.74627,2.76645,1
5.30001,5.78288,2.76126,1
5.20766,5.8198,2.75528,1
5.11602,5.85708,2.74844,1
5.02517,5.89476,2.74063,1
4.93522,5.93289,2.73177,1
4.84627,5.97153,2.72172,1
4.75846,6.01073,2.71037,1
4.6719,6.05056,2.69758,1
4.58673,6.09107,2.6832,1
4.50309,6.13234,2.66706,1
4.42114,6.17444,2.64898,1
4.34103,6.21744,2.62877,1
4.26291,6.26142,2.60622,1
4.18698,6.30647,2.58108,1
4.11339,6.35265,2.55311,1
4.04234,6.40007,2.52205,1
3.974,6.44881,2.48762,1
3.90858,6.49896,2.44954,1
3.84626,6.5506,2.40753,1
3.78725,6.60385,2.36136,1
3.73175,6.65878,2.31082,1
3.67995,6.7155,2.25579,1
3.63208,6.77411,2.19624,1
3.58832,6.83469,2.13231,1
3.5489,6.89736,2.09758,1
3.51296,6.95916,1.85045,1
3.49795,7.01144,1.81435,1
3.47789,7.09216,1.79797,1
3.4559,7.18726,1.78532,1
3.43513,7.28262,1.76982,1
3.41868,7.36418,1.7369,1
3.40968,7.41784,1.55441,1
3.41108,7.50297,1.56506,1
3.41154,7.58385,1.52764,1
3.41504,7.66478,1.49248,1
3.42139,7.74577,1.45966,1
3.43044,7.82682,1.42917,1
3.442,7.90794,1.40103,1
3.45592,7.98912,1.3752,1
3.47202,8.07037,1.35162,1
3.49013,8.1517,1.33024,1
3.5101,8.2331,1.31096,1
3.53176,8.31458,1.2937,1
3.55495,8.39613,1.27836,1
3.57953,8.47775,1.26485,1
3.60534,8.55945,1.25305,1
3.63223,8.64123,1.24287,1
3.66007,8.72307,1.23421,1
3.68874,8.80499,1.22697,1
3.71809,8.88696,1.22106,1
3.74801,8.969,1.21639,1
3.77839,9.0511,1.21286,1
3.80912,9.13326,1.21041,1
3.8401,9.21546,1.20894,1
3.87123,9.2977,1.20839,1
3.90242,9.37998,1.20869,1
3.9336,9.46229,1.20975,1
3.96469,9.54463,1.21153,1
3.99562,9.62698,1.21394,1
4.02633,9.70935,1.21694,1
4.05676,9.79171,1.22044,1
4.08685,9.87408,1.22441,1
4.11658,9.95643,1.22877,1
4.14589,10.0388,1.23347,1
4.17476,10.1211,1.23847,1
4.20315,10.2033,1.24369,1
4.23105,10.2856,1.24911,1
4.25844,10.3678,1.25466,1
4.2853,10.4499,1.26031,1
4.31163,10.5319,1.26601,1
4.33743,10.6139,1.27173,1
4.36269,10.6958,1.27742,1
4.38741,10.7777,1.28306,1
4.4116,10.8594,1.28861,1
4.43528,10.9411,1.29405,1
4.45844,11.0226,1.29935,1
4.48111,11.1041,1.30449,1
4.5033,11.1855,1.30945,1
4.52504,11.2667,1.31421,1
4.54632,11.3478,1.31877,1
4.56719,11.4289,1.32311,1
4.58765,11.5098,1.32722,1
4.60773,11.5906,1.33109,1
4.62745,11.6713,1.33473,1
4.64683,11.7518,1.33813,1
4.66589,11.8323,1.3413,1
4.68466,11.9126,1.34423,1
4.70316,11.9929,1.34693,1
4.72141,12.073,1.3494,1
4.73942,12.1531,1.35165,1
4.75723,12.233,1.35368,1
4.77484,12.3129,1.35551,1
4.79229,12.3926,1.35714,1
4.80958,12.4723,1.35858,1
4.82673,12.5519,1.61311,1
4.82304,12.639,1.38529,1
4.83327,12.6935,1.34074,1
4.85263,12.7762,1.32002,1
4.87734,12.8727,1.30337,1
4.90366,12.9687,1.28213,1
4.92782,13.0501,1.23567,1
4.94606,13.1024,0.983926,1
4.99098,13.17,0.99175,1
5.03566,13.2383,0.991841,1
5.08033,13.3067,0.991888,1
5.125,13.375,0.991888,1
