x,y,yaw,dir
9.375,15.125,-1.73049,1
9.33132,14.8538,-0.425041,1
9.79419,14.6443,-2.4791,1
9.46874,14.3904,-0.376866,1
9.78953,14.2635,-2.75244,1
9.33375,14.0766,-0.172694,1
9.51166,14.0455,-2.85739,1
8.97422,13.8885,0.227468,1
9.1108,13.9201,-2.88169,1
8.56966,13.7762,-0.112878,1
8.73704,13.7573,-3.03562,1
8.26963,13.7076,-0.215523,1
8.56951,13.6419,-2.80611,1
8.21359,13.5178,-0.260336,1
8.44847,13.4552,-2.44291,1
8.08003,13.1457,1.2522,1
8.13713,13.3188,-1.39806,1
8.199,12.9643,2.54472,1
7.16958,13.6638,-0.918953,1
7.53603,13.1836,-1.23217,1
7.96755,11.9584,2.23992,1
6.84722,13.375,-2.53605,1
6.72685,13.2917,-2.53605,1
6.60648,13.2083,-2.53605,1
6.48611,13.125,-2.53605,1
6.36574,13.0417,-2.53605,1
6.24537,12.9583,-2.53605,1
6.125,12.875,3.06482,1
5.97727,12.8864,3.06482,1
5.82955,12.8977,3.06482,1
5.68182,12.9091,3.06482,1
5.53409,12.9205,3.06482,1
5.38636,12.9318,3.06482,1
5.23864,12.9432,3.06482,1
5.09091,12.9545,3.06482,1
4.94318,12.9659,3.06482,1
4.79545,12.9773,3.06482,1
4.64773,12.9886,3.06482,1
4.5,13,3.06482,1
4.35227,13.0114,3.06482,1
4.20455,13.0227,3.06482,1
4.05682,13.0341,3.06482,1
3.90909,13.0455,3.06482,1
3.76136,13.0568,3.06482,1
3.61364,13.0682,2.97809,1
3.05947,13.1596,-1.65786,1
3.02981,12.8197,2.74434,1
2.55551,13.0187,-0.4226,1
2.83953,12.891,1.42036,1
2.875,13.125,1.42036,1
