x,y
7.125000,12.375000
7.200000,12.246875
7.275000,12.118750
7.350000,11.990625
7.425000,11.862500
7.500000,11.734375
7.575000,11.606250
7.650000,11.478125
7.725000,11.350000
7.800000,11.221875
7.875000,11.093750
7.950000,10.965625
8.025000,10.837500
8.100000,10.709375
8.175000,10.581250
8.250000,10.453125
8.325000,10.325000
8.400000,10.196875
8.475000,10.068750
8.550000,9.940625
8.625000,9.812500
8.700000,9.684375
8.775000,9.556250
8.850000,9.428125
8.925000,9.300000
9.000000,9.171875
9.075000,9.043750
9.150000,8.915625
9.225000,8.787500
9.300000,8.659375
9.375000,8.531250
9.450000,8.403125
9.525000,8.275000
9.600000,8.146875
9.675000,8.018750
9.750000,7.890625
9.825000,7.762500
9.900000,7.634375
9.975000,7.506250
10.050000,7.378125
10.125000,7.250000
10.200000,7.121875
10.275000,6.993750
10.350000,6.865625
10.425000,6.737500
10.500000,6.609375
10.575000,6.481250
10.650000,6.353125
10.725000,6.225000
10.800000,6.096875
10.875000,5.968750
10.950000,5.840625
11.025000,5.712500
11.100000,5.584375
11.175000,5.456250
11.250000,5.328125
11.325000,5.200000
11.400000,5.071875
11.475000,4.943750
11.550000,4.815625
11.625000,4.687500
11.700000,4.559375
11.775000,4.431250
11.850000,4.303125
11.925000,4.175000
12.000000,4.046875
12.075000,3.918750
12.150000,3.790625
12.225000,3.662500
12.300000,3.534375
12.375000,3.406250
12.450000,3.278125
12.525000,3.150000
12.600000,3.021875
12.675000,2.893750
12.750000,2.765625
12.825000,2.637500
12.900000,2.509375
12.975000,2.381250
13.050000,2.253125
13.125000,2.125000
