x,y,yaw,dir
12.375,11.375,3.08789,1
12.2917,11.3795,3.08789,1
12.2083,11.384,3.08789,1
12.125,11.3884,3.08354,1
12.0417,11.3933,3.08354,1
11.9583,11.3981,3.08354,1
11.875,11.403,3.07309,1
11.7917,11.4087,3.07309,1
11.7083,11.4144,3.07309,1
11.625,11.4201,3.05243,1
11.5417,11.4276,3.05243,1
11.4583,11.435,3.05243,1
11.375,11.4425,3.01347,1
11.2917,11.4532,3.01347,1
11.2083,11.4639,3.01347,1
11.125,11.4747,2.94165,1
11.0417,11.4916,2.94165,1
10.9583,11.5085,2.94165,1
10.875,11.5253,2.99008,1
10.7917,11.5381,2.99008,1
10.7083,11.5508,2.99008,1
10.625,11.5635,3.01475,1
10.5417,11.5741,3.01475,1
10.4583,11.5848,3.01475,1
10.375,11.5954,3.02501,1
10.2917,11.6052,3.02501,1
10.2083,11.6149,3.02501,1
10.125,11.6247,3.02484,1
10.0417,11.6344,3.02484,1
9.95832,11.6442,3.02484,1
9.87499,11.654,3.01416,1
9.79165,11.6647,3.01416,1
9.70832,11.6753,3.01416,1
9.62498,11.686,2.98884,1
9.54165,11.6989,2.98884,1
9.45832,11.7117,2.98884,1
9.37498,11.7245,2.9393,1
9.29165,11.7416,2.9393,1
9.20832,11.7587,2.9393,1
9.12498,11.7758,3.00369,1
9.04165,11.7874,3.00369,1
8.95831,11.7989,3.00369,1
8.87498,11.8105,3.00793,1
8.79165,11.8217,3.00793,1
8.70831,11.8329,3.00793,1
8.62498,11.8441,2.95344,1
8.54165,11.86,2.95344,1
8.45831,11.8758,2.95344,1
8.37498,11.8917,2.82375,1
8.29165,11.9191,2.82375,1
8.20831,11.9465,2.82375,1
8.12498,11.974,2.59702,1
8.04165,12.0244,2.59702,1
7.95831,12.0749,2.59702,1
7.87498,12.1254,2.5999,1
7.79165,12.1755,2.5999,1
7.70831,12.2257,2.5999,1
7.62498,12.2758,2.83585,1
7.54165,12.3021,2.83585,1
7.45831,12.3284,2.83585,1
7.37498,12.3547,2.98064,1
7.29165,12.3682,2.98064,1
7.20831,12.3818,2.98064,1
7.12498,12.3953,3.06119,1
7.04165,12.402,3.06119,1
6.95831,12.4087,3.06119,1
6.87498,12.4154,3.10402,1
6.79165,12.4186,3.10402,1
6.70831,12.4217,3.10402,1
6.62498,12.4248,3.12539,1
6.54165,12.4262,3.12539,1
6.45831,12.4275,3.12539,1
6.37498,12.4289,3.13372,1
6.29165,12.4296,3.13372,1
6.20831,12.4302,3.13372,1
6.12498,12.4309,3.13233,1
6.04165,12.4316,3.13233,1
5.95831,12.4324,3.13233,1
5.87498,12.4332,3.12065,1
5.79165,12.4349,3.12065,1
5.70831,12.4367,3.12065,1
5.62498,12.4384,3.09406,1
5.54165,12.4424,3.09406,1
5.45832,12.4463,3.09406,1
5.37498,12.4503,3.04211,1
5.29165,12.4586,3.04211,1
5.20832,12.4669,3.04211,1
5.12498,12.4753,2.94558,1
5.04165,12.4918,2.94558,1
4.95832,12.5084,2.94558,1
4.87498,12.5249,2.94963,1
4.79165,12.5411,2.94963,1
4.70832,12.5573,2.94963,1
4.62499,12.5735,2.90394,1
4.54165,12.5937,2.90394,1
4.45832,12.6139,2.90394,1
4.37499,12.634,2.79485,1
4.29165,12.6642,2.79485,1
4.20832,12.6943,2.79485,1
4.12499,12.7244,2.60167,1
4.04165,12.7743,2.60167,1
3.95832,12.8243,2.60167,1
3.87499,12.8742,2.59741,1
3.79166,12.9246,2.59741,1
3.70832,12.9751,2.59741,1
3.62499,13.0255,2.77753,1
3.54166,13.0572,2.77753,1
3.45832,13.089,2.77753,1
3.37499,13.1208,2.74652,1
3.29166,13.1555,2.74652,1
3.20833,13.1903,2.74652,1
3.12499,13.225,2.51274,1
3.06249,13.2705,2.51274,1
2.99999,13.3159,2.51274,1
2.93749,13.3614,2.51274,1
2.875,13.4068,2.41374,1
2.8125,13.4625,2.41374,1
2.75,13.5182,2.41374,1
2.6875,13.5739,2.41374,1
2.625,13.6296,2.36957,1
2.5625,13.6905,2.36957,1
2.5,13.7513,2.36957,1
2.4375,13.8122,2.36957,1
2.375,13.873,2.35222,1
2.3125,13.936,2.35222,1
2.25,13.999,2.35222,1
2.1875,14.062,2.35222,1
2.125,14.125,2.35222,1
