x,y,yaw,dir
12.375,11.375,3.05806,1
12.2916,11.382,3.05776,1
12.2083,11.389,3.05715,1
12.1249,11.396,3.05625,1
12.0415,11.4032,3.05505,1
11.9582,11.4104,3.05355,1
11.8748,11.4178,3.05178,1
11.7914,11.4253,3.04972,1
11.7081,11.433,3.0474,1
11.6247,11.4408,3.04481,1
11.5414,11.4489,3.04197,1
11.458,11.4572,3.03889,1
11.3747,11.4658,3.03559,1
11.2914,11.4747,3.03206,1
11.2081,11.4839,3.02834,1
11.1247,11.4933,3.02444,1
11.0414,11.5031,3.02038,1
10.9581,11.5133,3.01617,1
10.8748,11.5238,3.01183,1
10.7916,11.5347,3.0074,1
10.7083,11.5459,3.0029,1
10.625,11.5575,2.99834,1
10.5418,11.5695,2.99376,1
10.4585,11.5819,2.98919,1
10.3753,11.5947,2.98464,1
10.292,11.6079,2.98015,1
10.2088,11.6215,2.97573,1
10.1256,11.6354,2.97142,1
10.0424,11.6497,2.96724,1
9.95916,11.6643,2.9632,1
9.87596,11.6793,2.95933,1
9.79276,11.6947,2.95566,1
9.70956,11.7103,2.95219,1
9.62636,11.7263,2.94895,1
9.54316,11.7425,2.94597,1
9.45996,11.759,2.94325,1
9.37675,11.7757,2.94082,1
9.29353,11.7926,2.93869,1
9.21031,11.8098,2.93689,1
9.12707,11.8271,2.93543,1
9.04381,11.8445,2.93431,1
8.96054,11.862,2.93355,1
8.87725,11.8796,2.93316,1
8.79393,11.8972,2.93314,1
8.71058,11.9148,2.93348,1
8.62721,11.9324,2.93417,1
8.5438,11.95,2.9352,1
8.46036,11.9674,2.93656,1
8.37687,11.9848,2.93821,1
8.29335,12.002,2.94014,1
8.20978,12.0191,2.94231,1
8.12616,12.036,2.9447,1
8.04249,12.0527,2.94727,1
7.95878,12.0691,2.94999,1
7.875,12.0854,2.95282,1
7.79118,12.1014,2.95574,1
7.7073,12.1172,2.95872,1
7.62336,12.1327,2.96172,1
7.53937,12.148,2.96472,1
7.45533,12.163,2.9677,1
7.37123,12.1778,2.97062,1
7.28708,12.1923,2.97346,1
7.20289,12.2066,2.97619,1
7.11864,12.2207,2.97877,1
7.03436,12.2345,2.98118,1
6.95005,12.2481,2.98339,1
6.8657,12.2616,2.98535,1
6.78134,12.2749,2.98704,1
6.69695,12.288,2.9884,1
6.61257,12.3011,2.9894,1
6.52818,12.314,2.99001,1
6.44381,12.3269,2.99017,1
6.35946,12.3398,2.98986,1
6.27515,12.3527,2.98904,1
6.19089,12.3656,2.98767,1
6.10669,12.3787,2.98572,1
6.02257,12.3919,2.98316,1
5.93854,12.4053,2.97998,1
5.85461,12.419,2.97615,1
5.77081,12.433,2.97165,1
5.68715,12.4474,2.96648,1
5.60364,12.4621,2.96062,1
5.52031,12.4774,2.95408,1
5.43716,12.4932,2.94686,1
5.35423,12.5095,2.93895,1
5.27151,12.5265,2.93038,1
5.18905,12.5442,2.92116,1
5.10683,12.5626,2.91131,1
5.0249,12.5818,2.90085,1
4.94326,12.6019,2.88981,1
4.86192,12.6228,2.87822,1
4.78091,12.6446,2.86611,1
4.70023,12.6674,2.85353,1
4.6199,12.6912,2.84052,1
4.53994,12.7161,2.82712,1
4.46035,12.742,2.81339,1
4.38115,12.7689,2.79937,1
4.30233,12.797,2.78513,1
4.22392,12.8262,2.77072,1
4.1459,12.8565,2.75621,1
4.0683,12.888,2.74167,1
3.9911,12.9207,2.72717,1
3.91431,12.9544,2.71277,1
3.83792,12.9894,2.69857,1
3.76192,13.0254,2.68462,1
3.68632,13.0626,2.67101,1
3.61111,13.1008,2.6578,1
3.53626,13.1402,2.64506,1
3.46177,13.1805,2.63285,1
3.38763,13.2219,2.62124,1
3.31382,13.2642,2.61027,1
3.24032,13.3074,2.60001,1
3.16712,13.3514,2.59047,1
3.09419,13.3962,2.58171,1
3.02152,13.4418,2.57376,1
2.94907,13.488,2.6965,1
2.8688,13.5263,2.56935,1
2.81781,13.5591,2.54772,1
2.74098,13.611,2.53771,1
2.65148,13.6728,2.52974,1
2.56247,13.7352,2.51967,1
2.48713,13.7892,2.49787,1
2.43862,13.8256,2.38499,1
2.375,13.8857,2.37797,1
2.3125,13.9455,2.37799,1
2.25,14.0053,2.37801,1
2.1875,14.0652,2.37802,1
2.125,14.125,2.37802,1
