x,y
14.375000,14.875000
14.239583,14.822917
14.104167,14.770833
13.968750,14.718750
13.833333,14.666667
13.697917,14.614583
13.562500,14.562500
13.427083,14.510417
13.291667,14.458333
13.156250,14.406250
13.020833,14.354167
12.885417,14.302083
12.750000,14.250000
12.614583,14.197917
12.479167,14.145833
12.343750,14.093750
12.208333,14.041667
12.072917,13.989583
11.937500,13.937500
11.802083,13.885417
11.666667,13.833333
11.531250,13.781250
11.395833,13.729167
11.260417,13.677083
11.125000,13.625000
11.025000,13.525000
10.925000,13.425000
10.825000,13.325000
10.725000,13.225000
10.625000,13.125000
10.625000,12.975000
10.625000,12.825000
10.625000,12.675000
10.625000,12.525000
10.625000,12.375000
10.507075,12.285377
10.389151,12.195755
10.271226,12.106132
10.153302,12.016509
10.035377,11.926887
9.917453,11.837264
9.799528,11.747642
9.681604,11.658019
9.563679,11.568396
9.445755,11.478774
9.327830,11.389151
9.209906,11.299528
9.091981,11.209906
8.974057,11.120283
8.856132,11.030660
8.738208,10.941038
8.620283,10.851415
8.502358,10.761792
8.384434,10.672170
8.266509,10.582547
8.148585,10.492925
8.030660,10.403302
7.912736,10.313679
7.794811,10.224057
7.676887,10.134434
7.558962,10.044811
7.441038,9.955189
7.323113,9.865566
7.205189,9.775943
7.087264,9.686321
6.969340,9.596698
6.851415,9.507075
6.733491,9.417453
6.615566,9.327830
6.497642,9.238208
6.379717,9.148585
6.261792,9.058962
6.143868,8.969340
6.025943,8.879717
5.908019,8.790094
5.790094,8.700472
5.672170,8.610849
5.554245,8.521226
5.436321,8.431604
5.318396,8.341981
5.200472,8.252358
5.082547,8.162736
4.964623,8.073113
4.846698,7.983491
4.728774,7.893868
4.610849,7.804245
4.492925,7.714623
4.375000,7.625000
4.284091,7.511364
4.193182,7.397727
4.102273,7.284091
4.011364,7.170455
3.920455,7.056818
3.829545,6.943182
3.738636,6.829545
3.647727,6.715909
3.556818,6.602273
3.465909,6.488636
3.375000,6.375000
3.284091,6.261364
3.193182,6.147727
3.102273,6.034091
3.011364,5.920455
2.920455,5.806818
2.829545,5.693182
2.738636,5.579545
2.647727,5.465909
2.556818,5.352273
2.465909,5.238636
2.375000,5.125000
2.284091,5.011364
2.193182,4.897727
2.102273,4.784091
2.011364,4.670455
1.920455,4.556818
1.829545,4.443182
1.738636,4.329545
1.647727,4.215909
1.556818,4.102273
1.465909,3.988636
1.375000,3.875000
