x,y,yaw,dir
14.875,0.375,2.35619,1
14.7734,0.476563,2.35619,1
14.6719,0.578125,2.35619,1
14.5703,0.679688,2.35619,1
14.4687,0.78125,2.35619,1
14.3672,0.882813,2.35619,1
14.2656,0.984375,2.35619,1
14.1641,1.08594,2.35619,1
14.0625,1.1875,2.35619,1
13.9609,1.28906,2.35619,1
13.8594,1.39063,2.35619,1
13.7578,1.49219,2.35619,1
13.6562,1.59375,2.35619,1
13.5547,1.69531,2.35619,1
13.4531,1.79687,2.35619,1
13.3516,1.89844,2.35619,1
13.25,2,2.35619,1
13.1484,2.10156,2.35619,1
13.0469,2.20312,2.35619,1
12.9453,2.30469,2.35619,1
12.8438,2.40625,2.35621,1
12.7422,2.50781,2.33995,1
12.6422,2.61111,2.32505,1
12.5436,2.716,2.31149,1
12.4464,2.82234,2.29927,1
12.3504,2.93,2.28837,1
12.2554,3.03883,2.27877,1
12.1613,3.1487,2.27045,1
12.0681,3.25947,2.26339,1
11.9755,3.371,2.25757,1
11.8836,3.48317,2.25298,1
11.7921,3.59583,2.24959,1
11.7009,3.70887,2.24741,1
11.6099,3.82214,2.24642,1
11.519,3.93552,2.24664,1
11.4282,4.04888,2.24806,1
11.3371,4.16208,2.25068,1
11.2458,4.275,2.25451,1
11.1542,4.3875,2.24143,1
11.0641,4.50108,2.15493,1
10.9821,4.625,2.14213,1
10.9018,4.75,2.14213,1
10.8214,4.875,2.14213,1
10.7411,5,2.14213,1
10.6607,5.125,2.14213,1
10.5804,5.25,2.14213,1
10.5,5.375,2.14213,1
10.4196,5.5,2.14213,1
10.3393,5.625,2.14213,1
10.2589,5.75,2.14213,1
10.1786,5.875,2.14213,1
10.0982,6,2.14213,1
10.0179,6.125,2.14213,1
9.9375,6.25,2.07789,1
9.86806,6.375,2.07789,1
9.79861,6.5,2.08847,1
9.72769,6.62455,2.09579,1
9.65643,6.74757,2.09426,1
9.586,6.8696,2.08363,1
9.51754,6.99117,2.06363,1
9.4522,7.11284,2.03395,1
9.39113,7.23512,1.99431,1
9.33548,7.35858,1.94458,1
9.28639,7.48375,1.88485,1
9.245,7.61117,1.81817,1
9.21211,7.7414,1.74564,1
9.18851,7.875,1.66876,1
9.175,8.0125,1.66146,1
9.1625,8.15,1.66146,1
9.15,8.2875,1.66146,1
9.1375,8.425,1.66146,1
9.125,8.5625,1.5708,1
9.125,8.70833,1.5708,1
9.125,8.85417,1.5708,1
9.125,9,1.5708,1
9.125,9.14583,1.5708,1
9.125,9.29167,1.5708,1
9.125,9.4375,1.5708,1
9.125,9.58333,1.5708,1
9.125,9.72917,1.5708,1
9.125,9.875,1.5708,1
