x,y,yaw,dir
13.375,11.875,-2.36883,1
13.3115,11.8131,-2.36883,1
13.2481,11.7512,-2.36883,1
13.1846,11.6893,-2.36883,1
13.1211,11.6274,-2.38949,1
13.0578,11.5682,-2.38949,1
12.9945,11.509,-2.38949,1
12.9311,11.4497,-2.38949,1
12.8678,11.3905,-2.45726,1
12.8049,11.3392,-2.45726,1
12.742,11.2879,-2.45726,1
12.6792,11.2366,-2.45726,1
12.6163,11.1853,-2.68737,1
12.534,11.1451,-2.68737,1
12.4518,11.1049,-2.68737,1
12.3695,11.0648,-2.42666,1
12.311,11.0139,-2.42666,1
12.2524,10.9631,-2.42666,1
12.1938,10.9123,-2.42666,1
12.1353,10.8614,-2.27967,1
12.0849,10.8026,-2.27967,1
12.0345,10.7439,-2.27967,1
11.9841,10.6851,-2.27967,1
11.9337,10.6264,-2.00947,1
11.895,10.544,-2.00947,1
11.8564,10.4616,-2.00947,1
11.8177,10.3792,-2.06151,1
11.7729,10.2953,-2.06151,1
11.7281,10.2114,-2.06151,1
11.6832,10.1275,-1.7284,1
11.6698,10.043,-1.7284,1
11.6564,9.95845,-1.7284,1
11.6429,9.87395,-1.65241,1
11.636,9.78921,-1.65241,1
11.6291,9.70448,-1.65241,1
11.6221,9.61975,-1.78939,1
11.6033,9.53493,-1.78939,1
11.5845,9.45012,-1.78939,1
11.5656,9.3653,-2.19468,1
11.5198,9.30166,-2.19468,1
11.474,9.23803,-2.19468,1
11.4282,9.17439,-2.19468,1
11.3824,9.11075,-2.23315,1
11.3328,9.04711,-2.23315,1
11.2831,8.98347,-2.23315,1
11.2335,8.91982,-2.23315,1
11.1839,8.85618,-2.00421,1
11.1446,8.77132,-2.00421,1
11.1053,8.68647,-2.00421,1
11.0661,8.60161,-2.24501,1
11.0152,8.53798,-2.24501,1
10.9644,8.47435,-2.24501,1
10.9135,8.41072,-2.24501,1
10.8627,8.34709,-2.29466,1
10.8064,8.28349,-2.29466,1
10.7502,8.2199,-2.29466,1
10.694,8.1563,-2.29466,1
10.6378,8.09271,-2.24652,1
10.5869,8.02921,-2.24652,1
10.536,7.96571,-2.24652,1
10.4851,7.9022,-2.24652,1
10.4342,7.8387,-2.00864,1
10.3947,7.75436,-2.00864,1
10.3552,7.67002,-2.00864,1
10.3157,7.58567,-2.25257,1
10.2649,7.52306,-2.25257,1
10.2141,7.46044,-2.25257,1
10.1633,7.39782,-2.25257,1
10.1125,7.3352,-2.31514,1
10.0563,7.27426,-2.31514,1
10.0002,7.21332,-2.31514,1
9.94406,7.15238,-2.31514,1
9.88792,7.09144,-2.3033,1
9.83706,7.03488,-2.3033,1
9.78619,6.97832,-2.3033,1
9.73532,6.92177,-2.3033,1
9.68445,6.86521,-2.15433,1
9.64477,6.80511,-2.15433,1
9.60509,6.74501,-2.15433,1
9.56541,6.68492,-2.85277,1
9.49805,6.6649,-2.85277,1
9.43068,6.64488,-2.85277,1
9.36331,6.62487,-3.09648,1
9.28537,6.62135,-3.09648,1
9.20742,6.61783,-3.09648,1
9.12948,6.61431,3.0698,1
9.0475,6.62021,3.0698,1
8.96552,6.6261,3.0698,1
8.88353,6.632,2.93348,1
8.80001,6.64964,2.93348,1
8.71648,6.66727,2.93348,1
8.63295,6.68491,2.66476,1
8.54884,6.72837,2.66476,1
8.46472,6.77182,2.66476,1
8.38061,6.81527,2.96866,1
8.29627,6.83001,2.96866,1
8.21193,6.84474,2.96866,1
8.12759,6.85947,3.08056,1
8.04316,6.86463,3.08056,1
7.95874,6.86979,3.08056,1
7.87431,6.87495,3.08055,1
7.78985,6.88011,3.08055,1
7.70539,6.88527,3.08055,1
7.62093,6.89043,2.9688,1
7.53646,6.90517,2.9688,1
7.45199,6.91992,2.9688,1
7.36752,6.93466,2.66622,1
7.28305,6.97814,2.66622,1
7.19857,7.02163,2.66622,1
7.11409,7.06511,2.96983,1
7.02962,7.07976,2.96983,1
6.94514,7.09442,2.96983,1
6.86066,7.10907,3.09831,1
6.77619,7.11273,3.09831,1
6.69171,7.11639,3.09831,1
6.60723,7.12005,-3.13566,1
6.52276,7.11955,-3.13566,1
6.43828,7.11905,-3.13566,1
6.3538,7.11854,-3.1181,1
6.26933,7.11656,-3.1181,1
6.18486,7.11457,-3.1181,1
6.10038,7.11259,-3.11466,1
6.01592,7.11031,-3.11466,1
5.93145,7.10804,-3.11466,1
5.84698,7.10576,-3.12191,1
5.76254,7.1041,-3.12191,1
5.67809,7.10244,-3.12191,1
5.59364,7.10078,3.13607,1
5.50924,7.10124,3.13607,1
5.42483,7.10171,3.13607,1
5.34043,7.10218,3.06768,1
5.25615,7.10842,3.06768,1
5.17186,7.11466,3.06768,1
5.08758,7.1209,2.89165,1
5.00361,7.14233,2.89165,1
4.91964,7.16377,2.89165,1
4.83567,7.18521,2.50673,1
4.77331,7.23114,2.50673,1
4.71095,7.27708,2.50673,1
4.64859,7.32301,2.50673,1
4.58622,7.36895,2.46014,1
4.52547,7.41822,2.46014,1
4.46472,7.4675,2.46014,1
4.40397,7.51677,2.46014,1
4.34322,7.56605,2.66158,1
4.26783,7.60529,2.66158,1
4.19244,7.64454,2.66158,1
4.11706,7.68379,2.30939,1
4.05638,7.75043,2.30939,1
3.9957,7.81707,2.30939,1
3.93503,7.88371,1.85081,1
3.91285,7.96082,1.85081,1
3.89068,8.03792,1.85081,1
3.86851,8.11502,1.66259,1
3.86104,8.19613,1.66259,1
3.85358,8.27723,1.66259,1
3.84611,8.35833,1.59315,1
3.84426,8.44096,1.59315,1
3.84242,8.52359,1.59315,1
3.84057,8.60622,1.56721,1
3.84087,8.68943,1.56721,1
3.84117,8.77264,1.56721,1
3.84147,8.85585,1.55739,1
3.84258,8.93929,1.55739,1
3.8437,9.02272,1.55739,1
3.84482,9.10616,1.55366,1
3.84625,9.18968,1.55366,1
3.84768,9.2732,1.55366,1
3.84911,9.35672,1.55225,1
3.85066,9.44028,1.55225,1
3.85221,9.52383,1.55225,1
3.85376,9.60739,1.55176,1
3.85535,9.69095,1.55176,1
3.85695,9.77452,1.55176,1
3.85854,9.85809,1.5517,1
3.86013,9.94166,1.5517,1
3.86173,10.0252,1.5517,1
3.86332,10.1088,1.55201,1
3.8649,10.1924,1.55201,1
3.86647,10.276,1.55201,1
3.86804,10.3595,1.553,1
3.86952,10.4431,1.553,1
3.87101,10.5267,1.553,1
3.8725,10.6103,1.55567,1
3.87376,10.6938,1.55567,1
3.87503,10.7774,1.55567,1
3.87629,10.861,1.56271,1
3.87697,10.9446,1.56271,1
3.87764,11.0281,1.56271,1
3.87832,11.1117,1.58115,1
3.87745,11.1953,1.58115,1
3.87659,11.2789,1.58115,1
3.87572,11.3624,1.62936,1
3.87082,11.446,1.62936,1
3.86592,11.5296,1.62936,1
3.86102,11.6132,1.75377,1
3.84556,11.6968,1.75377,1
3.83009,11.7803,1.75377,1
3.81463,11.8639,2.04716,1
3.7715,11.9475,2.04716,1
3.72837,12.0311,2.04716,1
3.68525,12.1146,1.80476,1
3.66533,12.1982,1.80476,1
3.64541,12.2818,1.80476,1
3.62549,12.3654,1.80595,1
3.60547,12.449,1.80595,1
3.58544,12.5325,1.80595,1
3.56542,12.6161,2.05114,1
3.52187,12.6997,2.05114,1
3.47832,12.7833,2.05114,1
3.43477,12.8669,1.73932,1
3.42055,12.9504,1.73932,1
3.40633,13.034,1.73932,1
3.39211,13.1176,1.60739,1
3.38905,13.2012,1.60739,1
3.38599,13.2848,1.60739,1
3.38293,13.3683,1.55775,1
3.38402,13.4519,1.55775,1
3.38511,13.5355,1.55775,1
3.3862,13.6191,1.54229,1
3.38859,13.7026,1.54229,1
3.39097,13.7862,1.54229,1
3.39335,13.8698,1.54557,1
3.39546,13.9534,1.54557,1
3.39757,14.037,1.54557,1
3.39968,14.1206,1.57085,1
3.39968,14.2041,1.57085,1
3.39967,14.2877,1.57085,1
3.39967,14.3713,1.64331,1
3.39359,14.4549,1.64331,1
3.38752,14.5385,1.64331,1
3.38145,14.622,1.82996,1
3.35929,14.7056,1.82996,1
3.33713,14.7892,1.82996,1
3.31497,14.8728,2.22697,1
3.2667,14.9355,2.22697,1
3.21844,14.9981,2.22697,1
3.17017,15.0608,2.22697,1
3.1219,15.1235,2.33543,1
3.06177,15.1862,2.33543,1
3.00163,15.2489,2.33543,1
2.9415,15.3116,2.33543,1
2.88136,15.3743,2.36728,1
2.81727,15.4369,2.36728,1
2.75318,15.4996,2.36728,1
2.68909,15.5623,2.36728,1
2.625,15.625,2.36728,1
