x,y,yaw,dir
14.875,0.375,2.41059,1
14.8106,0.432781,2.41049,1
14.7461,0.490558,2.41029,1
14.6818,0.548329,2.40998,1
14.6174,0.606089,2.40956,1
14.5532,0.663837,2.40902,1
14.489,0.721571,2.40834,1
14.4249,0.779291,2.40751,1
14.3609,0.836998,2.40654,1
14.2971,0.894694,2.40539,1
14.2335,0.952383,2.40406,1
14.17,1.01007,2.40255,1
14.1067,1.06776,2.40084,1
14.0436,1.12546,2.39892,1
13.9807,1.18319,2.3968,1
13.918,1.24094,2.39446,1
13.8556,1.29874,2.39191,1
13.7935,1.35659,2.38914,1
13.7316,1.4145,2.38615,1
13.6701,1.47249,2.38295,1
13.6088,1.53058,2.37952,1
13.5478,1.58878,2.37588,1
13.4872,1.6471,2.37202,1
13.4268,1.70556,2.36793,1
13.3668,1.76418,2.36361,1
13.3071,1.82297,2.35906,1
13.2478,1.88196,2.35428,1
13.1888,1.94116,2.34927,1
13.1302,2.00059,2.34402,1
13.072,2.06027,2.33854,1
13.0141,2.12023,2.33283,1
12.9566,2.18047,2.32691,1
12.8995,2.24103,2.32079,1
12.8428,2.30191,2.31449,1
12.7864,2.36314,2.30804,1
12.7305,2.42473,2.30147,1
12.675,2.4867,2.29481,1
12.6199,2.54906,2.28811,1
12.5651,2.61181,2.2814,1
12.5108,2.67496,2.27473,1
12.4568,2.73853,2.26813,1
12.4032,2.8025,2.26166,1
12.35,2.86688,2.25534,1
12.2971,2.93166,2.24922,1
12.2446,2.99683,2.24332,1
12.1924,3.06239,2.23768,1
12.1405,3.12833,2.23232,1
12.0888,3.19462,2.22725,1
12.0375,3.26125,2.22249,1
11.9864,3.32821,2.21805,1
11.9356,3.39547,2.21393,1
11.885,3.46301,2.21013,1
11.8346,3.53083,2.20665,1
11.7843,3.59888,2.20348,1
11.7343,3.66716,2.20062,1
11.6843,3.73565,2.19806,1
11.6346,3.80431,2.19578,1
11.5849,3.87314,2.19377,1
11.5354,3.94211,2.19203,1
11.4859,4.01121,2.19053,1
11.4365,4.08042,2.18926,1
11.3872,4.14971,2.1882,1
11.338,4.21909,2.18733,1
11.2887,4.28852,2.18663,1
11.2396,4.35799,2.18608,1
11.1905,4.4275,2.18564,1
11.1414,4.49703,2.18528,1
11.0923,4.56657,2.18497,1
11.0433,4.63611,2.18468,1
10.9942,4.70565,2.18435,1
10.9453,4.77518,2.18396,1
10.8964,4.84471,2.18347,1
10.8475,4.91422,2.18281,1
10.7987,4.98374,2.18196,1
10.75,5.05325,2.18087,1
10.7014,5.12277,2.17949,1
10.6529,5.19232,2.17779,1
10.6046,5.26189,2.17571,1
10.5565,5.33151,2.17322,1
10.5086,5.4012,2.17029,1
10.4609,5.47096,2.16686,1
10.4135,5.54082,2.16292,1
10.3664,5.6108,2.15842,1
10.3197,5.68093,2.15333,1
10.2734,5.75121,2.14764,1
10.2275,5.82169,2.14132,1
10.1822,5.89238,2.13435,1
10.1374,5.9633,2.12673,1
10.0931,6.03448,2.11845,1
10.0496,6.10594,2.1095,1
10.0067,6.17771,2.09989,1
9.96451,6.2498,2.08964,1
9.92315,6.32224,2.07875,1
9.88262,6.39504,2.06726,1
9.84297,6.46823,2.05519,1
9.80425,6.54182,2.04257,1
9.76649,6.61583,2.02942,1
9.72974,6.69026,2.0158,1
9.69403,6.76514,2.00174,1
9.65939,6.84048,1.98728,1
9.62586,6.91628,1.97248,1
9.59346,6.99255,1.95738,1
9.56222,7.06929,1.94204,1
9.53216,7.14652,1.92651,1
9.50329,7.22424,1.91087,1
9.47562,7.30243,1.89518,1
9.44916,7.38111,1.87951,1
9.42392,7.46027,1.86393,1
9.39988,7.5399,1.84852,1
9.37705,7.61999,1.83337,1
9.3554,7.70054,1.81854,1
9.33491,7.78154,1.80413,1
9.31556,7.86296,1.7902,1
9.29731,7.94479,1.77682,1
9.28013,8.02702,1.76408,1
9.26396,8.10963,1.75202,1
9.24876,8.19259,1.74071,1
9.23447,8.27588,1.7302,1
9.22103,8.35948,1.72053,1
9.20838,8.44336,1.71174,1
9.19644,8.5275,1.78686,1
9.17765,8.6131,1.7021,1
9.16988,8.67193,1.68807,1
9.15927,8.76199,1.68154,1
9.14751,8.8677,1.67633,1
9.13631,8.97346,1.66971,1
9.12736,9.0637,1.65533,1
9.12235,9.12283,1.57966,1
9.1216,9.20659,1.57065,1
9.12162,9.29014,1.5689,1
9.12177,9.37369,1.56724,1
9.12207,9.45724,1.56575,1
9.12249,9.54079,1.56448,1
9.12302,9.62434,1.56348,1
9.12363,9.7079,1.56279,1
9.1243,9.79145,1.56244,1
9.125,9.875,1.56244,1
