x,y,yaw,dir
3.625,15.125,-1.03869,1
3.66899,15.0503,-1.03839,1
3.71299,14.9756,-1.0378,1
3.75702,14.901,-1.03695,1
3.80109,14.8264,-1.03586,1
3.84521,14.7519,-1.03458,1
3.8894,14.6776,-1.03316,1
3.93364,14.6034,-1.03165,1
3.97796,14.5293,-1.11317,1
4.0181,14.4478,-1.05752,1
4.04742,14.3958,-1.0485,1
4.09294,14.3167,-1.04427,1
4.14672,14.2242,-1.04086,1
4.20081,14.1319,-1.0365,1
4.24728,14.0533,-1.02696,1
4.27817,14.0022,-0.985241,1
4.32347,13.9339,-0.963399,1
4.37001,13.867,-0.970904,1
4.41607,13.7996,-0.978996,1
4.46163,13.7319,-0.987607,1
4.50663,13.6636,-0.996665,1
4.55107,13.5949,-1.0061,1
4.59491,13.5257,-1.01584,1
4.63813,13.456,-1.02582,1
4.68072,13.3858,-1.03597,1
4.72266,13.315,-1.04622,1
4.76395,13.2436,-1.0565,1
4.80458,13.1717,-1.06677,1
4.84455,13.0992,-1.07695,1
4.88386,13.0262,-1.087,1
4.92252,12.9526,-1.09686,1
4.96053,12.8785,-1.10648,1
4.99792,12.8039,-1.1158,1
5.03468,12.7287,-1.12477,1
5.07086,12.6531,-1.13335,1
5.10645,12.577,-1.14147,1
5.1415,12.5004,-1.14909,1
5.17604,12.4234,-1.15615,1
5.21009,12.3461,-1.1912,1
5.23944,12.2725,-1.12423,1
5.2651,12.2189,-1.10964,1
5.30551,12.1376,-1.103,1
5.35354,12.0425,-1.09785,1
5.40206,11.9477,-1.09151,1
5.44394,11.8671,-1.07803,1
5.47205,11.8147,-0.992346,1
5.52236,11.7377,-1.04434,1
5.56833,11.6586,-1.03705,1
5.61478,11.58,-1.02908,1
5.66174,11.502,-1.02048,1
5.70925,11.4245,-1.0113,1
5.75736,11.3477,-1.0016,1
5.80608,11.2715,-0.991446,1
5.85545,11.1961,-0.980901,1
5.90549,11.1213,-0.970039,1
5.95622,11.0473,-0.958937,1
6.00765,10.974,-0.947671,1
6.05979,10.9015,-0.93632,1
6.11264,10.8296,-0.924965,1
6.16619,10.7586,-0.913686,1
6.22044,10.6883,-0.902561,1
6.27537,10.6187,-0.891671,1
6.33098,10.5498,-0.881093,1
6.38722,10.4816,-0.870904,1
6.44409,10.4141,-0.861176,1
6.50155,10.3472,-0.851981,1
6.55956,10.2809,-0.843387,1
6.61808,10.2151,-0.835457,1
6.67709,10.1499,-0.854087,1
6.73443,10.0841,-0.815195,1
6.77634,10.0396,-0.810152,1
6.84072,9.97197,-0.807823,1
6.9164,9.89281,-0.805979,1
6.99224,9.81379,-0.803664,1
7.05705,9.74656,-0.798672,1
7.09969,9.70277,-0.778606,1
7.16296,9.64036,-0.778543,1
7.22615,9.57803,-0.778855,1
7.28929,9.51571,-0.779186,1
7.3524,9.45338,-0.779532,1
7.41546,9.39106,-0.779888,1
7.47847,9.32874,-0.78025,1
7.54143,9.26642,-0.780612,1
7.60435,9.2041,-0.78097,1
7.66722,9.14178,-0.78132,1
7.73005,9.07947,-0.781657,1
7.79283,9.01715,-0.781978,1
7.85557,8.95484,-0.782278,1
7.91827,8.89253,-0.777501,1
7.98231,8.8295,-0.788578,1
8.02899,8.78252,-0.792234,1
8.10005,8.71047,-0.793909,1
8.18326,8.62584,-0.795218,1
8.26635,8.5411,-0.79684,1
8.33709,8.46873,-0.800308,1
8.38321,8.4212,-0.83471,1
8.44955,8.34797,-0.841322,1
8.5106,8.27969,-0.855777,1
8.56998,8.2113,-0.87248,1
8.62748,8.1428,-0.891641,1
8.68289,8.07416,-0.913494,1
8.73599,8.00536,-0.938294,1
8.78656,7.93636,-0.966318,1
8.83437,7.86715,-0.997859,1
8.87918,7.79769,-1.03322,1
8.92076,7.72795,-1.07269,1
8.95885,7.6579,-1.11655,1
8.99323,7.5875,-1.16504,1
9.02363,7.51673,-1.21831,1
9.04982,7.44554,-1.27643,1
9.07154,7.3739,-1.3391,1
9.08854,7.30184,-1.40155,1
9.10092,7.22939,-1.46331,1
9.10878,7.15658,-1.52393,1
9.11221,7.08344,-1.58303,1
9.11131,7.01,-1.58399,1
9.11032,6.93484,-1.75991,1
9.10047,6.88338,-1.80138,1
9.08215,6.80535,-1.82048,1
9.05891,6.71421,-1.8356,1
9.03429,6.62343,-1.85462,1
9.01185,6.54648,-1.89576,1
8.99512,6.49683,-2.22801,1
8.94569,6.43278,-2.29638,1
8.88942,6.36934,-2.35079,1
8.82791,6.30716,-2.38938,1
8.76246,6.24592,-2.41406,1
8.69438,6.1853,-2.4261,1
8.625,6.12499,-2.4261,1
