x,y
13.125,13.375
13.125,13.625
13.125,13.875
13.125,14.125
13.125,14.375
13.125,14.625
13.125,14.875
13.125,15.125
12.875,15.125
12.625,15.125
12.375,15.125
12.125,15.125
11.875,15.125
11.625,15.125
11.375,15.125
11.125,15.125
10.875,15.125
10.625,14.875
10.375,14.875
10.125,14.625
9.875,14.375
9.625,14.125
9.375,14.125
9.375,13.875
9.125,13.625
8.875,13.375
8.875,13.125
8.625,12.875
8.625,12.625
8.625,12.375
8.625,12.125
8.625,11.875
8.875,11.625
8.875,11.375
8.875,11.125
8.875,10.875
8.875,10.625
8.875,10.375
8.875,10.125
9.125,9.875
9.125,9.625
9.125,9.375
9.125,9.125
9.125,8.875
9.125,8.625
9.125,8.375
9.125,8.125
9.125,7.875
9.125,7.625
9.125,7.375
9.125,7.125
9.125,6.875
9.125,6.625
9.125,6.375
9.125,6.125
9.125,5.875
9.125,5.625
9.125,5.375
9.125,5.125
9.125,4.875
9.125,4.625
