x,y,yaw,dir
13.125,13.375,1.52772,1
13.1288,13.4623,1.52772,1
13.1325,13.5496,1.52772,1
13.1363,13.6369,1.53279,1
13.1396,13.7238,1.53279,1
13.1429,13.8106,1.53279,1
13.1462,13.8975,1.5452,1
13.1484,13.9832,1.5452,1
13.1506,14.0689,1.5452,1
13.1528,14.1546,1.57082,1
13.1528,14.2381,1.57082,1
13.1528,14.3215,1.57082,1
13.1528,14.405,1.62334,1
13.1486,14.4842,1.62334,1
13.1444,14.5634,1.62334,1
13.1403,14.6425,1.73722,1
13.1283,14.7137,1.73722,1
13.1164,14.785,1.73722,1
13.1044,14.8562,2.01084,1
13.0646,14.9406,2.01084,1
13.0249,15.025,2.65291,1
12.9444,15.0678,2.65291,1
12.864,15.1106,2.94576,1
12.7958,15.1241,2.94576,1
12.7277,15.1376,2.94576,1
12.6595,15.1511,3.0714,1
12.5835,15.1565,3.0714,1
12.5075,15.1618,3.0714,1
12.4316,15.1672,3.13296,1
12.3514,15.1679,3.13296,1
12.2712,15.1686,3.13296,1
12.1911,15.1692,-3.11387,1
12.1086,15.167,-3.11387,1
12.0262,15.1647,-3.11387,1
11.9438,15.1624,-3.08447,1
11.8602,15.1576,-3.08447,1
11.7766,15.1528,-3.08447,1
11.693,15.1481,-3.04932,1
11.6088,15.1403,-3.04932,1
11.5246,15.1325,-3.04932,1
11.4404,15.1247,-2.9944,1
11.3559,15.1121,-2.9944,1
11.2714,15.0996,-2.9944,1
11.187,15.0871,-2.89952,1
11.1024,15.0662,-2.89952,1
11.0179,15.0453,-2.89952,1
10.9333,15.0245,-2.73667,1
10.8489,14.9883,-2.73667,1
10.7645,14.9521,-2.73667,1
10.6801,14.9159,-2.63415,1
10.596,14.8692,-2.63415,1
10.512,14.8225,-2.63415,1
10.428,14.7758,-2.54353,1
10.3655,14.7332,-2.54353,1
10.3031,14.6907,-2.54353,1
10.2407,14.6482,-2.54353,1
10.1782,14.6056,-2.49207,1
10.1169,14.5591,-2.49207,1
10.0557,14.5125,-2.49207,1
9.99435,14.466,-2.49207,1
9.93305,14.4194,-2.4529,1
9.87388,14.3707,-2.4529,1
9.81471,14.322,-2.4529,1
9.75553,14.2733,-2.4529,1
9.69636,14.2246,-2.40702,1
9.62276,14.1581,-2.40702,1
9.54916,14.0916,-2.40702,1
9.47556,14.0251,-2.28099,1
9.41183,13.951,-2.28099,1
9.3481,13.8769,-2.28099,1
9.28437,13.8028,-2.20283,1
9.2271,13.7246,-2.20283,1
9.16983,13.6464,-2.20283,1
9.11256,13.5682,-2.14168,1
9.06091,13.4877,-2.14168,1
9.00927,13.4073,-2.14168,1
8.95763,13.3269,-2.07099,1
8.91303,13.2453,-2.07099,1
8.86844,13.1637,-2.07099,1
8.82384,13.0821,-1.95567,1
8.79053,12.9999,-1.95567,1
8.75722,12.9177,-1.95567,1
8.72391,12.8355,-1.73014,1
8.71065,12.7529,-1.73014,1
8.69738,12.6703,-1.73014,1
