x,y,yaw,dir
13.125,13.375,1.36766,1
13.1461,13.4774,1.37077,1
13.1668,13.5796,1.37705,1
13.1867,13.6811,1.38666,1
13.2055,13.7817,1.39983,1
13.2226,13.8812,1.41686,1
13.2378,13.9791,1.43819,1
13.2506,14.0751,1.46436,1
13.2607,14.1691,1.49605,1
13.2675,14.2605,1.53411,1
13.2708,14.3492,1.57958,1
13.27,14.4349,1.63366,1
13.2649,14.5171,1.69773,1
13.2548,14.5956,1.77326,1
13.2396,14.67,1.86159,1
13.2186,14.7401,1.96362,1
13.1915,14.8055,2.23862,1
13.151,14.8568,2.29586,1
13.1191,14.8929,2.29879,1
13.07,14.9478,2.30015,1
13.0125,15.0123,2.30122,1
12.9548,15.0766,2.30258,1
12.9056,15.1314,2.30552,1
12.8733,15.1672,2.28798,1
12.831,15.2157,2.59515,1
12.7748,15.2498,2.70221,1
12.7148,15.278,2.80121,1
12.6512,15.3006,2.89102,1
12.584,15.3178,2.97136,1
12.5137,15.3299,3.04252,1
12.4402,15.3372,3.10516,1
12.364,15.3399,-3.12308,1
12.285,15.3385,-3.07499,1
12.2036,15.333,-3.03292,1
12.1198,15.3239,-2.99611,1
12.034,15.3113,-2.96391,1
11.9462,15.2956,-2.93574,1
11.8566,15.2769,-2.9111,1
11.7654,15.2555,-2.88958,1
11.6728,15.2316,-2.87081,1
11.5788,15.2055,-2.85452,1
11.4837,15.1774,-2.84044,1
11.3876,15.1476,-2.81031,1
11.2779,15.1099,-2.75305,1
11.2112,15.0826,-2.74285,1
11.1096,15.0398,-2.73799,1
10.9908,14.989,-2.73395,1
10.8721,14.9378,-2.72864,1
10.7712,14.8935,-2.71684,1
10.7055,14.8638,-2.63477,1
10.6285,14.8211,-2.68947,1
10.551,14.7835,-2.67386,1
10.4746,14.7449,-2.65715,1
10.3992,14.7052,-2.63937,1
10.3249,14.6644,-2.62053,1
10.2516,14.6223,-2.60065,1
10.1794,14.5789,-2.57977,1
10.1081,14.5341,-2.55791,1
10.038,14.4877,-2.53509,1
9.96891,14.4398,-2.51136,1
9.90091,14.3902,-2.48675,1
9.83402,14.3388,-2.46128,1
9.76825,14.2856,-2.435,1
9.70365,14.2305,-2.40794,1
9.64024,14.1733,-2.38012,1
9.57807,14.1141,-2.3516,1
9.51718,14.0526,-2.32239,1
9.45763,13.9889,-2.2941,1
9.39948,13.923,-2.26656,1
9.34278,13.8551,-2.23962,1
9.28762,13.7853,-2.21315,1
9.23407,13.7138,-2.18699,1
9.1822,13.6405,-2.16101,1
9.1321,13.5657,-2.13507,1
9.08387,13.4895,-2.10903,1
9.03759,13.412,-2.08277,1
8.99335,13.3333,-2.05614,1
8.95127,13.2535,-2.02904,1
8.91143,13.1727,-2.03301,1
8.87014,13.0899,-1.97881,1
8.83396,13.0062,-1.92942,1
8.8024,12.922,-1.88273,1
8.77519,12.8376,-1.83645,1
8.75225,12.7533,-1.78809,1
8.73368,12.6692,-1.73661,1
8.71967,12.5854,-1.68108,1
8.71044,12.5021,-1.67785,1
8.70155,12.4194,-1.64792,1
8.69516,12.3367,-1.61989,1
8.6911,12.2539,-1.59383,1
8.68919,12.1712,-1.56975,1
8.68928,12.0885,-1.54766,1
8.69119,12.0057,-1.52754,1
8.69477,11.923,-1.50935,1
8.69986,11.8402,-1.49306,1
8.70631,11.7575,-1.47861,1
8.71396,11.6747,-1.46592,1
8.72268,11.5919,-1.45494,1
8.73231,11.5091,-1.44557,1
8.74273,11.4263,-1.43774,1
8.75381,11.3435,-1.43136,1
8.76544,11.2607,-1.42634,1
8.77748,11.1779,-1.42258,1
8.78985,11.0951,-1.42001,1
8.80243,11.0123,-1.41851,1
8.81515,10.9294,-1.41801,1
8.8279,10.8466,-1.41841,1
8.84063,10.7637,-1.41962,1
8.85325,10.6809,-1.42155,1
8.86571,10.598,-1.42411,1
8.87796,10.5151,-1.42722,1
8.88994,10.4322,-1.4308,1
8.90162,10.3494,-1.43477,1
8.91297,10.2665,-1.43906,1
8.92395,10.1835,-1.44359,1
8.93456,10.1006,-1.44831,1
8.94477,10.0177,-1.45315,1
8.95457,9.9348,-1.45806,1
8.96395,9.85187,-1.46299,1
8.97293,9.76893,-1.46788,1
8.9815,9.68599,-1.47271,1
8.98966,9.60305,-1.47743,1
8.99743,9.5201,-1.48202,1
9.00481,9.43714,-1.48646,1
9.01182,9.35418,-1.49072,1
9.01848,9.27122,-1.49479,1
9.0248,9.18826,-1.49867,1
9.03079,9.10529,-1.50234,1
9.03648,9.02232,-1.5058,1
9.04188,8.93935,-1.50907,1
9.04701,8.85637,-1.51213,1
9.05189,8.77339,-1.515,1
9.05652,8.69041,-1.51769,1
9.06093,8.60743,-1.52021,1
9.06513,8.52445,-1.52257,1
9.06914,8.44147,-1.52479,1
9.07296,8.35849,-1.52687,1
9.0766,8.2755,-1.52883,1
9.08009,8.19252,-1.53069,1
9.08342,8.10954,-1.53246,1
9.0866,8.02655,-1.53416,1
9.08964,7.94357,-1.53578,1
9.09255,7.86059,-1.53736,1
9.09532,7.77761,-1.53889,1
9.09797,7.69462,-1.54038,1
9.1005,7.61164,-1.54185,1
9.1029,7.52866,-1.54329,1
9.10518,7.44568,-1.54472,1
9.10735,7.36271,-1.54613,1
9.1094,7.27973,-1.54754,1
9.11133,7.19675,-1.54893,1
9.11314,7.11378,-1.55032,1
9.11484,7.03081,-1.5517,1
9.11642,6.94783,-1.55307,1
9.1179,6.86486,-1.55442,1
9.11925,6.78189,-1.55576,1
9.1205,6.69893,-1.55708,1
9.12164,6.61596,-1.55838,1
9.12267,6.53299,-1.55965,1
9.1236,6.45003,-1.56089,1
9.12442,6.36706,-1.5621,1
9.12514,6.2841,-1.56327,1
9.12576,6.20114,-1.5644,1
9.12629,6.11818,-1.56548,1
9.12674,6.03522,-1.56652,1
