x,y,yaw,dir
3.625,15.125,-0.785398,1
3.6875,15.0625,-0.785398,1
3.75,15,-0.785398,1
3.8125,14.9375,-0.785398,1
3.875,14.875,-1.5708,1
3.875,14.7917,-1.5708,1
3.875,14.7083,-1.5708,1
3.875,14.625,-1.5708,1
3.875,14.5417,-1.5708,1
3.875,14.4583,-1.5708,1
3.875,14.375,-0.785398,1
3.9375,14.3125,-0.785398,1
4,14.25,-0.785398,1
4.0625,14.1875,-0.785398,1
4.125,14.125,-0.785398,1
4.1875,14.0625,-0.785398,1
4.25,14,-0.785398,1
4.3125,13.9375,-0.785398,1
4.375,13.875,-0.785398,1
4.4375,13.8125,-0.785398,1
4.5,13.75,-0.785398,1
4.5625,13.6875,-0.785398,1
4.625,13.625,-0.785398,1
4.6875,13.5625,-0.785398,1
4.75,13.5,-0.785398,1
4.8125,13.4375,-0.785398,1
4.875,13.375,-0.785398,1
4.9375,13.3125,-0.785398,1
5,13.25,-0.785398,1
5.0625,13.1875,-0.785398,1
5.125,13.125,-1.5708,1
5.125,13.0417,-1.5708,1
5.125,12.9583,-1.5708,1
5.125,12.875,-1.5708,1
5.125,12.7917,-1.5708,1
5.125,12.7083,-1.5708,1
5.125,12.625,-1.5708,1
5.125,12.5417,-1.5708,1
5.125,12.4583,-1.5708,1
5.125,12.375,-1.5708,1
5.125,12.2917,-1.5708,1
5.125,12.2083,-1.5708,1
5.125,12.125,-0.785398,1
5.1875,12.0625,-0.785398,1
5.25,12,-0.785398,1
5.3125,11.9375,-0.785398,1
5.375,11.875,-0.785398,1
5.4375,11.8125,-0.785398,1
5.5,11.75,-0.785398,1
5.5625,11.6875,-0.785398,1
5.625,11.625,-1.5708,1
5.625,11.5417,-1.5708,1
5.625,11.4583,-1.5708,1
5.625,11.375,-0.785398,1
5.6875,11.3125,-0.785398,1
5.75,11.25,-0.785398,1
5.8125,11.1875,-0.785398,1
5.875,11.125,-1.5708,1
5.875,11.0417,-1.5708,1
5.875,10.9583,-1.5708,1
5.875,10.875,-0.785398,1
5.9375,10.8125,-0.785398,1
6,10.75,-0.785398,1
6.0625,10.6875,-0.785398,1
6.125,10.625,-0.785398,1
6.1875,10.5625,-0.785398,1
6.25,10.5,-0.785398,1
6.3125,10.4375,-0.785398,1
6.375,10.375,-0.785398,1
6.4375,10.3125,-0.785398,1
6.5,10.25,-0.785398,1
6.5625,10.1875,-0.785398,1
6.625,10.125,-0.785398,1
6.6875,10.0625,-0.785398,1
6.75,10,-0.785398,1
6.8125,9.9375,-0.785398,1
6.875,9.875,-0.785398,1
6.9375,9.8125,-0.785398,1
7,9.75,-0.785398,1
7.0625,9.6875,-0.785398,1
7.125,9.625,-0.785398,1
7.1875,9.5625,-0.785398,1
7.25,9.5,-0.785398,1
7.3125,9.4375,-0.785398,1
7.375,9.375,-0.785398,1
7.4375,9.3125,-0.785398,1
7.5,9.25,-0.785398,1
7.5625,9.1875,-0.785398,1
7.625,9.125,-0.785398,1
7.6875,9.0625,-0.785398,1
7.75,9,-0.785398,1
7.8125,8.9375,-0.785398,1
7.875,8.875,-0.785398,1
7.9375,8.8125,-0.785398,1
8,8.75,-0.785398,1
8.0625,8.6875,-0.785398,1
8.125,8.625,-0.785398,1
8.1875,8.5625,-0.785398,1
8.25,8.5,-0.785398,1
8.3125,8.4375,-0.785398,1
8.375,8.375,-0.785398,1
8.4375,8.3125,-0.785398,1
8.5,8.25,-0.785398,1
8.5625,8.1875,-0.785398,1
8.625,8.125,-0.785398,1
8.6875,8.0625,-0.785398,1
8.75,8,-0.785398,1
8.8125,7.9375,-0.785398,1
8.875,7.875,-0.785398,1
8.9375,7.8125,-0.785398,1
9,7.75,-0.785398,1
9.0625,7.6875,-0.785398,1
9.125,7.625,-1.5708,1
9.125,7.54167,-1.5708,1
9.125,7.45833,-1.5708,1
9.125,7.375,-1.5708,1
9.125,7.29167,-1.5708,1
9.125,7.20833,-1.5708,1
9.125,7.125,-1.5708,1
9.125,7.04167,-1.5708,1
9.125,6.95833,-1.5708,1
9.125,6.875,-1.5708,1
9.125,6.79167,-1.5708,1
9.125,6.70833,-1.5708,1
9.125,6.625,-1.5708,1
9.125,6.54167,-1.5708,1
9.125,6.45833,-1.5708,1
9.125,6.375,3.14159,1
9.04167,6.375,3.14159,1
8.95833,6.375,3.14159,1
8.875,6.375,-2.35619,1
8.8125,6.3125,-2.35619,1
8.75,6.25,-2.35619,1
8.6875,6.1875,-2.35619,1
8.625,6.125,-2.35619,1
