x,y,yaw,dir
3.625,15.125,-1.1137,1
3.66552,15.0426,-1.1137,1
3.70604,14.9602,-1.1137,1
3.74655,14.8779,-1.08786,1
3.78975,14.7955,-1.08786,1
3.83295,14.7131,-1.08786,1
3.87614,14.6307,-1.02863,1
3.92577,14.5483,-1.02863,1
3.97539,14.466,-1.02863,1
4.02501,14.3836,-0.922749,1
4.07179,14.3218,-0.922749,1
4.11857,14.26,-0.922749,1
4.16535,14.1982,-0.922749,1
4.21213,14.1364,-0.881325,1
4.26307,14.0747,-0.881325,1
4.31401,14.0129,-0.881325,1
4.36495,13.9511,-0.881325,1
4.41589,13.8893,-0.877282,1
4.46724,13.8275,-0.877282,1
4.5186,13.7657,-0.877282,1
4.56996,13.7039,-0.877282,1
4.62132,13.6422,-0.908185,1
4.66953,13.5804,-0.908185,1
4.71774,13.5186,-0.908185,1
4.76595,13.4568,-0.908185,1
4.81417,13.395,-0.9936,1
4.86781,13.3126,-0.9936,1
4.92145,13.2303,-0.9936,1
4.9751,13.1479,-1.19701,1
5.00741,13.0655,-1.19701,1
5.03972,12.9831,-1.19701,1
5.07203,12.9007,-1.30412,1
5.09453,12.8184,-1.30412,1
5.11704,12.736,-1.30412,1
5.13954,12.6536,-1.32919,1
5.15984,12.5712,-1.32919,1
5.18014,12.4888,-1.32919,1
5.20044,12.4065,-1.2782,1
5.22526,12.3241,-1.2782,1
5.25008,12.2417,-1.2782,1
5.27489,12.1593,-1.14001,1
5.31275,12.0769,-1.14001,1
5.35061,11.9946,-1.14001,1
5.38847,11.9122,-1.06701,1
5.43388,11.8298,-1.06701,1
5.47929,11.7474,-1.06701,1
5.5247,11.665,-1.02096,1
5.57519,11.5827,-1.02096,1
5.62568,11.5003,-1.02096,1
5.67617,11.4179,-0.981066,1
5.73129,11.3355,-0.981066,1
5.78642,11.2532,-0.981066,1
5.84154,11.1708,-0.932043,1
5.88742,11.109,-0.932043,1
5.93331,11.0472,-0.932043,1
5.97919,10.9854,-0.932043,1
6.02507,10.9236,-0.859041,1
6.07836,10.8619,-0.859041,1
6.13166,10.8001,-0.859041,1
6.18495,10.7383,-0.859041,1
6.23825,10.6765,-0.823344,1
6.29551,10.6147,-0.823344,1
6.35277,10.5529,-0.823344,1
6.41004,10.4911,-0.823344,1
6.4673,10.4294,-0.80523,1
6.52668,10.3676,-0.80523,1
6.58606,10.3058,-0.80523,1
6.64544,10.244,-0.80523,1
6.70482,10.1822,-0.795984,1
6.76531,10.1204,-0.795984,1
6.8258,10.0587,-0.795984,1
6.88629,9.99688,-0.795984,1
6.94678,9.9351,-0.791504,1
7.00781,9.87332,-0.791504,1
7.06884,9.81153,-0.791504,1
7.12987,9.74975,-0.791504,1
7.19091,9.68797,-0.789885,1
7.25213,9.62619,-0.789885,1
7.31336,9.56441,-0.789885,1
7.37459,9.50263,-0.789885,1
7.43582,9.44085,-0.790452,1
7.49698,9.37907,-0.790452,1
7.55813,9.31729,-0.790452,1
7.61929,9.25552,-0.790452,1
7.68044,9.19374,-0.793443,1
7.74123,9.13197,-0.793443,1
7.80202,9.0702,-0.793443,1
7.8628,9.00842,-0.793443,1
7.92359,8.94665,-0.800117,1
7.98356,8.88489,-0.800117,1
8.04353,8.82313,-0.800117,1
8.1035,8.76136,-0.800117,1
8.16347,8.6996,-0.813373,1
8.22185,8.63786,-0.813373,1
8.28023,8.57612,-0.813373,1
8.33862,8.51437,-0.813373,1
8.397,8.45263,-0.83934,1
8.45238,8.39092,-0.83934,1
8.50777,8.32921,-0.83934,1
8.56316,8.2675,-0.83934,1
8.61854,8.20579,-0.89143,1
8.66833,8.14415,-0.89143,1
8.71812,8.0825,-0.89143,1
8.7679,8.02086,-0.89143,1
8.81769,7.95921,-1.00193,1
8.87014,7.87718,-1.00193,1
8.92259,7.79514,-1.00193,1
8.97504,7.71311,-1.25742,1
9.00153,7.63137,-1.25742,1
9.02802,7.54963,-1.25742,1
9.0545,7.46789,-1.43529,1
9.06557,7.3867,-1.43529,1
9.07664,7.30551,-1.43529,1
9.08771,7.22432,-1.57043,1
9.08774,7.14416,-1.57043,1
9.08777,7.064,-1.57043,1
9.0878,6.98383,-1.71109,1
9.07675,6.90558,-1.71109,1
9.0657,6.82733,-1.71109,1
9.05465,6.74908,-1.91294,1
9.02805,6.67439,-1.91294,1
9.00145,6.5997,-1.91294,1
8.97485,6.52501,-2.23103,1
8.92201,6.45696,-2.23103,1
8.86917,6.38891,-2.23103,1
8.81632,6.32086,-2.34448,1
8.75255,6.25557,-2.34448,1
8.68878,6.19029,-2.34448,1
8.625,6.125,-2.34448,1
