x,y,yaw,dir
3.625,15.125,-1.03883,1
3.66898,15.0503,-1.03852,1
3.71298,14.9756,-1.03792,1
3.757,14.9009,-1.03705,1
3.80107,14.8264,-1.03594,1
3.84519,14.7519,-1.03464,1
3.88937,14.6775,-1.0332,1
3.93361,14.6033,-1.03166,1
3.97793,14.5293,-1.105,1
4.01868,14.4482,-1.0054,1
4.05058,14.3979,-0.98865,1
4.10062,14.3219,-0.980821,1
4.16,14.2332,-0.974506,1
4.21994,14.1449,-0.966431,1
4.27165,14.07,-0.948796,1
4.30635,14.0216,-0.867407,1
4.35948,13.959,-0.908472,1
4.40953,13.8948,-0.920148,1
4.45878,13.8301,-0.932796,1
4.50718,13.7648,-0.94631,1
4.55467,13.6989,-0.960581,1
4.60121,13.6323,-0.975493,1
4.64677,13.5651,-0.99092,1
4.69132,13.4971,-1.00674,1
4.73483,13.4283,-1.02282,1
4.77731,13.3587,-1.03905,1
4.81874,13.2882,-1.05529,1
4.85913,13.217,-1.07143,1
4.89849,13.1448,-1.08735,1
4.93683,13.0718,-1.10297,1
4.97418,12.9979,-1.11815,1
5.01055,12.9231,-1.13282,1
5.04598,12.8474,-1.14691,1
5.0805,12.7709,-1.1603,1
5.11416,12.6936,-1.17296,1
5.147,12.6154,-1.1848,1
5.17906,12.5365,-1.19577,1
5.21041,12.4569,-1.20581,1
5.24109,12.3766,-1.2986,1
5.26347,12.2964,-1.19632,1
5.28568,12.2399,-1.17468,1
5.32149,12.1543,-1.16478,1
5.36448,12.0543,-1.15703,1
5.40825,11.9546,-1.14743,1
5.44638,11.87,-1.12689,1
5.47246,11.8152,-1.00054,1
5.52223,11.7376,-1.04455,1
5.56819,11.6584,-1.03724,1
5.61462,11.5798,-1.02926,1
5.66157,11.5018,-1.02064,1
5.70907,11.4243,-1.01144,1
5.75717,11.3475,-1.00172,1
5.80589,11.2713,-0.991544,1
5.85525,11.1959,-0.980977,1
5.90529,11.1211,-0.970093,1
5.95602,11.0471,-0.958968,1
6.00744,10.9738,-0.947679,1
6.05958,10.9012,-0.936305,1
6.11243,10.8294,-0.924927,1
6.16598,10.7584,-0.913624,1
6.22023,10.6881,-0.902477,1
6.27517,10.6185,-0.891565,1
6.33078,10.5496,-0.880965,1
6.38704,10.4814,-0.870755,1
6.44391,10.4139,-0.861008,1
6.50138,10.347,-0.851794,1
6.5594,10.2807,-0.843183,1
6.61794,10.215,-0.835236,1
6.67696,10.1498,-0.853587,1
6.73434,10.084,-0.81473,1
6.77627,10.0395,-0.809701,1
6.84069,9.97189,-0.807378,1
6.91642,9.89275,-0.805539,1
6.9923,9.81375,-0.80323,1
7.05716,9.74654,-0.798252,1
7.09982,9.70277,-0.778296,1
7.16313,9.64035,-0.778426,1
7.22633,9.57802,-0.778754,1
7.28949,9.5157,-0.779102,1
7.3526,9.45337,-0.779466,1
7.41567,9.39105,-0.779842,1
7.47869,9.32873,-0.780224,1
7.54166,9.26641,-0.780608,1
7.60458,9.20409,-0.780989,1
7.66744,9.14177,-0.781361,1
7.73027,9.07946,-0.781721,1
7.79304,9.01715,-0.782064,1
7.85577,8.95483,-0.782386,1
7.91846,8.89252,-0.777785,1
7.98245,8.82949,-0.788783,1
8.02912,8.78251,-0.79242,1
8.10016,8.71047,-0.794086,1
8.18333,8.62584,-0.795388,1
8.26639,8.5411,-0.797001,1
8.3371,8.46873,-0.800451,1
8.38322,8.4212,-0.834734,1
8.44955,8.34798,-0.841322,1
8.5106,8.27969,-0.855777,1
8.56998,8.21131,-0.87248,1
8.62748,8.1428,-0.891641,1
8.68289,8.07416,-0.913494,1
8.73599,8.00536,-0.938294,1
8.78656,7.93636,-0.966318,1
8.83437,7.86715,-0.997858,1
8.87918,7.79769,-1.03322,1
8.92076,7.72795,-1.07269,1
8.95885,7.6579,-1.11655,1
8.99323,7.5875,-1.16504,1
9.02363,7.51673,-1.21831,1
9.04982,7.44554,-1.27643,1
9.07154,7.3739,-1.3391,1
9.08854,7.30184,-1.40155,1
9.10092,7.22939,-1.46331,1
9.10878,7.15658,-1.52393,1
9.11221,7.08344,-1.58303,1
9.11131,7.01,-1.58399,1
9.11032,6.93484,-1.75991,1
9.10047,6.88338,-1.80138,1
9.08215,6.80535,-1.82048,1
9.05891,6.71421,-1.8356,1
9.03429,6.62343,-1.85462,1
9.01185,6.54648,-1.89576,1
8.99512,6.49683,-2.22801,1
8.94569,6.43278,-2.29638,1
8.88942,6.36934,-2.35079,1
8.82791,6.30716,-2.38938,1
8.76246,6.24592,-2.41406,1
8.69438,6.1853,-2.4261,1
8.625,6.12499,-2.4261,1
