global_index,local_index,x,y,yaw,dir
42,0,5.36448,12.0543,-1.15703,1
43,1,5.40825,11.9546,-1.14743,1
44,2,5.44638,11.87,-1.12689,1
45,3,5.47246,11.8152,-1.00054,1
46,4,5.52223,11.7376,-1.04455,1
47,5,5.56819,11.6584,-1.03724,1
48,6,5.61462,11.5798,-1.02926,1
49,7,5.66157,11.5018,-1.02064,1
50,8,5.70907,11.4243,-1.01144,1
51,9,5.75717,11.3475,-1.00172,1
52,10,5.80589,11.2713,-0.991544,1
53,11,5.85525,11.1959,-0.980977,1
54,12,5.90529,11.1211,-0.970093,1
55,13,5.95602,11.0471,-0.958968,1
56,14,6.00744,10.9738,-0.947679,1
57,15,6.05958,10.9012,-0.936305,1
58,16,6.11243,10.8294,-0.924927,1
59,17,6.16598,10.7584,-0.913624,1
60,18,6.22023,10.6881,-0.902477,1
61,19,6.27517,10.6185,-0.891565,1
62,20,6.33078,10.5496,-0.880965,1
63,21,6.38704,10.4814,-0.870755,1
64,22,6.44391,10.4139,-0.861008,1
65,23,6.50138,10.347,-0.851794,1
66,24,6.5594,10.2807,-0.843183,1
67,25,6.61794,10.215,-0.835236,1
68,26,6.67696,10.1498,-0.853587,1
69,27,6.73434,10.084,-0.81473,1
70,28,6.77627,10.0395,-0.809701,1
71,29,6.84069,9.97189,-0.807378,1
72,30,6.91642,9.89275,-0.805539,1
