x,y,yaw,dir
3.625,15.125,-1.03883,1
3.66898,15.0503,-1.03852,1
3.71298,14.9756,-1.03792,1
3.757,14.9009,-1.03705,1
3.80107,14.8264,-1.03594,1
3.84519,14.7519,-1.03464,1
3.88937,14.6775,-1.0332,1
3.93361,14.6033,-1.03166,1
3.97793,14.5293,-1.105,1
4.01868,14.4482,-1.0054,1
4.05058,14.3979,-0.98865,1
4.10062,14.3219,-0.980821,1
4.16,14.2332,-0.974506,1
4.21994,14.1449,-0.966431,1
4.27165,14.07,-0.948796,1
4.30635,14.0216,-0.867407,1
4.35948,13.959,-0.908472,1
4.40953,13.8948,-0.920148,1
4.45878,13.8301,-0.932796,1
4.50718,13.7648,-0.94631,1
4.55467,13.6989,-0.960581,1
4.60121,13.6323,-0.975493,1
4.64677,13.5651,-0.99092,1
4.69132,13.4971,-1.00674,1
4.73483,13.4283,-1.02282,1
4.77731,13.3587,-1.03905,1
4.81874,13.2882,-1.05529,1
4.85913,13.217,-1.07143,1
4.89849,13.1448,-1.08735,1
4.93683,13.0718,-1.10297,1
4.97418,12.9979,-1.11815,1
5.01055,12.9231,-1.13282,1
5.04598,12.8474,-1.14691,1
5.0805,12.7709,-1.1603,1
5.11416,12.6936,-1.17296,1
5.147,12.6154,-1.1848,1
5.17906,12.5365,-1.19577,1
5.21041,12.4569,-1.20581,1
5.24109,12.3766,-1.2986,1
5.26347,12.2964,-1.19632,1
5.28568,12.2399,-1.17468,1
5.32149,12.1543,-1.16478,1
5.36448,12.0543,-1.15703,1
5.40825,11.9546,-1.14743,1
5.44638,11.87,-1.12689,1
5.47246,11.8152,-1.00054,1
5.52223,11.7376,-1.04455,1
5.56819,11.6584,-1.03724,1
5.61462,11.5798,-1.02926,1
5.66157,11.5018,-1.02064,1
5.70907,11.4243,-1.01144,1
5.75717,11.3475,-1.00172,1
5.80589,11.2713,-0.991544,1
5.85525,11.1959,-0.980977,1
5.90529,11.1211,-0.970093,1
5.95602,11.0471,-0.958968,1
6.00744,10.9738,-0.947679,1
6.05958,10.9012,-0.936305,1
6.11243,10.8294,-0.924927,1
6.16598,10.7584,-0.913624,1
6.22023,10.6881,-0.902477,1
6.27517,10.6185,-0.891565,1
6.33078,10.5496,-0.880965,1
6.38704,10.4814,-0.870755,1
6.44391,10.4139,-0.861008,1
6.50138,10.347,-0.851794,1
6.5594,10.2807,-0.843183,1
6.61794,10.215,-0.835236,1
6.67696,10.1498,-0.853587,1
6.73434,10.084,-0.81473,1
6.77627,10.0395,-0.809701,1
6.84069,9.97189,-0.807378,1
6.91642,9.89275,-0.805539,1
6.9923,9.81375,-0.80323,1
7.05716,9.74654,-0.798252,1
7.09982,9.70277,-0.778296,1
7.16313,9.64035,-0.778426,1
7.22633,9.57802,-0.778754,1
7.28949,9.5157,-0.779102,1
7.3526,9.45337,-0.779466,1
7.41567,9.39105,-0.779842,1
7.47869,9.32873,-0.780224,1
7.54166,9.26641,-0.780608,1
7.60458,9.20409,-0.780989,1
7.66744,9.14177,-0.781361,1
7.73027,9.07946,-0.781721,1
7.79304,9.01715,-0.782064,1
7.85577,8.95483,-0.782386,1
7.91846,8.89252,-0.708549,1
8.0042,8.81904,-0.801669,1
8.06146,8.75989,-0.817214,1
8.14755,8.66814,-0.823385,1
8.24786,8.5599,-0.827054,1
8.34778,8.45129,-0.830123,1
8.43269,8.35842,-0.83455,1
8.48799,8.2974,2.10527,1
8.35721,8.51834,-1.21517,1
8.50616,8.1173,1.70163,1
8.46914,8.3986,-1.50088,1
8.49879,7.97521,1.17148,1
8.618,8.2577,-1.79943,1
8.52536,7.85959,0.716649,1
8.81014,8.10769,-2.04267,1
8.67601,7.84484,-0.158283,1
8.89781,7.80943,2.69169,1
8.76806,7.87209,-0.990305,1
8.98385,7.54307,1.27849,1
9.08567,7.88141,-1.51454,1
9.10558,7.52771,0.544388,1
9.48398,7.7568,-2.32016,1
9.29864,7.55759,-0.0429619,1
9.7476,7.53829,3.09475,1
9.46235,7.55166,-0.720565,1
9.77473,7.27737,2.56677,1
9.51684,7.44443,-1.37113,1
9.60585,7.00458,2.45977,1
9.42259,7.15334,-1.8405,1
9.39543,7.05511,-1.95238,1
9.33639,6.90797,-2.01324,1
9.25688,6.74014,-2.0756,1
9.16829,6.57981,-2.17627,1
9.08203,6.4552,-2.44478,1
9.00951,6.39451,-1.24337,1
9.12092,6.06651,-2.19198,1
8.8533,5.69258,-2.74785,1
8.34781,5.48258,-2.67654,1
8.05036,5.33333,1.06606,1
8.18192,5.57146,0.895772,1
8.625,6.12499,0.895772,1
