x,y,yaw,dir
3.625,15.125,-1.03002,1
3.66939,15.0511,-1.03005,1
3.71378,14.9772,-1.03011,1
3.75817,14.9032,-1.0302,1
3.80255,14.8293,-1.03031,1
3.84693,14.7553,-1.03046,1
3.8913,14.6814,-1.03062,1
3.93566,14.6074,-1.03079,1
3.98002,14.5334,-1.12595,1
4.01929,14.451,-1.1093,1
4.04601,14.3973,-1.10649,1
4.08707,14.3153,-1.10517,1
4.13534,14.2192,-1.10411,1
4.18372,14.1232,-1.10275,1
4.22508,14.0414,-1.09977,1
4.25231,13.9879,-1.08635,1
4.29043,13.9155,-1.00753,1
4.33385,13.8467,-1.01028,1
4.37715,13.7777,-1.01317,1
4.42032,13.7085,-1.01616,1
4.46336,13.639,-1.01921,1
4.50627,13.5693,-1.02229,1
4.54905,13.4993,-1.02535,1
4.59172,13.429,-1.02836,1
4.63426,13.3584,-1.03129,1
4.6767,13.2875,-1.03411,1
4.71905,13.2163,-1.0368,1
4.76131,13.1449,-1.03933,1
4.80351,13.0731,-1.04169,1
4.84564,13.001,-1.04385,1
4.88773,12.9287,-1.04581,1
4.92979,12.8561,-1.04753,1
4.97184,12.7832,-1.04901,1
5.01389,12.71,-1.05023,1
5.05596,12.6367,-1.05117,1
5.09808,12.563,-1.0518,1
5.14025,12.4892,-1.05212,1
5.18249,12.4152,-1.05209,1
5.22484,12.341,-1.0517,1
5.26732,12.2667,-1.05092,1
5.30994,12.1922,-1.04974,1
5.35274,12.1176,-1.04812,1
5.39575,12.043,-1.04607,1
5.43899,11.9683,-1.04357,1
5.48249,11.8936,-1.0406,1
5.52629,11.8188,-1.03718,1
5.57042,11.7442,-1.03329,1
5.6149,11.6695,-1.02896,1
5.65977,11.595,-1.02419,1
5.70506,11.5205,-1.01899,1
5.7508,11.4463,-1.0134,1
5.797,11.3721,-1.00743,1
5.8437,11.2982,-1.00111,1
5.89092,11.2245,-0.994459,1
5.93868,11.151,-0.987511,1
5.987,11.0778,-0.980291,1
6.03588,11.0048,-0.972827,1
6.08536,10.9322,-0.965144,1
6.13543,10.8599,-0.957268,1
6.1861,10.7879,-0.949227,1
6.23739,10.7163,-0.941045,1
6.28929,10.6451,-0.932747,1
6.34181,10.5743,-0.924361,1
6.39495,10.5039,-0.915911,1
6.44871,10.4339,-0.907425,1
6.50308,10.3643,-0.898929,1
6.55807,10.2951,-0.890449,1
6.61367,10.2264,-0.882014,1
6.66986,10.1582,-0.87365,1
6.72664,10.0904,-0.865384,1
6.784,10.023,-0.857241,1
6.84193,9.95611,-0.849246,1
6.90041,9.88964,-0.841423,1
6.95943,9.8236,-0.833795,1
7.01898,9.758,-0.826381,1
7.07902,9.69282,-0.8192,1
7.13956,9.62805,-0.812272,1
7.20056,9.56367,-0.80561,1
7.26201,9.49969,-0.79923,1
7.32389,9.43608,-0.793144,1
7.38617,9.37282,-0.787365,1
7.44883,9.30991,-0.781902,1
7.51186,9.24732,-0.776766,1
7.57523,9.18504,-0.771964,1
7.6389,9.12305,-0.767504,1
7.70288,9.06133,-0.763392,1
7.76711,8.99986,-0.759636,1
7.8316,8.93861,-0.756241,1
7.8963,8.87758,-0.91448,1
7.94478,8.81464,-0.712121,1
7.99148,8.77432,-0.87579,1
8.05333,8.70015,-0.952056,1
8.11947,8.60726,-1.01748,1
8.17905,8.51079,-1.10966,1
8.22123,8.4259,-1.33574,1
8.23517,8.3677,0.0839061,1
8.59833,8.39825,-2.43894,1
8.33436,8.17471,0.237867,1
8.69793,8.26286,-2.31503,1
8.46861,8.01384,0.450332,1
8.82278,8.18507,-2.16149,1
8.65908,7.94094,0.689384,1
9.00251,8.22403,-1.89297,1
8.92593,7.99461,0.872817,1
9.23728,8.36578,-1.5226,1
9.24966,8.10917,0.999227,1
9.48943,8.48195,-1.33274,1
9.57528,8.12814,1.15747,1
9.69805,8.40807,-1.29722,1
9.83137,7.93296,1.77084,1
9.79947,8.09028,-1.29565,1
9.95015,7.55654,2.77942,1
9.74809,7.6331,-1.26675,1
9.90128,7.14489,3.01013,1
9.55758,7.19034,-1.12919,1
9.73341,6.81839,3.07809,1
9.32319,6.84448,-0.7909,1
9.56029,6.60476,-3.12779,1
9.15782,6.5992,-0.375277,1
9.46242,6.47921,-3.01988,1
9.08098,6.43255,-0.0702448,1
9.3944,6.4105,-2.92669,1
8.97713,6.31942,0.17153,1
9.23148,6.36348,-2.84667,1
8.80323,6.23339,0.316781,1
9.04661,6.31317,-2.76799,1
8.61215,6.14286,0.342767,1
8.86028,6.2314,-2.71685,1
8.625,6.12499,-2.71685,1
