x,y,yaw,dir
3.625,15.125,-1.02936,1
3.675,15.0419,-1.02936,1
3.725,14.9587,-1.02936,1
3.775,14.8756,-1.20944,1
3.80642,14.7924,-1.20944,1
3.83785,14.7093,-1.20944,1
3.86927,14.6262,-1.16986,1
3.90451,14.543,-1.16986,1
3.93976,14.4599,-1.16986,1
3.975,14.3767,-0.922431,1
4.02224,14.3144,-0.922431,1
4.06948,14.252,-0.922431,1
4.11672,14.1897,-0.922431,1
4.16396,14.1273,-0.830989,1
4.22088,14.065,-0.830989,1
4.27779,14.0026,-0.830989,1
4.3347,13.9403,-0.830989,1
4.39161,13.8779,-0.810371,1
4.45093,13.8155,-0.810371,1
4.51024,13.7532,-0.810371,1
4.56956,13.6908,-0.810371,1
4.62887,13.6285,-0.844312,1
4.68428,13.5661,-0.844312,1
4.73968,13.5038,-0.844312,1
4.79509,13.4414,-0.844312,1
4.8505,13.3791,-0.960274,1
4.89412,13.3167,-0.960274,1
4.93775,13.2544,-0.960274,1
4.98138,13.192,-0.960274,1
5.025,13.1297,-1.27115,1
5.05069,13.0465,-1.27115,1
5.07637,12.9634,-1.27115,1
5.10205,12.8803,-1.43413,1
5.11349,12.7972,-1.43413,1
5.12492,12.714,-1.43413,1
5.13635,12.6309,-1.45448,1
5.14606,12.5478,-1.45448,1
5.15578,12.4646,-1.45448,1
5.16549,12.3815,-1.33651,1
5.18533,12.2984,-1.33651,1
5.20517,12.2152,-1.33651,1
5.22501,12.1321,-1.06663,1
5.27087,12.049,-1.06663,1
5.31674,11.9659,-1.06663,1
5.3626,11.8827,-0.993594,1
5.41673,11.7996,-0.993594,1
5.47085,11.7165,-0.993594,1
5.52498,11.6334,-1.04763,1
5.57292,11.5503,-1.04763,1
5.62086,11.4671,-1.04763,1
5.6688,11.384,-1.04762,1
5.71675,11.3009,-1.04762,1
5.76469,11.2178,-1.04762,1
5.81263,11.1347,-0.993562,1
5.86675,11.0515,-0.993562,1
5.92088,10.9684,-0.993562,1
5.97501,10.8853,-0.878108,1
6.02674,10.823,-0.878108,1
6.07847,10.7606,-0.878108,1
6.1302,10.6983,-0.878108,1
6.18193,10.636,-0.824004,1
6.23963,10.5736,-0.824004,1
6.29732,10.5113,-0.824004,1
6.35502,10.449,-0.824004,1
6.41272,10.3866,-0.797142,1
6.47361,10.3243,-0.797142,1
6.53449,10.262,-0.797142,1
6.59538,10.1996,-0.797142,1
6.65626,10.1373,-0.7835,1
6.71883,10.075,-0.7835,1
6.7814,10.0126,-0.7835,1
6.84396,9.95032,-0.7835,1
6.90653,9.88799,-0.776733,1
6.96995,9.82566,-0.776733,1
7.03337,9.76333,-0.776733,1
7.09679,9.701,-0.776733,1
7.1602,9.63867,-0.773893,1
7.22398,9.57635,-0.773893,1
7.28776,9.51402,-0.773893,1
7.35153,9.4517,-0.773893,1
7.41531,9.38937,-0.773779,1
7.47909,9.32705,-0.773779,1
7.54288,9.26473,-0.773779,1
7.60666,9.20241,-0.773779,1
7.67045,9.14009,-0.776349,1
7.7339,9.07778,-0.776349,1
7.79735,9.01547,-0.776349,1
7.8608,8.95316,-0.776349,1
7.92424,8.89085,-0.78269,1
7.98688,8.82855,-0.78269,1
8.04951,8.76626,-0.78269,1
8.11215,8.70396,-0.78269,1
8.17478,8.64167,-0.79557,1
8.23579,8.5794,-0.79557,1
8.29681,8.51713,-0.79557,1
8.35782,8.45487,-0.79557,1
8.41883,8.3926,-0.820972,1
8.47677,8.33039,-0.820972,1
8.5347,8.26817,-0.820972,1
8.59264,8.20596,-0.820972,1
8.65058,8.14375,-0.872118,1
8.70276,8.08163,-0.872118,1
8.75493,8.01952,-0.872118,1
8.80711,7.95741,-0.872118,1
8.85929,7.8953,-0.981188,1
8.91453,7.81273,-0.981188,1
8.96976,7.73016,-0.981188,1
9.025,7.64759,-1.23645,1
9.05352,7.56548,-1.23645,1
9.08205,7.48337,-1.23645,1
9.11057,7.40127,-1.41877,1
9.12302,7.32002,-1.41877,1
9.13546,7.23878,-1.41877,1
9.14791,7.15754,-1.56351,1
9.14849,7.0779,-1.56351,1
9.14907,6.99827,-1.56351,1
9.14965,6.91864,-1.7239,1
9.13783,6.84201,-1.7239,1
9.126,6.76538,-1.7239,1
9.11418,6.68875,-1.96716,1
9.08445,6.61771,-1.96716,1
9.05472,6.54667,-1.96716,1
9.02499,6.47563,-2.35359,1
8.96469,6.41502,-2.35359,1
8.90439,6.35441,-2.35359,1
8.8441,6.2938,-2.48514,1
8.77107,6.23753,-2.48514,1
8.69803,6.18126,-2.48514,1
8.625,6.125,-2.48514,1
