x,y,yaw,dir
3.625,15.125,-1.00493,1
3.67021,15.0538,-1.00529,1
3.7154,14.9826,-1.00601,1
3.76054,14.9114,-1.00709,1
3.80559,14.8401,-1.00852,1
3.85055,14.7688,-1.01028,1
3.89538,14.6973,-1.01237,1
3.94006,14.6258,-1.01477,1
3.98457,14.5542,-1.01746,1
4.02888,14.4825,-1.02041,1
4.07298,14.4106,-1.0236,1
4.11686,14.3386,-1.027,1
4.16048,14.2664,-1.03057,1
4.20385,14.1941,-1.03429,1
4.24696,14.1216,-1.03811,1
4.28979,14.049,-1.04199,1
4.33234,13.9762,-1.04589,1
4.37461,13.9031,-1.04977,1
4.41661,13.83,-1.0536,1
4.45835,13.7566,-1.05732,1
4.49982,13.6831,-1.06091,1
4.54105,13.6093,-1.06432,1
4.58205,13.5354,-1.06753,1
4.62284,13.4613,-1.0705,1
4.66343,13.3871,-1.07322,1
4.70385,13.3127,-1.07565,1
4.74412,13.2381,-1.07779,1
4.78427,13.1634,-1.07961,1
4.82432,13.0885,-1.08111,1
4.8643,13.0135,-1.08227,1
4.90423,12.9383,-1.08309,1
4.94415,12.8631,-1.08357,1
4.98407,12.7877,-1.08368,1
5.02403,12.7123,-1.08344,1
5.06406,12.6368,-1.08282,1
5.10418,12.5612,-1.08183,1
5.14442,12.4856,-1.08044,1
5.18481,12.4099,-1.07865,1
5.22539,12.3342,-1.07645,1
5.26618,12.2585,-1.07383,1
5.30721,12.1829,-1.07077,1
5.34851,12.1073,-1.06728,1
5.39013,12.0317,-1.06334,1
5.43209,11.9563,-1.05895,1
5.47443,11.8809,-1.05412,1
5.51717,11.8057,-1.04884,1
5.56036,11.7306,-1.04315,1
5.60401,11.6557,-1.03704,1
5.64818,11.581,-1.03054,1
5.69287,11.5064,-1.02368,1
5.73812,11.4321,-1.01648,1
5.78396,11.3581,-1.00897,1
5.8304,11.2843,-1.00118,1
5.87747,11.2108,-0.993142,1
5.92517,11.1377,-0.984886,1
5.97353,11.0648,-0.976443,1
6.02256,10.9923,-0.967842,1
6.07225,10.9201,-0.959113,1
6.12263,10.8483,-0.950281,1
6.17368,10.7768,-0.941373,1
6.22542,10.7058,-0.932415,1
6.27784,10.6351,-0.923432,1
6.33094,10.5649,-0.914447,1
6.38471,10.4951,-0.905486,1
6.43915,10.4257,-0.896572,1
6.49424,10.3568,-0.88773,1
6.54999,10.2883,-0.878984,1
6.60636,10.2202,-0.870358,1
6.66336,10.1526,-0.861874,1
6.72096,10.0854,-0.853557,1
6.77916,10.0187,-0.845428,1
6.83793,9.95242,-0.837509,1
6.89726,9.88657,-0.829819,1
6.95712,9.82114,-0.822377,1
7.01749,9.75612,-0.815199,1
7.07836,9.69151,-0.808302,1
7.1397,9.62729,-0.8017,1
7.2015,9.56345,-0.795406,1
7.26371,9.49998,-0.78943,1
7.32633,9.43686,-0.783784,1
7.38933,9.37406,-0.778476,1
7.45267,9.31159,-0.773514,1
7.51635,9.2494,-0.768907,1
7.58033,9.1875,-0.764661,1
7.64459,9.12585,-0.760781,1
7.7091,9.06444,-0.757274,1
7.77384,9.00325,-0.707435,1
7.84363,8.94357,-0.665947,1
7.89969,8.89952,-0.662274,1
7.9856,8.83254,-0.660607,1
8.08647,8.75415,-0.659323,1
8.18745,8.67589,-0.657754,1
8.27366,8.60929,-0.654435,1
8.33022,8.5659,-0.659819,1
8.41755,8.49814,-0.74961,1
8.4888,8.43182,-0.768613,1
8.55787,8.36503,-0.790006,1
8.62455,8.29773,-0.813889,1
8.68862,8.22991,-0.84037,1
8.74985,8.16154,-0.869571,1
8.80806,8.09261,-0.90162,1
8.86304,8.0231,-0.936647,1
8.91459,7.953,-0.974781,1
8.96254,7.88231,-1.01614,1
9.00671,7.81102,-1.0608,1
9.04692,7.73913,-1.10884,1
9.08301,7.66664,-1.16024,1
9.11483,7.59354,-1.21492,1
9.14223,7.51984,-1.27274,1
9.16505,7.44554,-1.33343,1
9.18318,7.37062,-1.39617,1
9.19646,7.29531,-1.46099,1
9.20479,7.21979,-1.52789,1
9.20803,7.14427,-1.59681,1
9.20607,7.06895,-1.66764,1
9.19879,6.99404,-1.74019,1
9.18609,6.91974,-1.81422,1
9.16784,6.84626,-1.88942,1
9.14394,6.7738,-1.9654,1
9.11428,6.70258,-2.04174,1
9.07875,6.6328,-2.11797,1
9.03724,6.56467,-2.19361,1
8.98965,6.4984,-2.25553,1
8.93684,6.43372,-2.30487,1
8.87969,6.37038,-2.34278,1
8.81906,6.3081,-2.37028,1
8.75582,6.24662,-2.38817,1
8.69084,6.18567,-2.39698,1
8.625,6.12499,-2.39698,1
