x,y,yaw,dir
3.625,15.125,-1.01381,1
3.66949,15.0536,-1.01411,1
3.71397,14.9821,-1.01472,1
3.7584,14.9106,-1.01563,1
3.80278,14.8391,-1.01683,1
3.84707,14.7675,-1.01832,1
3.89126,14.6958,-1.02008,1
3.93533,14.624,-1.02209,1
3.97926,14.5521,-1.02435,1
4.02304,14.4802,-1.02683,1
4.06664,14.4081,-1.0295,1
4.11007,14.3358,-1.03234,1
4.1533,14.2635,-1.03533,1
4.19632,14.191,-1.03842,1
4.23913,14.1183,-1.04159,1
4.28172,14.0455,-1.0448,1
4.3241,13.9725,-1.04802,1
4.36625,13.8993,-1.0512,1
4.40819,13.826,-1.05432,1
4.44992,13.7525,-1.05733,1
4.49145,13.6789,-1.06021,1
4.5328,13.6051,-1.06293,1
4.57397,13.5311,-1.06546,1
4.61498,13.457,-1.06777,1
4.65585,13.3827,-1.06984,1
4.6966,13.3083,-1.07167,1
4.73725,13.2337,-1.07323,1
4.77782,13.159,-1.07451,1
4.81833,13.0842,-1.07551,1
4.8588,13.0093,-1.07622,1
4.89926,12.9342,-1.07664,1
4.93974,12.8591,-1.07675,1
4.98024,12.7839,-1.07656,1
5.0208,12.7086,-1.07607,1
5.06144,12.6333,-1.07525,1
5.10218,12.5579,-1.07411,1
5.14305,12.4825,-1.07263,1
5.18407,12.4071,-1.0708,1
5.22526,12.3317,-1.06861,1
5.26666,12.2563,-1.06605,1
5.3083,12.181,-1.0631,1
5.35019,12.1057,-1.05975,1
5.39237,12.0304,-1.056,1
5.43486,11.9553,-1.05185,1
5.47771,11.8803,-1.04728,1
5.52093,11.8054,-1.0423,1
5.56457,11.7307,-1.03692,1
5.60864,11.6561,-1.03116,1
5.65318,11.5818,-1.02501,1
5.69821,11.5076,-1.01852,1
5.74377,11.4337,-1.01169,1
5.78987,11.36,-1.00456,1
5.83654,11.2866,-0.997144,1
5.8838,11.2135,-0.989474,1
5.93166,11.1406,-0.981574,1
5.98014,11.0681,-0.973474,1
6.02926,10.9959,-0.965197,1
6.07902,10.924,-0.95677,1
6.12943,10.8525,-0.948217,1
6.18049,10.7814,-0.939563,1
6.23222,10.7106,-0.930831,1
6.28461,10.6402,-0.922044,1
6.33767,10.5702,-0.913227,1
6.39139,10.5007,-0.904405,1
6.44577,10.4315,-0.895601,1
6.5008,10.3628,-0.886841,1
6.55648,10.2945,-0.878151,1
6.6128,10.2266,-0.869557,1
6.66975,10.1592,-0.861086,1
6.72732,10.0922,-0.852762,1
6.78549,10.0256,-0.844612,1
6.84425,9.95943,-0.836662,1
6.90358,9.89367,-0.828934,1
6.96347,9.82833,-0.821453,1
7.0239,9.76338,-0.81424,1
7.08484,9.69881,-0.807316,1
7.14628,9.63462,-0.800701,1
7.20819,9.57079,-0.794412,1
7.27054,9.5073,-0.788467,1
7.33332,9.44414,-0.78288,1
7.39649,9.38128,-0.777668,1
7.46003,9.31871,-0.772841,1
7.52392,9.25642,-0.768414,1
7.58811,9.19437,-0.764397,1
7.65259,9.13254,-0.931394,1
7.6998,9.06906,-0.679552,1
7.74708,9.03086,-0.812413,1
7.81214,8.96218,-0.878417,1
7.88316,8.87655,-0.939259,1
7.94831,8.78748,-1.02973,1
7.99578,8.70849,-1.25743,1
8.01372,8.65311,0.0487801,1
8.40545,8.67223,-2.5643,1
8.14207,8.50069,0.124394,1
8.53287,8.54955,-2.47962,1
8.27142,8.34581,0.189689,1
8.64262,8.41708,-2.40463,1
8.38635,8.18451,0.272823,1
8.7414,8.28385,-2.34683,1
8.50068,8.03858,0.37574,1
8.85314,8.17762,-2.29955,1
8.64179,7.94086,0.462073,1
9.00881,8.12365,-2.24153,1
8.83344,7.90263,0.486405,1
9.22254,8.10837,-2.17187,1
9.06919,7.88474,0.434032,1
9.46631,8.06881,-2.15682,1
9.29593,7.81215,0.310168,1
9.66774,7.93132,-2.2318,1
9.43307,7.62957,0.127268,1
9.75113,7.67027,-2.35501,1
9.43003,7.3484,-0.0623723,1
9.70018,7.33153,-2.49149,1
9.31623,7.03958,-0.156846,1
9.57967,6.99792,-2.63682,1
9.18396,6.77929,-0.163422,1
9.48119,6.73028,-2.80513,1
9.10938,6.60024,-0.177527,1
9.44297,6.54039,-3.00133,1
9.09013,6.49057,-0.239567,1
9.42058,6.40986,3.10655,1
9.05298,6.42274,-0.380548,1
9.31666,6.31725,3.00911,1
8.89681,6.37321,-0.51737,1
9.13244,6.23911,2.96103,1
8.70715,6.31675,-0.574822,1
8.96668,6.14863,2.94758,1
8.55159,6.23018,-0.961512,1
8.625,6.12499,-0.961512,1
