x,y,yaw,dir
3.625,15.125,-1.02862,1
3.6766,15.0393,-1.02862,1
3.7282,14.9537,-1.0448,1
3.77834,14.8673,-1.20956,1
3.81368,14.7738,-1.20956,1
3.84903,14.6802,-1.19282,1
3.88592,14.5873,-1.17016,1
3.92492,14.4952,-1.17016,1
3.96392,14.4031,-0.992061,1
4.01828,14.3199,-0.9223,1
4.07868,14.2402,-0.9223,1
4.13908,14.1605,-0.868284,1
4.20363,14.0843,-0.830723,1
4.27106,14.0105,-0.830723,1
4.33849,13.9366,-0.826304,1
4.40625,13.8631,-0.810055,1
4.4752,13.7906,-0.810055,1
4.54414,13.7182,-0.810055,1
4.61309,13.6458,-0.836245,1
4.68011,13.5716,-0.843974,1
4.74656,13.4968,-0.843974,1
4.81301,13.4221,-0.894545,1
4.87549,13.3442,-0.959932,1
4.93285,13.2623,-0.959932,1
4.99021,13.1804,-1.08184,1
5.03664,13.0932,-1.27087,1
5.06618,12.9976,-1.27087,1
5.09573,12.9021,-1.39872,1
5.11281,12.8038,-1.43396,1
5.12645,12.7047,-1.43942,1
5.13955,12.6056,-1.45441,1
5.15116,12.5063,-1.45441,1
5.16278,12.4069,-1.3652,1
5.18317,12.3092,-1.3366,1
5.20637,12.2119,-1.28457,1
5.23445,12.1165,-1.06691,1
5.28273,12.0289,-1.06691,1
5.33101,11.9414,-1.04152,1
5.38147,11.8551,-0.993778,1
5.43602,11.7713,-0.993778,1
5.49058,11.6875,-1.01375,1
5.54343,11.6026,-1.04739,1
5.59341,11.516,-1.04739,1
5.64339,11.4294,-1.0473,1
5.69338,11.3428,-1.0472,1
5.74338,11.2562,-1.0472,1
5.79338,11.1696,-1.01395,1
5.84622,11.0847,-0.993172,1
5.90082,11.0009,-0.993172,1
5.95542,10.9172,-0.919461,1
6.01596,10.8378,-0.877926,1
6.07983,10.7608,-0.877926,1
6.1437,10.6839,-0.856374,1
6.2092,10.6084,-0.823922,1
6.27713,10.535,-0.823922,1
6.34507,10.4616,-0.823882,1
6.41301,10.3882,-0.797118,1
6.48288,10.3167,-0.797118,1
6.55276,10.2452,-0.797118,1
6.62264,10.1736,-0.790097,1
6.69301,10.1026,-0.783515,1
6.76386,10.032,-0.783515,1
6.8347,9.96142,-0.783515,1
6.90555,9.89084,-0.77689,1
6.97686,9.82074,-0.776779,1
7.04817,9.75064,-0.776779,1
7.11949,9.68054,-0.775577,1
7.19089,9.61053,-0.773963,1
7.26241,9.54063,-0.773963,1
7.33392,9.47073,-0.773963,1
7.40544,9.40083,-0.773885,1
7.47696,9.33094,-0.773872,1
7.54848,9.26105,-0.773872,1
7.62,9.19116,-0.774629,1
7.69147,9.12122,-0.776462,1
7.76281,9.05114,-0.776462,1
7.83415,8.98106,-0.776462,1
7.90549,8.91099,-0.781138,1
7.9765,8.84058,-0.782823,1
8.04739,8.77005,-0.782823,1
8.11828,8.69952,-0.78542,1
8.18899,8.62881,-0.795723,1
8.25897,8.55737,-0.795723,1
8.32894,8.48594,-0.795723,1
8.39892,8.4145,-0.813875,1
8.46758,8.34181,-0.821147,1
8.53572,8.26862,-0.821147,1
8.60386,8.19542,-0.837168,1
8.6708,8.12117,-0.872321,1
8.7351,8.04459,-0.872321,1
8.79941,7.96801,-0.879714,1
8.86312,7.89098,-0.981428,1
8.91871,7.80785,-0.981428,1
8.97429,7.72472,-1.00347,1
9.02789,7.6406,-1.23673,1
9.06068,7.54613,-1.23673,1
9.09347,7.45166,-1.324,1
9.1178,7.35509,-1.41903,1
9.13291,7.25624,-1.42077,1
9.14786,7.15738,-1.5637,1
9.14857,7.05738,-1.5637,1
9.14928,6.95738,-1.66338,1
9.14006,6.85811,-1.72393,1
9.12481,6.75928,-1.79519,1
9.10269,6.66238,-1.96684,1
9.06411,6.57012,-1.96684,1
9.02554,6.47787,-2.34596,1
8.95564,6.40653,-2.35267,1
8.88518,6.33557,-2.40728,1
8.81111,6.2687,-2.48406,1
8.73196,6.20758,-2.48406,1
8.65281,6.14647,-2.48406,1
8.625,6.12499,-2.48406,1
