x,y,yaw,dir
3.625,15.125,-0.996745,1
3.679,15.0415,-0.996241,1
3.73304,14.958,-0.995317,1
3.78714,14.8746,-0.994156,1
3.84131,14.7913,-0.99297,1
3.89556,14.7082,-0.992017,1
3.94984,14.6251,-0.991542,1
4.00411,14.5421,-0.991753,1
4.05831,14.4592,-0.992793,1
4.11236,14.3764,-0.994767,1
4.16617,14.2935,-0.997706,1
4.21967,14.2106,-1.00158,1
4.27276,14.1276,-1.00635,1
4.32536,14.0446,-1.01193,1
4.37741,13.9613,-1.01821,1
4.42885,13.8779,-1.02508,1
4.47961,13.7943,-1.03243,1
4.52968,13.7105,-1.04013,1
4.57901,13.6264,-1.04805,1
4.62761,13.5421,-1.05604,1
4.67546,13.4575,-1.06399,1
4.7226,13.3726,-1.07178,1
4.76904,13.2874,-1.07936,1
4.81481,13.2018,-1.08669,1
4.85997,13.116,-1.09379,1
4.90452,13.0297,-1.10073,1
4.94851,12.9432,-1.10755,1
4.99195,12.8562,-1.11432,1
5.03485,12.7688,-1.12105,1
5.07722,12.6811,-1.12768,1
5.11906,12.5929,-1.13406,1
5.1604,12.5044,-1.13993,1
5.20127,12.4154,-1.14494,1
5.24175,12.3262,-1.14871,1
5.28193,12.2367,-1.1508,1
5.32197,12.1471,-1.15081,1
5.36203,12.0574,-1.1484,1
5.40233,11.9677,-1.14334,1
5.44309,11.8782,-1.13553,1
5.48455,11.789,-1.12503,1
5.52696,11.7003,-1.11202,1
5.57051,11.6121,-1.09683,1
5.6154,11.5246,-1.07985,1
5.66177,11.4379,-1.06153,1
5.70975,11.352,-1.04233,1
5.75939,11.2669,-1.02269,1
5.81074,11.1828,-1.00295,1
5.86379,11.0997,-0.983437,1
5.91852,11.0175,-0.964361,1
5.97488,10.9362,-0.945876,1
6.03282,10.8559,-0.928089,1
6.09226,10.7765,-0.911064,1
6.15315,10.698,-0.894845,1
6.2154,10.6204,-0.879471,1
6.27893,10.5436,-0.864985,1
6.34367,10.4677,-0.851433,1
6.40952,10.3925,-0.838861,1
6.4764,10.318,-0.827321,1
6.54421,10.2443,-0.816853,1
6.61285,10.1712,-0.807484,1
6.68224,10.0987,-0.799224,1
6.75226,10.0267,-0.792061,1
6.82283,9.95516,-0.785964,1
6.89385,9.88406,-0.780881,1
6.96524,9.81332,-0.776744,1
7.03691,9.74288,-0.77347,1
7.1088,9.67268,-0.77097,1
7.18084,9.60269,-0.769148,1
7.25298,9.53286,-0.767908,1
7.32517,9.46315,-0.767153,1
7.39738,9.39353,-0.766791,1
7.46957,9.32397,-0.766737,1
7.54174,9.25445,-0.766909,1
7.61386,9.18495,-0.72575,1
7.69075,9.11672,-0.670462,1
7.77561,9.04943,-0.582596,1
7.84673,9.00257,-0.57371,1
7.97961,8.9167,-0.570249,1
8.11278,8.83129,-0.563315,1
8.1848,8.78581,-0.520716,1
8.30017,8.71964,-0.517142,1
8.4183,8.65245,-0.679183,1
8.50686,8.58096,-0.710122,1
8.59161,8.5081,-0.744959,1
8.67221,8.43376,-0.783768,1
8.74834,8.35788,-0.826664,1
8.81967,8.2804,-0.873679,1
8.88592,8.20129,-0.924806,1
8.94683,8.1205,-0.979959,1
9.00214,8.03804,-1.03893,1
9.05166,7.95389,-1.10132,1
9.09521,7.86805,-1.16662,1
9.13266,7.78048,-1.23406,1
9.16392,7.69119,-1.30274,1
9.18892,7.60014,-1.37165,1
9.20766,7.5073,-1.43973,1
9.22014,7.41264,-1.50624,1
9.22638,7.31611,-1.57032,1
9.22643,7.21852,-1.63303,1
9.22033,7.12065,-1.69545,1
9.20813,7.0233,-1.75862,1
9.18988,6.92728,-1.82386,1
9.1656,6.83338,-1.89239,1
9.13529,6.74242,-1.96543,1
9.09897,6.6552,-2.04428,1
9.05661,6.57253,-2.13021,1
9.0082,6.49521,-2.22426,1
8.9537,6.42404,-2.30465,1
8.89414,6.358,-2.36958,1
8.83052,6.29606,-2.41827,1
8.76385,6.23719,-2.45326,1
8.69498,6.18054,-2.47067,1
8.625,6.12499,-2.47067,1
