x,y,yaw,dir
3.625,15.125,-1.02936,1
3.67654,15.0393,-1.02936,1
3.72807,14.9536,-1.04541,1
3.77816,14.8672,-1.20944,1
3.81352,14.7737,-1.20944,1
3.84887,14.6801,-1.19269,1
3.88578,14.5872,-1.16986,1
3.92481,14.4951,-1.16986,1
3.96384,14.4031,-0.99297,1
4.01812,14.3198,-0.922431,1
4.0785,14.2401,-0.922431,1
4.13889,14.1604,-0.868948,1
4.20339,14.0841,-0.830989,1
4.27081,14.0103,-0.830989,1
4.33822,13.9364,-0.826702,1
4.40595,13.8628,-0.810371,1
4.47487,13.7904,-0.810371,1
4.54379,13.7179,-0.810371,1
4.61272,13.6455,-0.836358,1
4.67973,13.5713,-0.844312,1
4.74615,13.4965,-0.844312,1
4.81258,13.4218,-0.894066,1
4.8751,13.3439,-0.960274,1
4.93243,13.262,-0.960274,1
4.98976,13.1801,-1.07975,1
5.03637,13.0929,-1.27115,1
5.06589,12.9973,-1.27115,1
5.09541,12.9018,-1.39752,1
5.11261,12.8035,-1.43413,1
5.12624,12.7044,-1.43937,1
5.13934,12.6053,-1.45448,1
5.15095,12.506,-1.45448,1
5.16255,12.4067,-1.36636,1
5.18283,12.3089,-1.33651,1
5.20604,12.2116,-1.28747,1
5.23384,12.1161,-1.06663,1
5.28215,12.0286,-1.06663,1
5.33046,11.941,-1.04219,1
5.38086,11.8547,-0.993594,1
5.43543,11.7709,-0.993594,1
5.49,11.6871,-1.01299,1
5.54291,11.6023,-1.04763,1
5.59288,11.5157,-1.04763,1
5.64284,11.429,-1.04763,1
5.6928,11.3424,-1.04762,1
5.74276,11.2558,-1.04762,1
5.79273,11.1692,-1.01509,1
5.84546,11.0842,-0.993562,1
5.90003,11.0004,-0.993562,1
5.95461,10.9166,-0.921261,1
6.01499,10.8371,-0.878108,1
6.07885,10.7602,-0.878108,1
6.14271,10.6832,-0.857229,1
6.20815,10.6077,-0.824004,1
6.27607,10.5343,-0.824004,1
6.344,10.4609,-0.824004,1
6.41193,10.3875,-0.797454,1
6.48178,10.3159,-0.797142,1
6.55166,10.2444,-0.797142,1
6.62154,10.1729,-0.790279,1
6.6919,10.1018,-0.7835,1
6.76274,10.0312,-0.7835,1
6.83359,9.96065,-0.7835,1
6.90443,9.89008,-0.776934,1
6.97574,9.81997,-0.776733,1
7.04706,9.74987,-0.776733,1
7.11838,9.67978,-0.775558,1
7.18978,9.60977,-0.773893,1
7.2613,9.53987,-0.773893,1
7.33282,9.46998,-0.773893,1
7.40434,9.40009,-0.773797,1
7.47587,9.3302,-0.773779,1
7.5474,9.26032,-0.773779,1
7.61892,9.19044,-0.774498,1
7.6904,9.1205,-0.776349,1
7.76175,9.05043,-0.776349,1
7.8331,8.98036,-0.776349,1
7.90444,8.9103,-0.78093,1
7.97547,8.8399,-0.78269,1
8.04637,8.76938,-0.78269,1
8.11727,8.69886,-0.785123,1
8.188,8.62817,-0.79557,1
8.25799,8.55675,-0.79557,1
8.32798,8.48532,-0.79557,1
8.39797,8.41389,-0.813399,1
8.46666,8.34124,-0.820972,1
8.53482,8.26806,-0.820972,1
8.60297,8.19488,-0.836384,1
8.66996,8.12067,-0.872118,1
8.73428,8.0441,-0.872118,1
8.7986,7.96753,-0.878275,1
8.86243,7.8906,-0.981188,1
8.91804,7.80748,-0.981188,1
8.97364,7.72436,-1.00049,1
9.0275,7.64038,-1.23645,1
9.06032,7.54592,-1.23645,1
9.09314,7.45146,-1.32188,1
9.11767,7.35494,-1.41877,1
9.13281,7.25609,-1.4192,1
9.14791,7.15724,-1.56351,1
9.14864,7.05725,-1.56351,1
9.14937,6.95725,-1.66201,1
9.14029,6.85797,-1.7239,1
9.12504,6.75914,-1.79369,1
9.10307,6.6622,-1.96716,1
9.06446,6.56995,-1.96716,1
9.02586,6.47771,-2.34511,1
8.95605,6.40633,-2.35359,1
8.88552,6.33544,-2.40786,1
8.81141,6.26861,-2.48514,1
8.73219,6.20758,-2.48514,1
8.65298,6.14655,-2.48514,1
8.625,6.125,-2.48514,1
