x,y,yaw,dir
3.625,15.125,-0.99781,1
3.67892,15.0414,-0.997273,1
3.73287,14.9579,-0.996288,1
3.78689,14.8745,-0.995035,1
3.84099,14.7911,-0.993732,1
3.89517,14.7079,-0.99264,1
3.9494,14.6248,-0.992008,1
4.00364,14.5418,-0.992048,1
4.05782,14.4589,-0.992911,1
4.11186,14.376,-0.994708,1
4.16569,14.2931,-0.997475,1
4.21921,14.2102,-1.00119,1
4.27233,14.1273,-1.00582,1
4.32499,14.0442,-1.01128,1
4.37709,13.961,-1.01747,1
4.42859,13.8776,-1.02428,1
4.47943,13.7941,-1.03161,1
4.52957,13.7103,-1.03932,1
4.57897,13.6262,-1.04728,1
4.62763,13.5419,-1.05535,1
4.67554,13.4574,-1.0634,1
4.72272,13.3725,-1.07133,1
4.7692,13.2873,-1.07905,1
4.815,13.2018,-1.08654,1
4.86016,13.116,-1.09382,1
4.90471,13.0298,-1.10093,1
4.94868,12.9432,-1.10791,1
4.99208,12.8562,-1.11485,1
5.03494,12.7688,-1.12172,1
5.07724,12.681,-1.12848,1
5.11901,12.5928,-1.13496,1
5.16027,12.5042,-1.14092,1
5.20105,12.4153,-1.146,1
5.24144,12.326,-1.14981,1
5.28153,12.2365,-1.15193,1
5.32146,12.1468,-1.15193,1
5.36143,12.057,-1.1495,1
5.40163,11.9673,-1.14439,1
5.4423,11.8778,-1.13652,1
5.48368,11.7885,-1.12594,1
5.52601,11.6998,-1.11284,1
5.56949,11.6115,-1.09754,1
5.61432,11.524,-1.08045,1
5.66065,11.4372,-1.06202,1
5.70859,11.3513,-1.0427,1
5.75821,11.2662,-1.02294,1
5.80954,11.1821,-1.0031,1
5.86258,11.0989,-0.983487,1
5.91731,11.0167,-0.964328,1
5.97368,10.9354,-0.945773,1
6.03163,10.8551,-0.92793,1
6.0911,10.7757,-0.910864,1
6.15201,10.6972,-0.894617,1
6.21428,10.6196,-0.879227,1
6.27784,10.5428,-0.864736,1
6.3426,10.4669,-0.851187,1
6.40848,10.3917,-0.838626,1
6.47538,10.3173,-0.827102,1
6.54321,10.2436,-0.816653,1
6.61187,10.1705,-0.807306,1
6.68127,10.098,-0.79907,1
6.7513,10.026,-0.791932,1
6.82188,9.95447,-0.785859,1
6.89291,9.88338,-0.780799,1
6.9643,9.81264,-0.776682,1
7.03597,9.74221,-0.773428,1
7.10786,9.67202,-0.770945,1
7.1799,9.60203,-0.769137,1
7.25203,9.53221,-0.767908,1
7.32422,9.4625,-0.767161,1
7.39642,9.39288,-0.766806,1
7.46862,9.32333,-0.766756,1
7.54078,9.25381,-0.76693,1
7.61289,9.18431,-0.726291,1
7.68963,9.11615,-0.671325,1
7.77406,9.04908,-0.579313,1
7.87488,8.98312,-0.572899,1
7.97613,8.9178,-0.5693,1
8.07762,8.85286,-0.564194,1
8.17943,8.78843,-0.515594,1
8.29354,8.72376,-0.509423,1
8.41037,8.6585,-0.671542,1
8.49855,8.58841,-0.700908,1
8.58306,8.5171,-0.73427,1
8.66355,8.44444,-0.771801,1
8.7397,8.37035,-0.813648,1
8.81119,8.2947,-0.859909,1
8.87774,8.21741,-0.910603,1
8.9391,8.13838,-0.965641,1
8.99502,8.05754,-1.02479,1
9.0453,7.97479,-1.08763,1
9.08975,7.89006,-1.15358,1
9.12822,7.80328,-1.22185,1
9.16057,7.71436,-1.29149,1
9.1867,7.62324,-1.36148,1
9.20654,7.52985,-1.43074,1
9.22004,7.43412,-1.4983,1
9.22716,7.33596,-1.56322,1
9.22792,7.23632,-1.62666,1
9.22231,7.13609,-1.68973,1
9.21038,7.03619,-1.75354,1
9.19215,6.93755,-1.81922,1
9.16768,6.84108,-1.88799,1
9.13701,6.74768,-1.96115,1
9.10023,6.65827,-2.04009,1
9.05737,6.57376,-2.12631,1
9.00851,6.49505,-2.22132,1
8.95372,6.42305,-2.30336,1
8.89398,6.35664,-2.37015,1
8.83029,6.29471,-2.42052,1
8.76364,6.23612,-2.45686,1
8.69485,6.17995,-2.47499,1
8.625,6.125,-2.47499,1
