x,y,yaw,dir
3.625,15.125,-1.07514,1
3.67176,15.0385,-1.07504,1
3.71853,14.952,-1.07483,1
3.76531,14.8656,-1.07451,1
3.81213,14.7791,-1.07409,1
3.85897,14.6927,-1.07355,1
3.90586,14.6063,-1.07291,1
3.9528,14.5199,-1.07216,1
3.99981,14.4336,-1.07129,1
4.04688,14.3473,-1.0703,1
4.09403,14.2611,-1.06919,1
4.14128,14.175,-1.06796,1
4.18863,14.0889,-1.06659,1
4.23608,14.0029,-1.0651,1
4.28366,13.917,-1.06346,1
4.33137,13.8311,-1.06169,1
4.37923,13.7454,-1.05977,1
4.42724,13.6598,-1.05771,1
4.47543,13.5742,-1.05549,1
4.52379,13.4888,-1.05313,1
4.57235,13.4036,-1.05062,1
4.62111,13.3184,-1.04796,1
4.67009,13.2335,-1.04515,1
4.7193,13.1486,-1.04219,1
4.76875,13.064,-1.0391,1
4.81846,12.9795,-1.03586,1
4.86843,12.8951,-1.03249,1
4.91868,12.811,-1.02898,1
4.96921,12.727,-1.02534,1
5.02005,12.6433,-1.02157,1
5.07119,12.5597,-1.01768,1
5.12265,12.4763,-1.01366,1
5.17444,12.3932,-1.00952,1
5.22656,12.3103,-1.00525,1
5.27904,12.2276,-1.00087,1
5.33188,12.1452,-0.996374,1
5.38508,12.063,-0.991761,1
5.43866,11.981,-0.987037,1
5.49263,11.8993,-0.982208,1
5.54699,11.8179,-0.977277,1
5.60176,11.7367,-0.972251,1
5.65694,11.6558,-0.967137,1
5.71254,11.5752,-0.961944,1
5.76857,11.4948,-0.956681,1
5.82503,11.4147,-0.951358,1
5.88192,11.3349,-0.945985,1
5.93926,11.2554,-0.940573,1
5.99705,11.1762,-0.935135,1
6.05529,11.0973,-0.929682,1
6.11397,11.0186,-0.924226,1
6.17311,10.9403,-0.918779,1
6.2327,10.8622,-0.913353,1
6.29273,10.7845,-0.90796,1
6.35322,10.707,-0.902611,1
6.41415,10.6298,-0.89732,1
6.47552,10.5529,-0.892097,1
6.53732,10.4762,-0.886955,1
6.59956,10.3999,-0.881905,1
6.66221,10.3238,-0.87696,1
6.72528,10.248,-0.872131,1
6.78875,10.1724,-0.86743,1
6.85262,10.0971,-0.862868,1
6.91686,10.0221,-0.858457,1
6.98148,9.94723,-0.854209,1
7.04646,9.87264,-0.850133,1
7.11178,9.79826,-0.846241,1
7.17743,9.7241,-0.842542,1
7.24339,9.65013,-0.839046,1
7.30964,9.57636,-0.835761,1
7.37618,9.50276,-0.832697,1
7.44297,9.42933,-0.829861,1
7.51001,9.35605,-0.827259,1
7.57726,9.28291,-0.8249,1
7.64472,9.20991,-0.739869,1
7.71298,9.1476,-0.24342,1
7.80758,9.1241,-0.210734,1
7.95334,9.09292,-0.197215,1
8.12484,9.05865,-0.188396,1
8.29668,9.02589,-0.179697,1
8.44343,8.99923,-0.164309,1
8.53971,8.98327,-0.0887403,1
8.78231,8.96169,-0.330627,1
8.94505,8.90583,-0.341017,1
9.07752,8.85882,-0.354907,1
9.18774,8.81797,-0.249992,1
9.26944,8.79711,0.0582176,1
9.33239,8.80078,0.427365,1
9.38761,8.82593,0.517899,1
9.44325,8.85763,0.204381,1
9.50176,8.86976,-0.459479,1
9.56005,8.84092,-1.10493,1
9.61086,8.73987,-1.37403,1
9.64678,8.55966,-1.25562,1
9.69332,8.41694,-1.35599,1
9.73052,8.2464,-1.50888,1
9.74339,8.03887,-1.6187,1
9.73235,7.8087,-1.69803,1
9.70176,7.56958,-1.75924,1
9.65638,7.33158,-1.81119,1
9.60031,7.10285,-1.86037,1
9.53742,6.89178,-1.90977,1
9.47249,6.70762,-1.95815,1
9.41184,6.55895,-2.0001,1
9.36234,6.45084,-2.02655,1
9.32875,6.38231,-2.0354,1
9.31038,6.34565,-2.14864,1
9.29903,6.32824,-2.59121,1
9.2796,6.31632,-2.77866,1
9.23382,6.29893,-2.8258,1
9.14612,6.27028,-2.85225,1
9.00959,6.22963,-2.87081,1
8.82986,6.17974,-2.88045,1
8.625,6.12499,-2.88045,1
