x,y,yaw,dir
3.625,15.125,-1.05204,1
3.66677,15.0518,-1.05209,1
3.70853,14.9787,-1.0522,1
3.75029,14.9055,-1.05237,1
3.79205,14.8323,-1.05258,1
3.83379,14.7591,-1.05285,1
3.87553,14.6859,-1.05316,1
3.91725,14.6126,-1.0535,1
3.95895,14.5393,-1.05388,1
4.00065,14.4659,-1.05429,1
4.04232,14.3926,-1.05472,1
4.08399,14.3191,-1.05516,1
4.12563,14.2457,-1.05559,1
4.16726,14.1721,-1.05602,1
4.20888,14.0986,-1.05643,1
4.25049,14.0249,-1.05681,1
4.29209,13.9512,-1.05715,1
4.33369,13.8775,-1.05743,1
4.3753,13.8037,-1.05764,1
4.41691,13.7299,-1.05778,1
4.45854,13.656,-1.05782,1
4.50018,13.582,-1.05777,1
4.54186,13.508,-1.0576,1
4.58358,13.434,-1.05731,1
4.62535,13.36,-1.05688,1
4.66718,13.2859,-1.05632,1
4.70908,13.2117,-1.05561,1
4.75106,13.1376,-1.05474,1
4.79313,13.0634,-1.0537,1
4.83531,12.9893,-1.0525,1
4.87761,12.9151,-1.05113,1
4.92004,12.8409,-1.04957,1
4.96262,12.7668,-1.04782,1
5.00535,12.6926,-1.04589,1
5.04826,12.6186,-1.04376,1
5.09136,12.5445,-1.04142,1
5.13465,12.4705,-1.03889,1
5.17817,12.3966,-1.03614,1
5.22191,12.3227,-1.03318,1
5.2659,12.2489,-1.03,1
5.31015,12.1752,-1.0266,1
5.35469,12.1016,-1.02298,1
5.39951,12.0282,-1.01913,1
5.44465,11.9548,-1.01506,1
5.49011,11.8816,-1.01078,1
5.53591,11.8086,-1.00627,1
5.58207,11.7357,-1.00155,1
5.62861,11.6629,-0.99663,1
5.67553,11.5904,-0.991506,1
5.72285,11.5181,-0.986193,1
5.77059,11.4459,-0.980699,1
5.81876,11.374,-0.975036,1
5.86737,11.3023,-0.969217,1
5.91642,11.2308,-0.963254,1
5.96595,11.1596,-0.957161,1
6.01594,11.0886,-0.950951,1
6.06641,11.0179,-0.944639,1
6.11737,10.9474,-0.938241,1
6.16882,10.8773,-0.93177,1
6.22077,10.8073,-0.925244,1
6.27322,10.7377,-0.918678,1
6.32617,10.6684,-0.912087,1
6.37962,10.5993,-0.905489,1
6.43358,10.5305,-0.898901,1
6.48804,10.4621,-0.892339,1
6.54301,10.3939,-0.885822,1
6.59847,10.326,-0.879366,1
6.65442,10.2584,-0.872989,1
6.71086,10.1911,-0.866709,1
6.76777,10.1241,-0.860544,1
6.82516,10.0573,-0.85451,1
6.88301,9.99088,-0.848624,1
6.94131,9.92471,-0.842904,1
7.00004,9.8588,-0.837365,1
7.0592,9.79315,-0.832022,1
7.11876,9.72775,-0.826891,1
7.17872,9.6626,-0.821986,1
7.23906,9.59768,-0.81732,1
7.29975,9.53298,-0.812906,1
7.36078,9.46849,-0.808756,1
7.42214,9.40421,-0.804881,1
7.48378,9.34011,-0.801291,1
7.54571,9.27618,-0.797997,1
7.60789,9.21242,-0.795007,1
7.6703,9.14879,-0.78615,1
7.7346,9.0844,-0.727903,1
7.78582,9.03875,-0.720337,1
7.86462,8.96959,-0.716889,1
7.95731,8.8888,-0.714213,1
8.05022,8.80826,-0.710922,1
8.12967,8.73985,-0.703923,1
8.18197,8.69544,-0.684011,1
8.26324,8.62918,-0.749312,1
8.33313,8.56417,-0.762617,1
8.40153,8.49881,-0.77771,1
8.46827,8.43308,-0.794695,1
8.53319,8.36695,-0.813683,1
8.59612,8.30036,-0.834801,1
8.65687,8.23329,-0.858184,1
8.71528,8.16569,-0.883978,1
8.77116,8.09754,-0.912336,1
8.82435,8.02879,-0.943415,1
8.87466,7.9594,-0.977371,1
8.92192,7.88934,-1.01435,1
8.96594,7.81858,-1.05449,1
9.00653,7.74706,-1.09788,1
9.04352,7.67477,-1.14459,1
9.07672,7.60165,-1.19462,1
9.10594,7.52767,-1.24789,1
9.13099,7.4528,-1.30339,1
9.15169,7.37725,-1.36138,1
9.16784,7.30125,-1.42214,1
9.17926,7.22502,-1.48588,1
9.18575,7.14876,-1.55275,1
9.18712,7.07272,-1.62282,1
9.18319,6.9971,-1.69606,1
9.17375,6.92212,-1.77228,1
9.15861,6.84802,-1.85115,1
9.13758,6.775,-1.9322,1
9.11048,6.70329,-2.01479,1
9.07709,6.6331,-2.09814,1
9.03724,6.56467,-2.18143,1
8.99072,6.4982,-2.24934,1
8.93849,6.43342,-2.3032,1
8.88151,6.37005,-2.34439,1
8.82071,6.3078,-2.37416,1
8.75706,6.2464,-2.39346,1
8.69151,6.18555,-2.40295,1
8.625,6.12499,-2.40295,1
