x,y,yaw,dir
3.625,15.125,-1.07403,1
3.67184,15.0386,-1.07388,1
3.71869,14.9522,-1.07358,1
3.76557,14.8658,-1.07312,1
3.81248,14.7795,-1.07252,1
3.85944,14.6932,-1.07176,1
3.90647,14.6069,-1.07085,1
3.95357,14.5207,-1.06979,1
4.00076,14.4345,-1.06858,1
4.04805,14.3484,-1.06723,1
4.09545,14.2623,-1.06572,1
4.14297,14.1764,-1.06406,1
4.19063,14.0905,-1.06226,1
4.23844,14.0048,-1.0603,1
4.2864,13.9191,-1.0582,1
4.33454,13.8336,-1.05596,1
4.38287,13.7481,-1.05357,1
4.43139,13.6629,-1.05103,1
4.48012,13.5777,-1.04835,1
4.52907,13.4927,-1.04554,1
4.57825,13.4078,-1.04259,1
4.62768,13.3231,-1.03951,1
4.67735,13.2386,-1.0363,1
4.72729,13.1542,-1.03297,1
4.77751,13.07,-1.02952,1
4.82801,12.986,-1.02596,1
4.8788,12.9022,-1.02229,1
4.92989,12.8186,-1.01852,1
4.98129,12.7352,-1.01465,1
5.033,12.652,-1.01069,1
5.08505,12.569,-1.00664,1
5.13742,12.4863,-1.00251,1
5.19014,12.4037,-0.998297,1
5.2432,12.3214,-0.994015,1
5.29661,12.2393,-0.989665,1
5.35038,12.1574,-0.985253,1
5.40451,12.0758,-0.980783,1
5.459,11.9944,-0.976261,1
5.51387,11.9132,-0.971694,1
5.56911,11.8323,-0.967086,1
5.62473,11.7517,-0.962446,1
5.68073,11.6713,-0.95778,1
5.73712,11.5911,-0.953095,1
5.79389,11.5112,-0.9484,1
5.85105,11.4316,-0.943702,1
5.90859,11.3521,-0.939009,1
5.96652,11.273,-0.934331,1
6.02484,11.1941,-0.929674,1
6.08354,11.1154,-0.925049,1
6.14262,11.037,-0.920462,1
6.20208,10.9589,-0.915923,1
6.26192,10.8809,-0.911438,1
6.32213,10.8033,-0.907018,1
6.3827,10.7258,-0.902668,1
6.44364,10.6486,-0.898396,1
6.50492,10.5716,-0.894211,1
6.56656,10.4949,-0.890119,1
6.62854,10.4183,-0.886128,1
6.69084,10.342,-0.882244,1
6.75348,10.2659,-0.878474,1
6.81642,10.19,-0.874826,1
6.87967,10.1143,-0.871306,1
6.94321,10.0388,-0.86792,1
7.00704,9.96343,-0.864675,1
7.07114,9.88827,-0.861576,1
7.13549,9.81328,-0.858629,1
7.2001,9.73845,-0.855841,1
7.26493,9.66377,-0.853215,1
7.32999,9.58923,-0.850756,1
7.39525,9.51482,-0.84847,1
7.46071,9.44054,-0.84636,1
7.52634,9.36638,-0.844429,1
7.59214,9.29232,-0.842683,1
7.65808,9.21835,-0.820373,1
7.72508,9.14649,-0.446313,1
7.79612,9.1125,-0.394454,1
7.90742,9.06617,-0.371583,1
8.03929,9.01478,-0.354689,1
8.17205,8.96561,-0.334964,1
8.286,8.92595,-0.294432,1
8.36146,8.90306,-0.184278,1
8.50279,8.87672,-0.537581,1
8.60719,8.81449,-0.601476,1
8.7079,8.74537,-0.657548,1
8.80441,8.67084,-0.69763,1
8.89697,8.59325,-0.71748,1
8.9867,8.51495,-0.721685,1
9.07515,8.43711,-0.72783,1
9.16337,8.35851,-0.764602,1
9.25053,8.2749,-0.859674,1
9.33249,8.17976,-1.02161,1
9.40155,8.06692,-1.22669,1
9.44883,7.93497,-1.42719,1
9.46955,7.79167,-1.58156,1
9.46808,7.65435,-1.66679,1
9.45715,7.54087,-1.64567,1
9.45078,7.45596,-1.44869,1
9.45907,7.38839,-1.19684,1
9.48725,7.31657,-1.20295,1
9.52747,7.2122,-1.45343,1
9.54295,7.08093,-1.67097,1
9.52905,6.94256,-1.85357,1
9.48954,6.80661,-2.02469,1
9.42927,6.68307,-2.19977,1
9.35377,6.5793,-2.37937,1
9.26842,6.49781,-2.54244,1
9.17761,6.43579,-2.65556,1
9.08445,6.38658,-2.69885,1
8.99088,6.34222,-2.68034,1
8.89797,6.29604,-2.62838,1
8.80612,6.24427,-2.57509,1
8.71527,6.18648,-2.54358,1
8.625,6.12499,-2.54358,1
