x,y,yaw,dir
3.625,15.125,-1.02862,1
3.67506,15.0419,-1.02862,1
3.72511,14.9588,-1.02862,1
3.77517,14.8757,-1.20956,1
3.80656,14.7926,-1.20956,1
3.83796,14.7095,-1.20956,1
3.86935,14.6264,-1.17016,1
3.90455,14.5433,-1.17016,1
3.93974,14.4602,-1.17016,1
3.97494,14.3771,-0.9223,1
4.02217,14.3148,-0.9223,1
4.0694,14.2525,-0.9223,1
4.11663,14.1902,-0.9223,1
4.16386,14.1278,-0.830723,1
4.22077,14.0655,-0.830723,1
4.27768,14.0032,-0.830723,1
4.3346,13.9409,-0.830723,1
4.39151,13.8786,-0.810055,1
4.45083,13.8162,-0.810055,1
4.51016,13.7539,-0.810055,1
4.56948,13.6916,-0.810055,1
4.6288,13.6293,-0.843974,1
4.68422,13.5669,-0.843974,1
4.73964,13.5046,-0.843974,1
4.79506,13.4423,-0.843974,1
4.85047,13.38,-0.959932,1
4.89411,13.3177,-0.959932,1
4.93775,13.2553,-0.959932,1
4.98139,13.193,-0.959932,1
5.02503,13.1307,-1.27087,1
5.05073,13.0476,-1.27087,1
5.07643,12.9645,-1.27087,1
5.10212,12.8814,-1.43396,1
5.11357,12.7983,-1.43396,1
5.12501,12.7152,-1.43396,1
5.13645,12.6321,-1.45441,1
5.14617,12.549,-1.45441,1
5.15588,12.4659,-1.45441,1
5.1656,12.3828,-1.3366,1
5.18542,12.2997,-1.3366,1
5.20525,12.2166,-1.3366,1
5.22507,12.1335,-1.06691,1
5.27089,12.0504,-1.06691,1
5.31671,11.9673,-1.06691,1
5.36253,11.8842,-0.993778,1
5.41662,11.8011,-0.993778,1
5.47071,11.718,-0.993778,1
5.5248,11.6349,-1.04739,1
5.57276,11.5518,-1.04739,1
5.62072,11.4687,-1.04739,1
5.66868,11.3856,-1.0472,1
5.71665,11.3025,-1.0472,1
5.76463,11.2194,-1.0472,1
5.81261,11.1363,-0.993172,1
5.86678,11.0532,-0.993172,1
5.92094,10.9701,-0.993172,1
5.97511,10.887,-0.877926,1
6.02685,10.8246,-0.877926,1
6.0786,10.7623,-0.877926,1
6.13034,10.7,-0.877926,1
6.18209,10.6376,-0.823922,1
6.23979,10.5753,-0.823922,1
6.29749,10.513,-0.823922,1
6.3552,10.4507,-0.823922,1
6.4129,10.3883,-0.797118,1
6.47379,10.326,-0.797118,1
6.53468,10.2637,-0.797118,1
6.59556,10.2013,-0.797118,1
6.65645,10.139,-0.783515,1
6.71902,10.0767,-0.783515,1
6.78158,10.0143,-0.783515,1
6.84415,9.95201,-0.783515,1
6.90672,9.88968,-0.776779,1
6.97013,9.82734,-0.776779,1
7.03355,9.76501,-0.776779,1
7.09696,9.70268,-0.776779,1
7.16038,9.64035,-0.773963,1
7.22415,9.57802,-0.773963,1
7.28793,9.51569,-0.773963,1
7.3517,9.45336,-0.773963,1
7.41547,9.39102,-0.773872,1
7.47926,9.3287,-0.773872,1
7.54304,9.26637,-0.773872,1
7.60682,9.20404,-0.773872,1
7.6706,9.14171,-0.776462,1
7.73405,9.07939,-0.776462,1
7.79749,9.01707,-0.776462,1
7.86094,8.95475,-0.776462,1
7.92438,8.89242,-0.782823,1
7.98701,8.83012,-0.782823,1
8.04964,8.76781,-0.782823,1
8.11227,8.7055,-0.782823,1
8.1749,8.64319,-0.795723,1
8.23591,8.58091,-0.795723,1
8.29692,8.51863,-0.795723,1
8.35793,8.45635,-0.795723,1
8.41894,8.39407,-0.821147,1
8.47687,8.33184,-0.821147,1
8.5348,8.26961,-0.821147,1
8.59273,8.20738,-0.821147,1
8.65067,8.14515,-0.872321,1
8.70284,8.08302,-0.872321,1
8.75501,8.02088,-0.872321,1
8.80718,7.95875,-0.872321,1
8.85935,7.89662,-0.981428,1
8.91458,7.81402,-0.981428,1
8.96981,7.73143,-0.981428,1
9.02503,7.64883,-1.23673,1
9.05354,7.56669,-1.23673,1
9.08205,7.48456,-1.23673,1
9.11056,7.40242,-1.41903,1
9.12299,7.32114,-1.41903,1
9.13542,7.23986,-1.41903,1
9.14785,7.15859,-1.5637,1
9.14841,7.07891,-1.5637,1
9.14898,6.99924,-1.5637,1
9.14955,6.91957,-1.72393,1
9.13771,6.84289,-1.72393,1
9.12588,6.76621,-1.72393,1
9.11404,6.68953,-1.96684,1
9.08431,6.61843,-1.96684,1
9.05458,6.54732,-1.96684,1
9.02485,6.47622,-2.35267,1
8.96457,6.41552,-2.35267,1
8.9043,6.35481,-2.35267,1
8.84402,6.29411,-2.48406,1
8.77101,6.23774,-2.48406,1
8.69801,6.18137,-2.48406,1
8.625,6.12499,-2.48406,1
