x,y,yaw,dir
3.625,15.125,-1.0068,1
3.67093,15.0524,-1.00682,1
3.71686,14.9798,-1.00688,1
3.76279,14.9071,-1.00695,1
3.80872,14.8345,-1.00706,1
3.85464,14.7619,-1.00719,1
3.90056,14.6892,-1.00734,1
3.94647,14.6165,-1.00751,1
3.99238,14.5438,-1.00771,1
4.03827,14.4711,-1.00791,1
4.08415,14.3984,-1.13954,1
4.12211,14.3159,-1.13304,1
4.14744,14.2618,-1.13229,1
4.18621,14.1791,-1.13194,1
4.23172,14.0822,-1.13166,1
4.27725,13.9853,-1.13129,1
4.31611,13.9026,-1.1305,1
4.34158,13.8486,-1.13073,1
4.37638,13.7746,-1.00225,1
4.42008,13.7062,-1.00601,1
4.4636,13.6376,-1.00995,1
4.50694,13.5686,-1.01404,1
4.55008,13.4993,-1.01821,1
4.59304,13.4296,-1.0224,1
4.63582,13.3596,-1.02658,1
4.67841,13.2892,-1.03068,1
4.72083,13.2184,-1.03466,1
4.76309,13.1473,-1.03848,1
4.8052,13.0758,-1.04209,1
4.84718,13.004,-1.04546,1
4.88904,12.9318,-1.04856,1
4.9308,12.8592,-1.05134,1
4.97249,12.7863,-1.05378,1
5.01412,12.7131,-1.05584,1
5.05573,12.6395,-1.05748,1
5.09733,12.5657,-1.05869,1
5.13896,12.4917,-1.05941,1
5.18065,12.4174,-1.05963,1
5.22243,12.3429,-1.05932,1
5.26434,12.2683,-1.05844,1
5.3064,12.1935,-1.05698,1
5.34867,12.1186,-1.05491,1
5.39118,12.0436,-1.05221,1
5.43397,11.9686,-1.04889,1
5.47709,11.8937,-1.04493,1
5.52058,11.8187,-1.04034,1
5.56448,11.7439,-1.03514,1
5.60883,11.6692,-1.02935,1
5.65367,11.5946,-1.02298,1
5.69905,11.5202,-1.01609,1
5.74499,11.4461,-1.00869,1
5.79154,11.3722,-1.00085,1
5.83871,11.2986,-0.992607,1
5.88655,11.2253,-0.984014,1
5.93506,11.1523,-0.975126,1
5.98426,11.0797,-0.965999,1
6.03418,11.0075,-0.956691,1
6.08482,10.9357,-0.947261,1
6.13618,10.8643,-0.937767,1
6.18827,10.7933,-0.928269,1
6.24108,10.7227,-0.918825,1
6.2946,10.6526,-0.909495,1
6.34883,10.5829,-0.900338,1
6.40374,10.5137,-0.891412,1
6.45932,10.4449,-0.882774,1
6.51554,10.3765,-0.874482,1
6.57238,10.3085,-0.86659,1
6.6298,10.2409,-0.859151,1
6.68777,10.1737,-0.852215,1
6.74625,10.1068,-0.845829,1
6.8052,10.0402,-0.880687,1
6.86216,9.97125,-0.833869,1
6.90386,9.92529,-0.8269,1
6.96808,9.85551,-0.823674,1
7.04365,9.77392,-0.821112,1
7.11943,9.69253,-0.817885,1
7.18427,9.62333,-0.81091,1
7.22701,9.57835,-0.778432,1
7.29058,9.51566,-0.775952,1
7.3541,9.45333,-0.776424,1
7.41756,9.391,-0.777032,1
7.48093,9.32868,-0.777784,1
7.54421,9.26635,-0.778687,1
7.60738,9.20403,-0.779739,1
7.67041,9.14171,-0.780933,1
7.73328,9.0794,-0.782255,1
7.79598,9.01709,-0.783684,1
7.8585,8.95478,-0.785194,1
7.92083,8.89248,-0.786751,1
7.98297,8.83018,-0.788319,1
8.0449,8.76788,-0.780355,1
8.10846,8.70496,-0.76802,1
8.15703,8.65804,-0.768363,1
8.23122,8.58634,-0.768519,1
8.31822,8.50223,-0.768641,1
8.40521,8.41811,-0.76879,1
8.47937,8.34637,-0.769108,1
8.52789,8.29941,-0.793562,1
8.5997,8.22641,-0.836434,1
8.6617,8.15774,-0.858175,1
8.72134,8.08872,-0.882906,1
8.77839,8.0193,-0.910802,1
8.83259,7.94947,-0.942043,1
8.88371,7.87917,-0.976812,1
8.93152,7.80836,-1.01528,1
8.97581,7.73702,-1.05761,1
9.01634,7.66511,-1.1039,1
9.0529,7.59258,-1.15421,1
9.08528,7.5194,-1.20851,1
9.11327,7.44554,-1.26668,1
9.13668,7.37095,-1.32766,1
9.15531,7.29585,-1.39165,1
9.16896,7.22046,-1.45882,1
9.17745,7.145,-1.52923,1
9.18058,7.06967,-1.60287,1
9.17817,6.99471,-1.67962,1
9.17005,6.92032,-1.75918,1
9.15601,6.84672,-1.84116,1
9.1359,6.77414,-1.92495,1
9.10952,6.70279,-2.00987,1
9.07669,6.63289,-2.09509,1
9.03724,6.56467,-2.17976,1
8.99098,6.49834,-2.24858,1
8.93889,6.43363,-2.30301,1
8.88195,6.37028,-2.34455,1
8.82111,6.30801,-2.37451,1
8.75736,6.24655,-2.39392,1
8.69167,6.18564,-2.40346,1
8.625,6.12499,-2.40346,1
