x,y,yaw,dir
3.625,15.125,-1.16454,1
3.65635,15.0521,-1.16463,1
3.6877,14.9792,-1.16481,1
3.71903,14.9063,-1.16507,1
3.75034,14.8334,-0.953032,1
3.79822,14.7661,-0.889421,1
3.83543,14.7202,-0.87804,1
3.89308,14.6507,-0.872809,1
3.96112,14.5696,-0.868696,1
4.0295,14.4888,-0.86357,1
4.08815,14.4202,-0.852566,1
4.12702,14.3757,-0.794216,1
4.1887,14.3129,-1.35411,1
4.20579,14.2353,-1.23838,1
4.22372,14.1833,-1.21735,1
4.2528,14.1045,-1.20764,1
4.28779,14.0124,-1.19994,1
4.32349,13.9206,-1.19027,1
4.35469,13.8426,-1.16938,1
4.37616,13.7921,-1.05887,1
4.4156,13.7219,-0.910123,1
4.46704,13.6557,-0.911855,1
4.51833,13.5894,-0.913588,1
4.56948,13.5232,-0.915282,1
4.62048,13.4568,-0.916903,1
4.67135,13.3905,-0.91842,1
4.72209,13.324,-0.743389,1
4.78862,13.2629,-0.93741,1
4.82213,13.2172,-0.974992,1
4.87074,13.1455,-0.992607,1
4.92628,13.0604,-1.00691,1
4.98059,12.9745,-1.02533,1
5.02552,12.9005,-1.06583,1
5.05291,12.851,-1.28992,1
5.07484,12.7749,-1.24804,1
5.09992,12.7,-1.24794,1
5.125,12.625,-1.24794,1
5.15008,12.55,-1.24804,1
5.17516,12.4751,-1.31538,1
5.19518,12.3984,-1.22708,1
5.2137,12.3466,-1.21067,1
5.2433,12.268,-1.20308,1
5.27871,12.1761,-1.19707,1
5.31468,12.0844,-1.18952,1
5.34594,12.0064,-1.17321,1
5.36722,11.9557,-1.08305,1
5.40479,11.8849,-1.15861,1
5.43659,11.8122,-1.13438,1
5.45996,11.7621,-1.1305,1
5.49598,11.6856,-1.12871,1
5.53838,11.596,-1.12729,1
5.58091,11.5065,-1.1255,1
5.61731,11.4303,-1.12164,1
5.64132,11.3804,-1.10673,1
5.67707,11.309,-0.972804,1
5.70954,11.2614,-0.951029,1
5.76074,11.1896,-0.941061,1
5.82163,11.106,-0.933267,1
5.88318,11.023,-0.923604,1
5.93633,10.9526,-0.902926,1
5.97204,10.9073,-0.785166,1
6.03457,10.8449,-0.894467,1
6.08733,10.7791,-0.888544,1
6.14061,10.7135,-0.882289,1
6.19442,10.6481,-0.87579,1
6.24879,10.5829,-0.869133,1
6.30374,10.5179,-0.862411,1
6.35927,10.4531,-0.855712,1
6.41539,10.3885,-0.849126,1
6.47209,10.324,-0.842737,1
6.52936,10.2598,-0.83663,1
6.58718,10.1957,-0.830885,1
6.6455,10.1318,-0.849102,1
6.70221,10.0674,-0.818193,1
6.74364,10.0232,-0.814092,1
6.80722,9.95582,-0.8122,1
6.88194,9.87699,-0.810703,1
6.95678,9.79826,-0.808827,1
7.02071,9.73126,-0.804785,1
7.06273,9.68758,-0.78788,1
7.125,9.625,-0.785398,1
7.1875,9.5625,-0.785398,1
7.25,9.5,-0.785398,1
7.3125,9.4375,-0.785398,1
7.375,9.375,-0.785398,1
7.4375,9.3125,-0.785398,1
7.5,9.25,-0.785398,1
7.5625,9.1875,-0.785398,1
7.625,9.125,-0.785398,1
7.6875,9.0625,-0.785398,1
7.75,9,-0.785398,1
7.8125,8.9375,-0.785398,1
7.875,8.875,-0.772644,1
7.93922,8.8124,-0.718652,1
7.99028,8.76774,-0.711798,1
8.06878,8.70002,-0.708673,1
8.16109,8.62089,-0.706247,1
8.25359,8.54198,-0.703262,1
8.33267,8.47494,-0.696914,1
8.38469,8.43139,-0.683427,1
8.46441,8.36647,-0.761436,1
8.53182,8.30221,-0.780311,1
8.597,8.2377,-0.802146,1
8.65966,8.1729,-0.82724,1
8.71953,8.1078,-0.855935,1
8.77634,8.04235,-0.888618,1
8.8298,7.97654,-0.92571,1
8.87963,7.91031,-0.967665,1
8.92554,7.84365,-1.08546,1
8.96063,7.77712,-1.24923,1
8.98077,7.71668,-1.2636,1
9.01021,7.62387,-1.27001,1
9.04404,7.5148,-1.27483,1
9.07735,7.40557,-1.28055,1
9.10522,7.31227,-1.29241,1
9.12273,7.251,-1.30951,1
9.14989,7.14943,-1.31132,1
9.17201,7.06609,-1.35424,1
9.18977,6.98539,-1.40669,1
9.20264,6.90768,-1.47078,1
9.2101,6.83326,-1.54902,1
9.21164,6.76248,-1.64423,1
9.20673,6.69568,-1.75909,1
9.19482,6.6332,-2.08104,1
9.16718,6.58381,-2.32374,1
9.13596,6.5505,-2.35474,1
9.08667,6.50106,-2.36851,1
9.02805,6.44387,-2.37879,1
8.96883,6.38727,-2.3909,1
8.91777,6.33963,-2.41593,1
8.8836,6.30932,-2.4399,1
8.82328,6.25833,-2.52678,1
8.75916,6.21307,-2.55406,1
8.69268,6.16879,-2.56734,1
8.625,6.125,-2.56734,1
