x,y,yaw,dir
3.625,15.125,-0.986349,1
3.67861,15.044,-0.986349,1
3.73222,14.9629,-0.986349,1
3.78583,14.8819,-0.986361,1
3.83944,14.8008,-0.986361,1
3.89305,14.7198,-0.986361,1
3.94666,14.6388,-0.986384,1
4.00027,14.5577,-0.986384,1
4.05388,14.4767,-0.986384,1
4.10749,14.3956,-0.986418,1
4.1611,14.3146,-0.986418,1
4.2147,14.2335,-0.986418,1
4.26831,14.1525,-0.986462,1
4.32191,14.0715,-0.986462,1
4.37551,13.9904,-0.986462,1
4.42911,13.9094,-0.986515,1
4.4827,13.8283,-0.986515,1
4.5363,13.7473,-0.986515,1
4.58989,13.6662,-0.98657,1
4.64348,13.5852,-0.98657,1
4.69707,13.5041,-0.98657,1
4.75066,13.4231,-0.986619,1
4.80425,13.342,-0.986619,1
4.85784,13.261,-0.986619,1
4.91142,13.1799,-0.986643,1
4.96501,13.0989,-0.986643,1
5.01859,13.0178,-0.986643,1
5.07218,12.9368,-0.986606,1
5.12577,12.8557,-0.986606,1
5.17936,12.7747,-0.986606,1
5.23295,12.6936,-0.986445,1
5.28656,12.6126,-0.986445,1
5.34017,12.5315,-0.986445,1
5.39378,12.4505,-0.986041,1
5.44744,12.3694,-0.986041,1
5.5011,12.2883,-0.986041,1
5.55476,12.2073,-0.985174,1
5.60852,12.1262,-0.985174,1
5.66229,12.0452,-0.985174,1
5.71605,11.9641,-0.983435,1
5.77002,11.883,-0.983435,1
5.82398,11.802,-0.983435,1
5.87795,11.7209,-0.98007,1
5.93232,11.6398,-0.98007,1
5.98668,11.5588,-0.98007,1
6.04105,11.4777,-0.973691,1
6.09617,11.3966,-0.973691,1
6.15129,11.3156,-0.973691,1
6.20641,11.2345,-0.961798,1
6.26295,11.1534,-0.961798,1
6.3195,11.0723,-0.961798,1
6.37604,10.9913,-0.939993,1
6.42045,10.9305,-0.939993,1
6.46486,10.8696,-0.939993,1
6.50927,10.8088,-0.939993,1
6.55369,10.748,-0.928731,1
6.59916,10.6872,-0.928731,1
6.64463,10.6264,-0.928731,1
6.6901,10.5656,-0.928731,1
6.73557,10.5048,-0.922982,1
6.7816,10.444,-0.922982,1
6.82762,10.3832,-0.922982,1
6.87364,10.3223,-0.922982,1
6.91966,10.2615,-0.920239,1
6.96595,10.2007,-0.920239,1
7.01223,10.1399,-0.920239,1
7.05852,10.0791,-0.920239,1
7.10481,10.0183,-0.91929,1
7.15119,9.95745,-0.91929,1
7.19756,9.89663,-0.91929,1
7.24394,9.83581,-0.91929,1
7.29032,9.77499,-0.919668,1
7.33667,9.71417,-0.919668,1
7.38301,9.65335,-0.919668,1
7.42936,9.59253,-0.919668,1
7.4757,9.5317,-0.921451,1
7.52188,9.47088,-0.921451,1
7.56805,9.41006,-0.921451,1
7.61423,9.34923,-0.921451,1
7.66041,9.28841,-0.925291,1
7.70622,9.22758,-0.925291,1
7.75203,9.16676,-0.925291,1
7.79784,9.10593,-0.925291,1
7.84365,9.04511,-0.932706,1
7.88876,8.98428,-0.932706,1
7.93386,8.92345,-0.932706,1
7.97897,8.86262,-0.932706,1
8.02408,8.80179,-0.946779,1
8.08248,8.72069,-0.946779,1
8.14087,8.63958,-0.946779,1
8.19927,8.55848,-0.97373,1
8.25441,8.47737,-0.97373,1
8.30955,8.39626,-0.97373,1
8.36469,8.31515,-1.02659,1
8.41378,8.23404,-1.02659,1
8.46286,8.15293,-1.02659,1
8.51195,8.07181,-1.13456,1
8.54976,7.9907,-1.13456,1
8.58758,7.90959,-1.13456,1
8.62539,7.82847,-1.36627,1
8.64222,7.74736,-1.36627,1
8.65904,7.66624,-1.36627,1
8.67587,7.58513,-1.50235,1
8.68143,7.50401,-1.50235,1
8.68699,7.4229,-1.50235,1
8.69255,7.34178,-1.57672,1
8.69207,7.26066,-1.57672,1
8.69159,7.17955,-1.57672,1
8.69111,7.09843,-1.6165,1
8.6874,7.01731,-1.6165,1
8.68369,6.93619,-1.6165,1
8.67998,6.85507,-1.63746,1
8.67456,6.77395,-1.63746,1
8.66915,6.69284,-1.63746,1
8.66373,6.61172,-1.64802,1
8.65745,6.5306,-1.64802,1
8.65118,6.44948,-1.64802,1
8.6449,6.36836,-1.65242,1
8.63826,6.28724,-1.65242,1
8.63163,6.20612,-1.65242,1
8.62499,6.125,-1.65242,1
